Field,Variant_TAPPs,Before_Description,After_Description_MERGED,Relocated_or_dropped
Counting Statistics Error,"EPMA,LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb,SEM_Composition,SEM,Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS","Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.","Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",UNCHANGED
Detection Limit,Solution_MC-ICP-MS,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set), applicable when isotope dilution concentrations are also reported. For pure isotope ratio procedures (no concentration output), this field is N/A or reports the minimum sample mass required for a measurement at target precision. Specify units µg/g or µg/L and whether values are procedure-typical estimates or session-measured. Record 'N/A' where the procedure produces isotope ratios only and reports no concentrations.","Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",EPMA's '99% confidence (3-sigma) ... from counting statistics on peak and background' is a METHOD statement and belongs in Detection Limit Method / Column F; LA's 'Mandatory at analysis level' is a tier restatement (D=Basic); Solution MC's isotope-dilution and minimum-sample-mass alternative -> Column F
Detection Limit,"Solution_Q-ICP-MS,Solution_SF-ICP-MS","Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.","Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",EPMA's '99% confidence (3-sigma) ... from counting statistics on peak and background' is a METHOD statement and belongs in Detection Limit Method / Column F; LA's 'Mandatory at analysis level' is a tier restatement (D=Basic); Solution MC's isotope-dilution and minimum-sample-mass alternative -> Column F
Detection Limit,EPMA,"Method detection limit at 99% confidence (3-sigma), one per reported concentration variable (one per analyte, these being the same set), derived from counting statistics on peak and background. Include the method and the resulting value for each.","Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",EPMA's '99% confidence (3-sigma) ... from counting statistics on peak and background' is a METHOD statement and belongs in Detection Limit Method / Column F; LA's 'Mandatory at analysis level' is a tier restatement (D=Basic); Solution MC's isotope-dilution and minimum-sample-mass alternative -> Column F
Detection Limit,"SEM_Composition,SEM","Method detection limit at 99% confidence, one per reported concentration variable (one per analyte, these being the same set). Include the method used and the resulting value for each.","Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",EPMA's '99% confidence (3-sigma) ... from counting statistics on peak and background' is a METHOD statement and belongs in Detection Limit Method / Column F; LA's 'Mandatory at analysis level' is a tier restatement (D=Basic); Solution MC's isotope-dilution and minimum-sample-mass alternative -> Column F
Detection Limit,"LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb","Session detection limit, one per reported concentration variable (one per analyte, these being the same set), expressed in µg g⁻¹, ng g⁻¹, or wt% as appropriate. Mandatory at analysis level to demonstrate the reliability of reported near-detection-limit concentrations. The calculation method is captured separately in Detection Limit Method.","Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",EPMA's '99% confidence (3-sigma) ... from counting statistics on peak and background' is a METHOD statement and belongs in Detection Limit Method / Column F; LA's 'Mandatory at analysis level' is a tier restatement (D=Basic); Solution MC's isotope-dilution and minimum-sample-mass alternative -> Column F
Detection Limit Method,"SEM_Composition,SEM",Formula or approach used to calculate detection limits.,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",'for each reported concentration variable' restates Keyed By; LA's 'Mandatory at analysis level' restates D; EPMA's 'the analyst should complete this field' CONTRADICTED D=Read-Only and is dropped
Detection Limit Method,EPMA,"Formula or approach used to calculate detection limits. Reference method publication if applicable. When the procedure does not specify a method, the analyst should complete this field.","Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",'for each reported concentration variable' restates Keyed By; LA's 'Mandatory at analysis level' restates D; EPMA's 'the analyst should complete this field' CONTRADICTED D=Read-Only and is dropped
Detection Limit Method,Solution_MC-ICP-MS,"Method used to calculate detection limits for each reported concentration variable, where concentration data are reported.","Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",'for each reported concentration variable' restates Keyed By; LA's 'Mandatory at analysis level' restates D; EPMA's 'the analyst should complete this field' CONTRADICTED D=Read-Only and is dropped
Detection Limit Method,"Solution_Q-ICP-MS,Solution_SF-ICP-MS",Method used to calculate detection limits for each reported concentration variable.,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",'for each reported concentration variable' restates Keyed By; LA's 'Mandatory at analysis level' restates D; EPMA's 'the analyst should complete this field' CONTRADICTED D=Read-Only and is dropped
