Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Collision/Reaction Gas Mixture Ratio,"LA-Q,LA-Q_UPb,Sol-Q",1,D,M1,,"M1 — defining sentence, never moves","Where the collision or reaction cell is supplied with a mixture of gases rather than a single gas, the identities and proportions of that mixture."
Collision/Reaction Gas Mixture Ratio,"LA-Q,LA-Q_UPb,Sol-Q",2,D,M4,REWRITE-STRADDLE,"scope boundary against the gas-identity field, plus the reason the proportions are recorded apart from it",Recorded separately from the gas identity because the proportions change reaction efficiency and interference suppression independently of which gases are used.
Collision/Reaction Gas Mixture Ratio,"LA-Q,LA-Q_UPb,Sol-Q",3,D,M3,,M3 — instruction: sentinel value for a single gas,Record 'N/A' where a single gas is used.
delta or epsilon Value Reference Standard,Sol-MC,1,D,M1,,"M1 — defining sentence, never moves","International or community-accepted isotopic reference standard used as the zero-delta anchor for expressing isotopic compositions in delta (δ, per mil) or epsilon (ε, per ten thousand) notation: δⁱX = [(ⁱX/ʲX)sample / (ⁱX/ʲX)reference − 1] × 1000‰."
delta or epsilon Value Reference Standard,Sol-MC,2,D,M5,REWRITE-REDUNDANT(C=N/A + D=Basic),'specified at analysis level' restates the tier split; that the choice is per-study is real content,The reporting reference is a per-study or per-publication decision and is specified at analysis level.
delta or epsilon Value Reference Standard,Sol-MC,3,D,M3,,M3 — instruction: what to specify,"Specify the standard name, lot or batch number where applicable, and the certified or consensus isotope ratio used for normalization."
Detector Configuration,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves",Type(s) of detector(s) installed in the mass spectrometer.
Detector Configuration,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,M3,,M3 — conditional instruction for single-collector instruments,"For single-collector instruments, note whether dual pulse-counting/analog mode is used."
Detector Configuration,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,M3,,M3 — conditional instruction for multi-collector instruments,"For multi-collector instruments, describe the Faraday/multiplier cup layout."
Detector Configuration,Sol-Q,1,D,M1,,"M1 — defining sentence, never moves",Type(s) of detector(s) installed in the mass spectrometer and whether dual pulse-counting/analog mode is used.
Detector Configuration,Sol-Q,2,P,M2,,M2 — typical Q-ICP-MS detector practice and the crossover threshold,"Most Q-ICP-MS instruments use a single SEM in dual mode (pulse counting at low signals, analog at high signals), with an instrument-specific crossover threshold."
Detector Configuration,Sol-Q,3,D,M3,,M3 — scope boundary: the cross-calibration lives in Group 5,The pulse-to-analog cross-calibration correction is documented in Group 5.
Detector Configuration,Sol-SF,1,D,M1,,"M1 — defining sentence, never moves",Type(s) of detector(s) installed in the mass spectrometer and the detection mode(s) used.
Detector Configuration,Sol-SF,2,P,M2,,M2 — typical SF-ICP-MS detector practice,SF-ICP-MS instruments typically use a single SEM.
Detector Configuration,Sol-SF,3,P,M2,,M2 — instrument context: which instruments offer triple mode and what it buys,"Some instruments (e.g., Thermo Element XR) support triple mode: pulse counting for low signals, analog for mid-range signals, and Faraday cup for high signals."
Detector Configuration,Sol-SF,4,D,M3,,M3 — scope boundary: the cross-calibration lives in Group 5,The cross-calibration correction between detector modes is documented in Group 5.
Doubly-Charged Species Monitor,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves",The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning.
Doubly-Charged Species Monitor,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,M2,,M2 — why doubly-charged ions matter: where they appear and what they interfere with,Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region.
Doubly-Charged Species Monitor,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,M3,,M3 — instruction: state the monitor species and mass positions,The monitor species and the mass positions monitored should be stated explicitly.
Doubly-Charged Species Monitor,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",4,D,M3,,M3 — cross-reference to the oxide-monitoring counterpart,Analogous to Oxide Production Method and Threshold for oxide monitoring.
Doubly-Charged Species Monitor,Sol-Q,1,D,M1,,"M1 — defining sentence, never moves",Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning.
Doubly-Charged Species Monitor,Sol-Q,2,P,M2,,M2 — why doubly-charged ions matter,Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses.
Doubly-Charged Species Monitor,Sol-Q,3,P,M2,,M2 — which proxies are standard practice in solution ICP-MS,Ba2+/Ba+ (m/z 69/138) and Ce2+/Ce+ (m/z 70/140) are the most common proxies for solution ICP-MS.
Doubly-Charged Species Monitor,Sol-SF,1,D,M1,,"M1 — defining sentence, never moves",Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning.
Doubly-Charged Species Monitor,Sol-SF,2,P,M2,,M2 — why doubly-charged ions matter,Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses.
Doubly-Charged Species Monitor,Sol-SF,3,P,M2,,M2 — why SF instruments must monitor rather than suppress,"In SF-ICP-MS, doubly-charged species are not suppressed by collision cells and require monitoring through plasma tuning."
Doubly-Charged Species Monitor,Sol-SF,4,P,M2,,M2 — which proxy is standard practice,Ba2+/Ba+ (m/z 69/138) is the most common proxy.
Doubly-Charged Species Production,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves",Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning.
Doubly-Charged Species Production,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,M5,REWRITE-REDUNDANT(C=Advanced + D=Editable),'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the example thresholds survive,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here."
Doubly-Charged Species Production,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,M3,,M3 — instruction: report threshold and measured value,Report both the threshold and the measured value where possible.
