Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Core,Procedure Name,1,D,M1,,,"A short descriptive name for this analytical procedure, including a version number."
Core,Procedure Name,2,D,M3,,,"Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature."
Core,Technique,1,D,M1,,,Top-level analytical technique identifier.
Core,Procedure Author,1,D,M1,,,Person(s) or laboratory responsible for developing and registering this procedure.
Core,Procedure Author,2,D,M3,,,ORCID recommended for individuals.
Core,Laboratory,1,D,M1,,,Name of the laboratory or institution hosting the instrument.
Core,Laboratory ID,1,D,M1,,,"Persistent identifier for the laboratory (e.g., ROR ID)."
Core,Procedure Start Date,1,D,M1,,,First date this procedure configuration was used in production.
Core,Funding Source for Procedure Development,1,D,M1,,,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time."
Core,Funding Source for Procedure Development,2,D,M3,,,Include grant numbers and funding agencies where applicable.
Core,Procedure Reference(s),1,D,M1,,,"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure."
Core,Procedure DOI,1,D,M1,,,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository."
Core,Procedure DOI,2,D,"M4,M5",REWRITE-STRADDLE; REWRITE-REDUNDANT(D=Basic),'mandatory when submitting analytical data' restates D=Basic; remainder is rationale,"This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability."
Core,Procedure DOI,3,D,M3,,,"If a DOI has been applied for but not yet minted, enter ""pending""."
Core,Session Identifier,1,D,M1,,,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software."
Core,Session Identifier,2,P,M2,,wholly rationale — the session/sample model and what the id links to,"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files."
Core,Session Identifier,3,D,M3,,,Distinct from any persistent identifier a repository mints on submission.
Core,Analyst,1,D,M1,,,Name(s) of the analyst(s) who performed the analysis session.
Core,Analyst,2,D,M3,,,ORCID is recommended for persistent identification.
Core,Analysis Start Date,1,D,M1,,,Date on which the analytical session began.
Core,Analysis Start Date,2,D,M3,,,"For sessions spanning multiple days, use the date of the first session."
Core,Analysis Start Date,3,D,M3,,,Format: YYYY-MM-DD.
Core,Analysis End Date,1,D,M1,,,Date on which the analytical session ended.
Core,Analysis End Date,2,D,M3,,,May equal Analysis Start Date for single-day sessions.
Core,Analysis End Date,3,D,M3,,,Format: YYYY-MM-DD.
Core,Funding Source for Analysis,1,D,M1,,,Grants and other funding sources that supported the specific sample analyses and data collection reported here.
Core,Funding Source for Analysis,2,D,M3,,,Include grant numbers and funding agencies.
Core,Funding Source for Analysis,3,D,M3,,,"Distinct from procedure development funding, which may have been awarded years earlier."
Core,Coupled Technique(s),1,D,M1,,,Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure.
Core,Coupled Technique(s),2,D,M3,,,"Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements."
Core,Coupled Technique(s),3,D,M3,,,Use the same controlled vocabulary as the Technique field.
Core,Coupled Technique(s),4,D,M3,,,"Enter ""None"" if no coupling is intended."
Core,Coupling Description,1,D,M1,,,Description of how this procedure is coupled with the technique(s) listed above.
Core,Coupling Description,2,D,M3,,,"Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive)."
Core,Coupling Description,3,D,M3,,,"Required when Coupled Technique(s) is not ""None""."
Core,Coupled Procedure DOI,1,D,M1,,,Registered procedure DOI for the coupled technique named above.
Core,Coupled Procedure DOI,2,P,M2,,wholly rationale — why a citable procedure link is worth having,"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited."
Core,Coupled Procedure DOI,3,D,M3,,,"If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending""."
Core,Coupled Procedure DOI,4,D,M3,,,"Enter ""None"" if no coupling is planned."
Core,Coupled Dataset or Publication Reference,1,D,M1,,,DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together.
Core,Coupled Dataset or Publication Reference,2,D,M3,,,"Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI."
Core,Coupled Dataset or Publication Reference,3,D,M3,,,"Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned."
Core,Coupled Dataset or Publication Reference,4,D,M3,,,"If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2)."
Core,Sample Name,1,D,M1,,,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks."
Core,Sample Name,2,P,"M2,M5",REWRITE-REDUNDANT(Keyed By: sample),"context not instruction, so Purpose; but duplicates what Column I encodes",The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.
Core,Sample Name,3,D,M3,,,Should match the identifier used in associated publications or data tables.
Core,Sample Persistent Identifier,1,D,M1,,,"Globally unique, persistent identifier for each sample listed in Sample Name."
Core,Sample Persistent Identifier,2,D,M3,,,"IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR."
Core,Sample Persistent Identifier,3,D,M3,,,"Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed."
Core,Target Material,1,D,M1,,,General description of the material type(s) this procedure is designed to analyse.
Core,Target Material,2,P,M2,,wholly rationale — discoverability and matrix constraints,"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements."
Core,Sampling Unit,1,D,M1,,,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole."
Core,Sampling Unit,2,D,"M3,M5",REWRITE-REDUNDANT(C=Basic + D=Basic),phrased as an instruction so it stays in B for now; Step 2 deletes it — nothing survives the strip,State the unit type at procedure level and the units actually analysed at analysis level.
Core,Sampling Unit,3,D,M3,,,"Where units nest (e.g. confined tracks within grains), state both levels."
Core,Instrument Manufacturer,1,D,"M1,M4",REWRITE-STRADDLE,S1 never moves; carries a trailing 'so that procedures can be found by vendor',"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor."
Core,Instrument Manufacturer,2,D,M3,,,"Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument."
Core,Instrument Manufacturer,3,D,M3,,,Instrument Model gives the specific designation.
Core,Instrument Model,1,D,M1,,,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix."
Core,Instrument Model,2,D,M3,,,Conventionally written with the manufacturer name included;
Core,Instrument Model,3,D,M3,,,"Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor."
Core,Acquisition Software,1,D,M1,,,"Instrument control, automation and data acquisition software used to collect the raw data, including version number."
Core,Acquisition Software,2,D,M3,,,"Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition."
Core,Data Processing Software(s),1,D,M1,,,"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers."
Core,Data Processing Software(s),2,D,M3,,,List every package used.
Core,Data Processing Software(s),3,D,M3,,,"Distinct from Acquisition Software, which controls the instrument and collects the raw data."
Core,Analytical Mode,1,D,M1,,,Primary analytical mode(s) executed under this procedure.
Core,Analytical Mode,2,D,M3,,,Records one value for a single-mode procedure and all applicable modes for a multi-mode one.
Core,Analytical Mode,3,P,M2,,role and boundary against the mode flag columns,"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability."
Core,Analytical Mode,4,D,"M4,M5",REWRITE-STRADDLE; REWRITE-REDUNDANT(C=Basic),'Required even where...' restates C=Basic; comparability clause is rationale,"Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library."
Core,Reported Variables and Units,1,D,M1,,,The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported.
Core,Reported Variables and Units,2,P,M2,,wholly rationale — why a consumer needs the field,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.
Core,Reported Variables and Units,3,D,M3,,,"Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date)."
Core,Reported Variables and Units,4,D,M3,,,"Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'."
Core,Constants and Reference Values Used,1,D,M1,,,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source."
Core,Constants and Reference Values Used,2,D,M3,,,"Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants."
Core,Constants and Reference Values Used,3,D,M3,,,"Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction."
Core,Additional Notes,1,D,M1,,,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context."
Core,Additional Notes,2,D,M3,,,"Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups."
Core,Additional Notes,3,D,M3,,,Use sparingly; a structured field is preferred for anything that can be formally categorised.
