Module,Layer,Title,Fields,Blocks,Version,Consumers,Status
Aggregation,2,Aggregation of Multiple Analyses,2,2,3,13 TAPP(s),active
Analyte,2,Analyte,1,1,2,13 TAPP(s),active
ArAr,3,40Ar/39Ar Geochronology,16,2,6,0 TAPP(s),active
Blank,2,Analytical Blank,1,1,4,12 TAPP(s),active
CalibrationFactor,2,Externally Calibrated Conversion Factor,1,1,2,14 TAPP(s),active
CollisionCell,2,"Collision/reaction cell — configuration, cell gases and kinetic energy discrimination",8,2,4,6 TAPP(s),active
CompositionQC,2,"Composition quality control — detection limits, counting statistics, secondary reference materials and standards-based normalization",6,2,5,12 TAPP(s),active
Core,2,Universal TAPP Core,31,6,6,16 TAPP(s),active
Geochronology,2,Geochronology,6,1,7,3 TAPP(s),active
Group1,2,Procedure Identification,18,1,4,0 TAPP(s),retired 2026-08-14 — superseded by Core
ICPMS,2,"Inductively Coupled Plasma Mass Spectrometry — plasma, tuning and session quality",39,4,10,9 TAPP(s),active
LaserAblation,2,Laser Ablation Front End,29,4,10,6 TAPP(s),active
MCICPMS,2,Multi-Collector ICP-MS Analyser,15,3,7,3 TAPP(s),active
ReportingCore,2,Cross-Technique Reporting Core,6,5,6,0 TAPP(s),"retired 2026-08-14 — dissolved into TargetSelection, CalibrationFactor, Blank, Aggregation"
SamplingUnitSelection,2,Sampling Unit Selection,2,1,3,13 TAPP(s),active
SolutionIntroduction,2,Solution Sample Preparation and Introduction for MS,16,3,7,3 TAPP(s),active
TargetSelection,2,Target Selection,2,1,2,0 TAPP(s),retired 2026-09-01 — renamed to SamplingUnitSelection; field Target Selection Criteria -> Sampling Unit Selection Criteria
UPb,3,U-Pb Geochronology,15,2,8,3 TAPP(s),active
