Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment
1. Procedure Identification,,,,,,,,,,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",Source: Core module,2026-08-08,(none),,Y,Y,Y,
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-MC-ICP-MS,Source: Core module,2026-08-30,(none),,Y,Y,Y,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",Source: Core module,2026-08-08,(none),,Y,Y,Y,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",Source: Core module,2026-05-06,(none),,Y,Y,Y,
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: Core module,2026-08-08,(none),,Y,Y,Y,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-07-24,(none),,Y,Y,Y,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",Source: Core module,2026-07-24,(none),,Y,Y,Y,
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,Y,
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,
