Metadata Item,Description,Protocol-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry"
1. Protocol Identification,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol Name,"A short descriptive name for this analytical protocol, with version number. Should include instrument, technique, target analyte group, and measured chemical variable.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",,,Y,Y,Y,,Zhang et al. (2022) Iron Meteorite LA-ICP-MS v1,Chernonozhkin et al. (2021) Pallasite Olivine 2D Mapping v1,Chernonozhkin et al. (2021) Pallasite Olivine Multi-run Spot/Transect v1,Chernonozhkin et al. (2021) Pallasite Phosphate Spot v1,Chernonozhkin et al. (2024) Micrometeorite LA-ICP-ToF-MS Mapping v1,Masuda et al. (2024) CAI Mineral msfsLA-ICP-MS Mapping v1,Mittlefehldt (2024) Pallasite Olivine Spot v1,Nakanishi et al. (2022) CR Chondrite Metal HSE fs-LA-ICP-MS Spot v1,Navarro et al. (2024) Iron Meteorite Spot v1,Navarro et al. (2024) Iron Meteorite Raster Mapping v1,Zhang et al. (2022) Lunar Meteorite Rb-Sr Transect fs-LA-MC-ICP-MS v1,Liu et al. (2024) Extraterrestrial Flux Glass fs-LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Silicate Glass LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Sulfide LA-ICP-MS Spot v1
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-ICP-MS | LA-ICP-OES | LA-MC-ICP-MS | LA-ICP-ToF-MS | LA-ICP-MS/MS | Others: specify,,,Y,Y,Y,,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-ICP-ToF-MS,fs-LA-Q-ICP-MS (msfsLA),LA-SF-ICP-MS,fs-LA-Q-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,fs-LA-MC-ICP-MS,fs-LA-Q-ICP-MS,LA-Q-ICP-MS,LA-Q-ICP-MS
Protocol Author,Author(s) of the protocol. Can be individual names or lab names. ORCID is recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",,,Y,Y,Y,,"Zhang, Chabot, Rubin, Humayun et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Van Acker, Van Malderen et al.","Masuda, Niki, Hirata, Yokoyama",Mittlefehldt,"Nakanishi, Yokoyama, Okabayashi, Iwamori, Hirata","Navarro, Enzweiler, Crósta et al.","Navarro, Enzweiler, Crósta et al.",Zhang et al. (China Univ. of Geosciences Wuhan),"Liu, Xue, Li, Wang et al.","Liu, Li, Xu, Xiong et al.","Liu, Li, Xu, Xiong et al."
Analyst,Name(s) of the analyst(s) who performed the actual analysis. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",,,Y,Y,Y,,"Plasma Analytical Facility, Florida State University, Tallahassee FL, USA","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Geochemical Research Center, Univ. of Tokyo / Tokyo Inst. of Technology, Japan","ICP-MS Laboratory, NASA Johnson Space Center, Houston TX, USA","Dept. of Earth and Planetary Sciences, Tokyo Institute of Technology, Japan","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","State Key Laboratory of Geological Processes and Mineral Resources, China Univ. Geosciences, Wuhan, China","State Key Laboratory of Lithospheric Evolution and Environmental Coevolution, IGGCAS, Beijing, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China"
Laboratory ID,"Persistent identifier for the laboratory, e.g., ROR ID.",Advanced,Editable,URI,ROR ID or equivalent URI (https://ror.org/),,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Protocol Start Date,First date this protocol configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For analyses spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
