Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
ICPMS,Instrument Serial Number or Lab Identifier,1,D,M1,,,Serial number or laboratory-internal identifier for the specific instrument unit.
ICPMS,Instrument Serial Number or Lab Identifier,2,P,M2,,wholly rationale — traceability to service records,Supports traceability to instrument service records.
ICPMS,Torch Depth,1,D,M1,,,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer."
ICPMS,Torch Depth,2,P,M2,,wholly rationale — what the setting affects,"Affects ion transmission efficiency, oxide formation, and doubly-charged species production."
ICPMS,Torch Depth,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'procedure specifies a target...analyst confirms or fine-adjusts' is almost verbatim the D=Editable definition,The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.
ICPMS,ICP Tuning,1,D,M1,,,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration)."
ICPMS,Instrument Warm-up / Session Duration Limit,1,D,M1,,,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions."
ICPMS,Instrument Warm-up / Session Duration Limit,2,D,"M3,M5",REWRITE-REDUNDANT(D=Read-Only),'cannot be varied by the analyst' is verbatim the D=Read-Only definition,These constraints are part of the procedure and cannot be varied by the analyst.
ICPMS,Make-up Gas and Flow Rate,1,D,M1,,,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate."
ICPMS,Make-up Gas and Flow Rate,2,P,M2,,why argon make-up exists and where it is needed,"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load."
ICPMS,Make-up Gas and Flow Rate,3,D,M4,REWRITE-STRADDLE,context on N2/H2 additions plus an instruction to record their own flow,"Small nitrogen or hydrogen additions are also made here to enhance sensitivity for some elements; record them with their own flow, whose unit commonly differs from the make-up flow."
ICPMS,Make-up Gas and Flow Rate,4,D,M3,,,"Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported."
