Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
1. Procedure Identification,,,,,,,,,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure. Should include instrument, technique, and analyte scope.",Basic,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution SF-ICP-MS,,2026-06-16,,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure.,Basic,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,2026-06-16,,"University of Melbourne, Australia (affiliation)","Institute of Geology and Geophysics, Chinese Academy of Sciences (IGGCAS), Beijing (affiliation)","Pheasant Memorial Laboratory (PML), Okayama University (section 2.1.2)","National High Magnetic Field Laboratory (NHMFL), Florida State University (stated section 2.4)","Godwin Laboratory for Palaeoclimate Research, University of Cambridge (affiliation)","Max-Planck-Institut fuer Chemie (MPIC), Mainz, Germany (affiliation)"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,2026-06-16,,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,2026-07-24,,N,N,N,N,N,N
Funding Source for Procedure Development,Grants and funding that supported development of this procedure. Include grant IDs.,Advanced,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N,N
Procedure Reference(s),DOI or URL for publications or reports describing or evaluating this procedure.,Advanced,Read-Only,URI / DOI,,,2026-07-24,,N,N,N,N,N,N
Procedure DOI,Persistent identifier (DOI) assigned to this registered procedure. Enter 'pending' if a DOI has been applied for but not yet minted.,N/A,Basic,URI / DOI,,,2026-07-24,,N/A,N/A,N/A,N/A,N/A,N/A
Analyst,Name of the analyst who conducted the analysis session.,N/A,Basic,Text (free),,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Analysis Start Date,Date on which the analysis session began.,N/A,Basic,Date,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Analysis End Date,Date on which the analysis session ended (if spanning multiple days).,N/A,Basic,Date,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Funding Source for Analysis,Grants and funding that supported this analytical campaign (distinct from procedure development funding). Include grant IDs.,N/A,Basic,Text (free),,,2026-07-24,,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset (e.g., providing calibration inputs, complementary spatial context, or required companion measurements).",Advanced,Editable,Text (free),,,2026-07-24,,Agilent 7700x Q-ICP-MS (used for Pb isotope comparison; stated section 2.4),N,"Agilent 7500cs Q-ICP-MS at PML (B, Zr, Nb, Mo, Sn, Sb, Hf, Ta on same samples; stated section 2.1.1)",N,N,N
Coupling Description,Describes (1) the functional relationship between this dataset and the coupled technique — what data or context flows between them — and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.,Advanced,Editable,Text (free),,,2026-06-16,,Q-ICP-MS Pb isotope ratios compared with SF-ICP-MS values for validation; Q-ICP-MS showed higher uncertainties (stated section 2.4),N,"SF-ICP-MS (ELEMENT) measured Ti (47Ti, 49Ti) by ID; Q-ICP-MS (7500cs) measured all other elements; both on same digested solutions; stated section 2.1",N,N,N
