Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By
Age Calculation Method,,,,,"e.g., 40Ar/39Ar age equation t = (1/lambda) ln(1 + J x 40Ar*/39ArK), decay constants of Renne et al. (2011) or Steiger & Jager (1977), reference cited",,,reported property
Reported Date Type,,,,,Plateau date | Total fusion date | Inverse isochron date | Normal isochron date | Weighted mean of steps | Single-crystal total fusion date | Mini-plateau date | Other: specify | N/A | None,,,reported property
Inherited or Initial Signal Correction,,,,,"e.g., 'Atmospheric trapped argon assumed, 40Ar/36Ar = 298.56 (Lee et al. 2006)' | '40Ar/36Ar = 295.5 (Nier 1950)' | 'Trapped composition solved from inverse isochron intercept rather than assumed' | 'Excess argon identified from isochron intercept above atmospheric'",,,reported property
Radiogenic Fraction of Measured Signal,,,,,"Reported for 40Ar/39Ar as %40Ar*, the proportion of radiogenic 40Ar. e.g., '%40Ar* = 98.2' | 'per-step range 41-99.3% across 14 steps'",,,reported property
Age Model,,,,,"e.g., 'Plateau: 3 or more contiguous steps, 50%+ of 39Ar released, steps concordant at 2 sigma, MSWD within the 95% bound' | 'York (1969) inverse isochron regression' | 'Weighted mean of plateau steps, uncertainty expanded by sqrt(MSWD)'",,,reported property
Age Datum / Reference Epoch,,,,,"Time interval used in decay corrections, i.e. days elapsed from end of irradiation to start of analysis (required by Schaen et al. 2021, because 37Ar and 39Ar decay measurably over that interval). e.g., 'Irradiation ended 2025-11-04; analyses 2025-11-19 to 2025-11-27, 15-23 days'",,,reported property
Calibration Factor and Determination Method,,,,,"Reported for 40Ar/39Ar as the J value (neutron fluence parameter). Give the fluence monitor name, its assumed age and reference, the calculated J and its uncertainty, and the monitor's position relative to samples in the irradiation package. e.g., 'J = 0.0009812 +/- 0.15%; monitor Fish Canyon sanidine, 28.201 +/- 0.046 Ma (Kuiper et al. 2008); monitors every 5th position'",,,(none)
Procedural Blank Level,,,,,"e.g., 'Extraction-line + mass spectrometer blanks measured every 3 unknowns; 40Ar blank 2.1e-16 mol, 36Ar blank 4e-19 mol, uncertainty from blank variability not measurement precision' | 'Air pipette and cocktail measured at session start and every 12 h'",,,(none)
Analysis Inclusion and Rejection Criteria,,,,,"e.g., '14 heating steps measured; steps 5-12 define the plateau (78% of 39Ar released); steps 1-4 excluded as low-temperature loss, 13-14 excluded as recoil-affected' | 'All 24 single-crystal total fusion analyses included'",,,(none)
Goodness-of-Fit or Dispersion Statistic,,,,,"e.g., 'Plateau MSWD = 0.94, p = 0.51 (n = 8 steps)' | 'Inverse isochron MSWD = 1.8, 40Ar/36Ar intercept 302 +/- 6, indicating minor excess argon'",,,reported property
Target Selection Criteria,,,,,"e.g., 'Single sanidine crystals 250-500 um, inclusion-free, hand-picked under binocular microscope' | 'Multicrystal groundmass aliquots, 8-12 mg, 150-250 um sieve fraction, acid-leached'",,,(none)
Pre-Analysis Imaging and Screening,,,,,"Not routine for 40Ar/39Ar; record 'None' where grains were selected optically without imaging. e.g., 'None (optical hand-picking only)' | 'BSE imaging of groundmass to confirm absence of alteration and xenocrysts'",,,(none)
Neutron Irradiation Conditions,"Reactor and irradiation position used to convert 39K to 39Ar, the irradiation duration, and whether cadmium shielding or sample rotation was used.",Basic,Read-Only,Text (free),"e.g., 'USGS TRIGA reactor, central thimble facility, 20 MWh, Cd-shielded, rotated' | 'Oregon State TRIGA, CLICIT position, 6 h, no Cd shielding'",,2026-08-25,(none)
Neutron-Induced Interfering Isotope Production Ratios,"Correction factors for argon isotopes produced during irradiation from potassium, calcium and chlorine rather than from the decay of 40K, with the reference for each. Distinct from spectral or isobaric interference in the mass spectrometer: these are nuclear production reactions occurring in the reactor, and the correction factors are properties of the irradiation facility, not of the instrument.",Basic,Read-Only,Text (free),"e.g., '(36Ar/37Ar)Ca = 2.65e-4, (39Ar/37Ar)Ca = 6.95e-4, (40Ar/39Ar)K = 7.3e-4 (Renne et al. 2013)' | 'Cl-derived 38Ar correction applied per Renne et al. (2008)'",,2026-08-25,(none)
Gas Extraction and Release Schedule,"How argon was released from the sample: for incremental heating, the temperature or laser power of each step and its duration; for total fusion, the fusion conditions.",Basic,Editable,Text (free),"e.g., '14 steps, defocused CO2 laser 0.5-9.0 W, 60 s per step, 120 s gettering' | 'Double-vacuum resistance furnace, 600-1400 C in 50 C steps, 10 min each' | 'Single-crystal total fusion, 12 W CO2 laser'",,2026-08-25,(none)
F Value (40Ar*/39ArK),"The corrected ratio of radiogenic 40Ar to potassium-derived 39Ar, with its uncertainty — the measured quantity from which the date is calculated once multiplied by J.",N/A,Basic,Text (free),"e.g., 'F = 12.4183 +/- 0.0091 (plateau)' | 'per-step F values tabulated in supplement'",,2026-08-25,(none)
