Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Single-volume,Multi-volume stitching,Literature Assessment,"Eckley 2024
(JSC Scan Record)
Bennu particle
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Genge et al. 2025
(Nat. Commun.)
Ryugu particle (A0180)
Single-volume
Zeiss Versa
Not stated","Neuman et al. 2025 /
Shearer et al. 2024
(JGR / Space Sci. Rev.)
Apollo 17 core 73002
Multi-volume stitching
NSI custom, UTCT","Neuman et al. 2025
(JGR Planets)
Apollo 17 core 73001
Multi-volume stitching
NSI custom, UTCT","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 73001 CSVC
Single-volume
Nikon XTH 320
NASA JSC","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 particles
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Tomkinson et al. 2015
(MAPS)
NWA 5790 nakhlite
Single-volume
Nikon Metris XTH 225
U. Manchester","Glavin et al. 2023
(MAPS)
Murchison CM2
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Nascimento-Dias
et al. 2019
(Appl. Radiat. Isot.)
NWA 8277 + NWA 6963
Single-volume
Bruker Skyscan 1173","Richard et al. 2019
(Chem. Geol.)
Olivine (melt incl.)
Single-volume
Zeiss Xradia 510 Versa
UNAM Mexico","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
Whole sample (low-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
ROI scan (high-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Fluid incl. minerals (C-I)
Single-volume
Phoenix Nanotom S
U. Lorraine","Tait 2014
(Thesis)
Watson 012 H7 chondrite
Single-volume
XRADIA XRM500
CSIRO Kensington",
1. Procedure Identification,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'Lab-XCT Meteorite 3D Characterization v1.0' | 'µXCT Lunar Core Multi-volume Stitching v1'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Lab XCT | Lab XCT (nano-CT),Source: Core module,2026-08-30,(none),,Y,Y,,Lab XCT,Lab XCT (nano-CT),Lab XCT,Lab XCT,Lab XCT,Lab XCT,Lab XCT,Lab XCT,Lab XCT,Lab XCT (nano-CT),Lab XCT,Lab XCT,Lab XCT (nano-CT),Lab XCT (nano-CT),
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'X-Ray Imaging Lab, University of X'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'UTCT Laboratory, University of Texas at Austin' | 'NASA JSC Astromaterials X-ray CT Laboratory'",Source: Core module,2026-05-15,(none),,Y,Y,,NASA JSC Astromaterials X-FaCT Lab,Not stated,"UTCT Facility, U. Texas","UTCT Facility, U. Texas",NASA JSC Astromaterials X-FaCT Lab,NASA JSC Astromaterials X-FaCT Lab,"Manchester X-ray Imaging Facility, U. Manchester",NASA JSC Astromaterials X-FaCT Lab,"Nuclear Instrumentation Lab, COPPE, UFRJ, Brazil","Lab. de Microtomografía de Rayos X, UNAM, Mexico","U. Strathclyde, Glasgow, UK","U. Strathclyde, Glasgow, UK","Université de Lorraine, France","CSIRO, Kensington, Western Australia",
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,"e.g., https://ror.org/00hj54h04",Source: Core module,2026-05-15,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500' | 'NASA ROSES 80NSSC21K0153' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1111/maps.12888 | doi:10.1016/j.chemer.2017.01.006",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
