"Metadata Item","Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
"1. Protocol Identification","","","","","","","","","","","","","","","N","N"
"Protocol Name","Zhang et al. (2022) Iron Meteorite LA-ICP-MS v1","Chernonozhkin et al. (2021) Pallasite Olivine 2D Mapping v1","Chernonozhkin et al. (2021) Pallasite Olivine Multi-run Spot/Transect v1","Chernonozhkin et al. (2021) Pallasite Phosphate Spot v1","Chernonozhkin et al. (2024) Micrometeorite LA-ICP-ToF-MS Mapping v1","Masuda et al. (2024) CAI Mineral msfsLA-ICP-MS Mapping v1","Mittlefehldt (2024) Pallasite Olivine Spot v1","Nakanishi et al. (2022) CR Chondrite Metal HSE fs-LA-ICP-MS Spot v1","Navarro et al. (2024) Iron Meteorite Spot v1","Navarro et al. (2024) Iron Meteorite Raster Mapping v1","Zhang et al. (2022) Lunar Meteorite Rb-Sr Transect fs-LA-MC-ICP-MS v1","Liu et al. (2024) Extraterrestrial Flux Glass fs-LA-ICP-MS Spot v1","Liu et al. (2025) Experimental Silicate Glass LA-ICP-MS Spot v1","Liu et al. (2025) Experimental Sulfide LA-ICP-MS Spot v1","N","N"
"Technique","LA-SF-ICP-MS","LA-SF-ICP-MS","LA-SF-ICP-MS","LA-SF-ICP-MS","LA-ICP-ToF-MS","fs-LA-Q-ICP-MS (msfsLA)","LA-SF-ICP-MS","fs-LA-Q-ICP-MS","LA-SF-ICP-MS","LA-SF-ICP-MS","fs-LA-MC-ICP-MS","fs-LA-Q-ICP-MS","LA-Q-ICP-MS","LA-Q-ICP-MS","LA-ICP-MS (193 nm excimer laser + ICP-MS; top-level technique) [P4]","LA-ICP-MS (same as silicate protocol) [P4]"
"Protocol Author","Zhang, Chabot, Rubin, Humayun et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Van Acker, Van Malderen et al.","Masuda, Niki, Hirata, Yokoyama","Mittlefehldt","Nakanishi, Yokoyama, Okabayashi, Iwamori, Hirata","Navarro, Enzweiler, Crósta et al.","Navarro, Enzweiler, Crósta et al.","Zhang et al. (China Univ. of Geosciences Wuhan)","Liu, Xue, Li, Wang et al.","Liu, Li, Xu, Xiong et al.","Liu, Li, Xu, Xiong et al.","N","N"
"Analyst","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N (Allan Patchen and Luca Fedele assisted with data collection per acknowledgments; not explicitly named as analysts in methods) [P20-Ack]","N (same as silicate protocol) [P20-Ack]"
"Laboratory","Plasma Analytical Facility, Florida State University, Tallahassee FL, USA","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Geochemical Research Center, Univ. of Tokyo / Tokyo Inst. of Technology, Japan","ICP-MS Laboratory, NASA Johnson Space Center, Houston TX, USA","Dept. of Earth and Planetary Sciences, Tokyo Institute of Technology, Japan","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","State Key Laboratory of Geological Processes and Mineral Resources, China Univ. Geosciences, Wuhan, China","State Key Laboratory of Lithospheric Evolution and Environmental Coevolution, IGGCAS, Beijing, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","Department of Geosciences, Virginia Tech [P4]","Department of Geosciences, Virginia Tech [P4]"
"Laboratory ID","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Protocol Start Date","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Analysis Start Date","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Analysis End Date","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
