Field,Variant_TAPPs,Sentence_no,Keyed_By,W5_disposition_PROPOSED,Basis,Sentence_TEXT
Dwell Time per Pixel,EPMA,3,channel,READ,"says the cardinality COLLAPSES on the EDS branch; Column I cannot express a per-branch collapse, so this is not plain repetition","For EDS: total live-time per spectrum per pixel, a single value."
Counting Statistics Error,"EPMA,SEM,SEMcomp",1,sample > sampling unit x reported property,W5.1,compound key; conventions.md 7.3 takes the x-ordering from the field's own description,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated."
Detection Limit,EPMA,1,reported property,W5.1,"names the key correctly and then RECONCILES it with the analyte set — an equivalence Column I cannot express; keep the reconciliation, the leading restatement may still be trimmed","Method detection limit at 99% confidence (3-sigma), one per reported concentration variable (one per analyte, these being the same set), derived from counting statistics on peak and background."
Detection Limit,"SEM,SEMcomp",1,reported property,W5.1,"names the key correctly and then RECONCILES it with the analyte set — an equivalence Column I cannot express; keep the reconciliation, the leading restatement may still be trimmed","Method detection limit at 99% confidence, one per reported concentration variable (one per analyte, these being the same set)."
EDS Detection Limit,TEM,1,reported property,W5.1,"names the key correctly and then RECONCILES it with the analyte set — an equivalence Column I cannot express; keep the reconciliation, the leading restatement may still be trimmed","Estimated detection limits by EDS under this procedure's conditions, one per reported concentration variable (one per analyte, these being the same set)."
EELS Edges,TEM,2,defines: channel per analyte,W5.1,`defines:` form — Column I is derived FROM this description; stripping orphans the definition,"Provides the EELS-specific counterpart to the Analyte field: while Analyte lists elements, EELS Edges documents which ionization edges were used and their approximate energy loss positions."
Secondary Reference Materials,EPMA,2,defines: standard per analyte,W5.1,`defines:` form — Column I is derived FROM this description; stripping orphans the definition,"Include material name, assessed elements, number of analyses (n), and measured vs. accepted values."
Secondary Reference Materials,"SEM,SEMcomp",2,defines: standard per analyte,W5.1,`defines:` form — Column I is derived FROM this description; stripping orphans the definition,"Include material name, assessed elements, number of analyses (n), and measured vs. accepted values where available."
WDS Spectrometer Channel,"EPMA,SEM,SEMcomp",1,defines: channel per analyte,W5.1,`defines:` form — Column I is derived FROM this description; stripping orphans the definition,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment."
WDS Spectrometer Channel,"EPMA,SEM,SEMcomp",2,defines: channel per analyte,W5.1,`defines:` form — Column I is derived FROM this description; stripping orphans the definition,"An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup."
Diffracting Crystal,"EPMA,SEM,SEMcomp",1,channel,W5.2,Column I already names the axis and the prose adds nothing else,Analyzing crystal (monochromator) used on each spectrometer assignment.
Dwell Time per Pixel,EPMA,2,channel,W5.2,Column I already names the axis and the prose adds nothing else,For WDS: one value per spectrometer assignment per pixel.
EPMA Technique per Analyte,EPMA,1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,Whether each analyte was measured by WDS or EDS.
EPMA Technique per Analyte,EPMA,2,analyte,W5.2,Column I already names the axis and the prose adds nothing else,"In a WDS+EDS procedure, some elements may be assigned to WDS and others to EDS."
Interference Correction Standard,EPMA,1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,Reference material used to quantify and calibrate the interference correction for this analyte.
Interference Correction Standard,"SEM,SEMcomp",1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,Reference material used to quantify and calibrate the interference correction for each affected analyte.
Interference Corrections Applied,"EPMA,SEM,SEMcomp",1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,Whether a spectral interference correction was applied for each analyte.
Interfering Elements,EPMA,1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,"Element(s) whose X-ray lines overlap with the measured peak for this analyte, requiring a correction."
Interfering Elements,"SEM,SEMcomp",1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,"Element(s) whose X-ray lines overlap with the measured peak for one or more analytes, requiring a correction."
Peak Counting Time,"EPMA,SEM,SEMcomp",1,channel,W5.2,Column I already names the axis and the prose adds nothing else,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment."
Proportional Counter / Detector,"EPMA,SEM,SEMcomp",1,channel,W5.2,Column I already names the axis and the prose adds nothing else,Type of detector used on each spectrometer assignment.
Technique per Analyte,"SEM,SEMcomp",1,analyte,W5.2,Column I already names the axis and the prose adds nothing else,"For each analyte, records which X-ray detection technique (EDS or WDS) was used to collect the measurement."
X-ray Line,"EPMA,SEM,SEMcomp",1,channel,W5.2,Column I already names the axis and the prose adds nothing else,X-ray emission line measured on each spectrometer assignment.
Dwell Time per Pixel,"FIB,SEM,SEMcomp,SEMimg",3,channel,W5.3,"Column I is (none) in SEM_FIBSEM and SEM_Imaging; there this clause is the only record of cardinality. Fix Column I, do not strip.","For WDS mapping, the dwell time is per spectrometer per pixel."
Analytical Accuracy,"EPMA,SEM,SEMcomp",2,standard x reported property,W5.4,"prose says analyte where Column I says reported property, with no reconciliation offered; two columns disagree","Include reference material, reference value source, and per-analyte value."
Analytical Precision,"EPMA,SEM,SEMcomp",2,standard x reported property,W5.4,"prose says analyte where Column I says reported property, with no reconciliation offered; two columns disagree","Include reference material name, number of analyses (n), and value per analyte or element group."
