Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama
1. Procedure Identification,,,,,,,,,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure. Should include instrument, technique, and analyte scope.",Basic,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution Q-ICP-MS,,2026-06-16,,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure.,Basic,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,2026-06-16,,"State Key Laboratory of Continental Dynamics, Northwest University, Xi'an (affiliation)",University of Cambridge (affiliation),"Pheasant Memorial Laboratory (PML) for Geochemistry and Cosmochemistry, Okayama University (affiliation)","Institut de Physique du Globe de Paris (IPGP), France (affiliation)","Pheasant Memorial Laboratory (PML), Okayama University (section 2.1)"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,2026-06-16,,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,2026-07-24,,N,N,N,N,N
Funding Source for Procedure Development,Grants and funding that supported development of this procedure. Include grant IDs.,Advanced,Read-Only,Text (free),,,2026-07-24,,N,N,N,N,N
Procedure Reference(s),DOI or URL for publications or reports describing or evaluating this procedure.,Advanced,Read-Only,URI / DOI,,,2026-07-24,,N,N,N,N,N
Procedure DOI,Persistent identifier (DOI) assigned to this registered procedure. Enter 'pending' if a DOI has been applied for but not yet minted.,N/A,Basic,URI / DOI,,,2026-07-24,,N/A,N/A,N/A,N/A,N/A
Analyst,Name of the analyst who conducted the analysis session.,N/A,Basic,Text (free),,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Analysis Start Date,Date on which the analysis session began.,N/A,Basic,Date,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Analysis End Date,Date on which the analysis session ended (if spanning multiple days).,N/A,Basic,Date,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Funding Source for Analysis,Grants and funding that supported this analytical campaign (distinct from procedure development funding). Include grant IDs.,N/A,Basic,Text (free),,,2026-07-24,,N/A,N/A,N/A,N/A,N/A
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset (e.g., providing calibration inputs, complementary spatial context, or required companion measurements).",Advanced,Editable,Text (free),,,2026-07-24,,N,ICP-AES (for initial [Ca] determination; stated section 2),N,MC-ICP-MS (Neptune Plus at IPGP; for Zn isotope measurements; stated Methods),SF-ICP-MS (Finnigan ELEMENT at PML; for Ti measurements; stated section 2.1.2)
Coupling Description,Describes (1) the functional relationship between this dataset and the coupled technique — what data or context flows between them — and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.,Advanced,Editable,Text (free),,,2026-06-16,,N,ICP-AES measured initial Ca concentration; sample then diluted to 100 ppm Ca for Q-ICP-MS analysis; ICP-AES performed first (stated section 2),N,"Same dissolved aliquots analyzed by Q-ICP-MS (major/trace elements, masses 23-75) and MC-ICP-MS (Zn isotopes); stated Methods","Q-ICP-MS (7500cs) measured B, Zr, Nb, Mo, Sn, Sb, Hf, Ta; SF-ICP-MS (ELEMENT) measured Ti and Nb; both techniques on same digested solutions; stated section 2.1"
Coupled Procedure DOI,DOI of the registered procedure for the coupled technique.,N/A,Advanced,URI / DOI,,,2026-07-24,,N/A,N/A,N/A,N/A,N/A
Coupled Dataset or Publication Reference,"DOI of the dataset or publication containing the coupled technique data. If coupling is documented only through a shared sample IGSN (Group 2), this field may be 'None'.",N/A,Advanced,URI / DOI,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
2. Samples,,,,,,,,,N,N,N,N,N
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, peridotite, meteorite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,,2026-06-16,,"Geological reference materials (basalt, andesite, granite, shale); upper continental crust samples (stated abstract)",Foraminifera calcite (benthic and planktonic species; stated abstract),"Silicate reference materials (basalt, andesite, peridotite), NIST SRM glasses, carbonaceous chondrites (stated section 2)","Carbonaceous chondrites (CI, CM, CV, CO, CR, CK, CH, CY, CB types; stated abstract)","Geological reference materials (basalt, andesite, peridotite) and carbonaceous chondrites (stated section 2.5)"
Sample IGSN,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,,Whole-rock powder (50 mg; stated section 3.3),Foraminifera shells cleaned mechanically and chemically then dissolved; no grinding (stated section 2),Whole-rock powder or glass chips (stated section 2),N,Whole-rock powder (decomposed in TFM bomb with HF; stated section 2.1.1)
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3, HNO3–HCl).",Basic,Read-Only,Text (free),HF–HNO3 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,,2026-06-16,,Step 1: conc. HNO3 (1 ml) + conc. HF (1 ml); Steps 2-3: conc. HNO3 fuming to dryness (twice); Step 4: HNO3 (1.5 ml) + ultra-pure water (2.5 ml); stated section 3.3,N/A (simple dissolution in 0.075 M HNO3; stated section 2),"HF + HClO4 (basalt/glass, ultrasonic); HF alone in TFE bomb (peridotite/chondrite; stated section 2)",N,0.5 mol/l HF (stated section 2.1.1)
Digestion Vessel Type,Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution.,Basic,Read-Only,Controlled list,Savillex beaker | Parr bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-06-16,,PTFE-lined stainless steel bomb (home-made; stated section 3.3),N/A (simple dissolution in vial; stated section 2),Ultrasonic bath (basalt/glass); TFE bomb at 245 deg C (peridotite/chondrite; stated section 2),N,TFM bomb (TFM-981; stated section 2.1.1)
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals).",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,,2 (step 1: bomb at 190 deg C / 48 h in HNO3+HF; step 4: bomb at 150 deg C overnight in HNO3+water; five steps explicitly numbered; stated section 3.3),1 (simple dissolution; stated section 2),N,N,N
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),,,2026-07-24,,190 deg C (stated section 3.3),N/A (ambient dissolution; stated section 2),Ambient for ultrasonic; 245 deg C for TFE bomb (stated section 2),N,N
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),,,2026-06-16,,48 h (stated section 3.3),N/A,N,N,N
Final Solution Matrix,Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission.,Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 4% HCl | 2% HNO3 + trace HF | N/A | None | Other: specify,,2026-06-16,,Dilute HNO3 (~3%; 1.5 ml conc. HNO3 in ~50 ml; stated section 3.3),0.075 M HNO3 at 100 ppm Ca (stated section 2),0.5 mol/l HNO3 (stated section 2),N,0.5 mol/l HF (stated section 2.1.1)
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Advanced,Editable,Numeric (mg or mL),,,2026-06-16,,50 mg (stated section 3.3),N,15-63 mg (silicates); 8-22 mg (NIST glass); 9-28 mg (chondrites; stated section 2),N,N
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to ICP-MS analysis. Common for procedures requiring matrix removal or interference elimination before measurement (e.g., Fe and Cu–Zn for isotope dilution). Record resin type and matrix conditions if applied. Record 'None' if direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,,2026-07-24,,None (direct analysis of digested solution),None (direct analysis of dissolved foraminifera),None (direct analysis),None (direct analysis; stated Methods),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.1)
Isotope Dilution Spike,Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis. Record spike name or certificate reference and spike isotope(s). Record 'None' if ID technique is not used.,Basic,Read-Only,Text (free),IRMM-016 (Fe) | 67Zn spike | None | N/A | Other: specify,,2026-06-16,,None,None,"149Sm-enriched spike (used as ID internal standard for Cd, In, Tl, Bi; stated section 2)",None,"Multi-element enriched isotope spikes (Mo, Sn, Sb, Zr, Hf, Ta, B spikes; stated section 2.1)"
3. Instrument & Software,,,,,,,,,N,N,N,N,N
Instrument Make and Model,"Manufacturer and model name of the quadrupole ICP-MS instrument (e.g., Thermo iCAP RQ, Agilent 7900, PerkinElmer NexION 350D). Determines instrument-specific tuning parameters and available cell configurations.",Basic,Read-Only,Text (free),Thermo iCAP RQ | Agilent 7900 | Agilent 7700x | PerkinElmer NexION 350D | Thermo X Series II | Agilent 8900 (ICP-MS/MS) | N/A | None | Other: specify,,2026-06-16,,PerkinElmer SCIEX ELAN 6100 DRC (stated section 3.1),PerkinElmer Elan DRC II (stated section 2 and Table 1),Agilent 7500cs (stated section 2),Agilent 7900 (stated Methods),Agilent 7500cs (stated section 2.1.1)
ICP-MS Type,Type of quadrupole ICP-MS system. Determines available cell configurations and interference mitigation strategies. Triple quadrupole (ICP-MS/MS) instruments add a second mass-selection quadrupole upstream of the octopole reaction cell for enhanced interference rejection.,Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | Other: specify,,2026-06-16,,Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-16,,N,N,N,N,N
