Field,N_TAPPs,N_variants,Worst_similarity,Verdict,Basis,Owner,Variants
Oxide Production Method and Threshold,9,4,0.68,DRIFT,same content (0.53–0.80) once technique terms are set aside (icp-ms),TAPP-owned,"[Solution_MC-ICP-MS_v14] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes). ||| [Solution_SF-ICP-MS_v16] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required. BaO+/Ba+ may also be monitored. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. ||| [Solution_Q-ICP-MS_v16] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy."
EDS Dead Time,4,2,0.84,DRIFT,same content (0.82–0.82) once technique terms are set aside (wds),TAPP-owned,"[EPMA_v16,SEM_Composition_v13,SEM_v13] Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting. EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric. Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy. Unlike WDS dead time (see WDS Dead Time Correction), no user-selectable correction algorithm is required. ||| [TEM_v15] Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting. EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric. Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s)."
Sample Persistent Identifier,16,4,0.26,MIXED,content-word overlap 0.21–0.83,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Globally unique, persistent identifier for the analysed sample. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem, and SESAR. ||| [Lab-XCT_v15] Globally unique, persistent identifier for the analysed sample. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] International Geo Sample Number (IGSN) or other persistent identifier for the sample. ||| [EPMA_v16,SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13,TEM_v15] Persistent identifier (e.g., IGSN) for the sample analyzed."
Secondary Reference Materials,12,5,0.09,MIXED,content-word overlap 0.15–0.94,TAPP-owned,"[Solution_MC-ICP-MS_v14] Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and the isotopic composition reference source (certified value, consensus value, or literature compilation). For isotope ratio procedures, secondary RMs are geological materials with published isotopic compositions (e.g., BHVO-2 for Fe isotopes) or pure isotopic standards of certified composition. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Quality-control reference materials analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include material name, source, and citation for accepted values used for comparison. Editable because selection of secondary RMs may vary across sessions. ||| [SEM_Composition_v13,SEM_v13] Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values where available. ||| [EPMA_v16] Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source."
Detection Limit Method,12,5,0.12,MIXED,content-word overlap 0.18–0.88,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Reference or description of the method used to calculate session detection limits. Mandatory at analysis level. Must be consistent with the method applied to generate the Detection Limit values reported above. ||| [EPMA_v16] Formula or approach used to calculate detection limits. Reference method publication if applicable. When the procedure does not specify a method, the analyst should complete this field. ||| [Solution_MC-ICP-MS_v14] Method used to calculate detection limits for each reported concentration variable, where concentration data are reported. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Method used to calculate detection limits for each reported concentration variable. ||| [SEM_Composition_v13,SEM_v13] Formula or approach used to calculate detection limits."
Coolant (Plasma) Gas Flow Rate,9,2,0.55,MIXED,content-word overlap 0.32–0.32,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability. Set during initial plasma optimisation and confirmed at each session start. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation."
RF Power,9,2,0.40,MIXED,content-word overlap 0.16–0.16,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] ICP radiofrequency forward power in watts. Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates."
Limit of Quantification (LOQ) Method,9,3,0.23,MIXED,content-word overlap 0.12–0.80,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported. Concentrations between LOD and LOQ are detectable but not reliably quantifiable. ||| [Solution_MC-ICP-MS_v14] Method used to determine the limit of quantification, where applicable. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Method used to determine the limit of quantification."
Analytical Accuracy and Assessment Method,9,3,0.02,MIXED,content-word overlap 0.09–0.29,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Offset between measured and accepted reference values for secondary reference materials, expressed as % relative bias. Report both the assessment method and the accuracy values. Specify: (1) secondary RM used and source of reference values, (2) number of analyses, and (3) elements or element groups assessed. Report any systematic biases and likely causes. ||| [Solution_MC-ICP-MS_v14] Accuracy of isotope ratio or δ-value measurements relative to certified or published consensus values and the method used to assess it. For isotope ratio procedures, accuracy is typically assessed by comparing measured δ values for secondary geological reference materials against published interlaboratory compilations or certified values. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it."
Doubly-Charged Species Production,8,2,0.36,MIXED,content-word overlap 0.38–0.38,TAPP-owned,"[Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here. Report both the threshold and the measured value where possible."
