Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update
1. Procedure Identification,,,,,,,
Procedure Name,"A short descriptive name for this analytical procedure. Should include instrument, technique, and analyte scope.",Basic,Read-Only,Text (free),,,
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,,,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure.,Basic,Read-Only,Text (free),,,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,
Funding Source for Procedure Development,Grants and funding that supported development of this procedure. Include grant IDs.,Advanced,Read-Only,Text (free),,,
Procedure Reference(s),DOI or URL for publications or reports describing or evaluating this procedure.,Advanced,Read-Only,URI / DOI,,,
Procedure DOI,Persistent identifier (DOI) assigned to this registered procedure. Enter 'pending' if a DOI has been applied for but not yet minted.,N/A,Basic,URI / DOI,,,
Analyst,Name of the analyst who conducted the analysis session.,N/A,Basic,Text (free),,,
Analysis Start Date,Date on which the analysis session began.,N/A,Basic,Date,,,
Analysis End Date,Date on which the analysis session ended (if spanning multiple days).,N/A,Basic,Date,,,
Funding Source for Analysis,Grants and funding that supported this analytical campaign (distinct from procedure development funding). Include grant IDs.,N/A,Basic,Text (free),,,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset (e.g., providing calibration inputs, complementary spatial context, or required companion measurements).",Advanced,Editable,Text (free),,,
Coupling Description,Describes (1) the functional relationship between this dataset and the coupled technique — what data or context flows between them — and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.,Advanced,Editable,Text (free),,,
Coupled Procedure DOI,DOI of the registered procedure for the coupled technique.,N/A,Advanced,URI / DOI,,,
Coupled Dataset or Publication Reference,"DOI of the dataset or publication containing the coupled technique data. If coupling is documented only through a shared sample IGSN (Group 2), this field may be 'None'.",N/A,Advanced,URI / DOI,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
