Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
CollisionCell,Cell Exit Discrimination Voltage,1,D,M1,,"M1 — defining sentence, never moves","Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V)."
CollisionCell,Cell Exit Discrimination Voltage,2,P,M2,,"M2 — how the bias discriminates, and what it controls","A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions, controlling the degree of polyatomic suppression."
CollisionCell,Cell Exit Discrimination Voltage,3,D,M3,,M3 — instruction: sentinel values,"Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell."
CollisionCell,Collision Gas Flow Rate,1,D,M1,,"M1 — defining sentence, never moves","Flow rate of the collision gas, typically He, introduced into the collision/reaction cell in KED mode, in mL/min."
CollisionCell,Collision Gas Flow Rate,2,P,M2,,M2 — interference suppression against analyte sensitivity,Controls the degree of ion thermalization and KED efficiency; higher flow rates give greater interference suppression at the cost of analyte sensitivity.
CollisionCell,Collision Gas Flow Rate,3,D,M3,,M3 — instruction: sentinel values,"Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell."
CollisionCell,Collision Gas Type,1,D,M1,,"M1 — defining sentence, never moves",Type of collision gas introduced into the collision/reaction cell in KED mode.
CollisionCell,Collision Gas Type,2,P,M2,,"M2 — which gas is standard and why (low mass, chemically inert)","Helium (He) is the standard collision gas for kinetic energy discrimination, being low in mass and chemically inert."
CollisionCell,Collision Gas Type,3,D,M3,,M3 — instruction: sentinel values,"Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell."
CollisionCell,Collision/Reaction Cell (CRC) Configuration,1,D,M1,,"M1 — defining sentence, never moves",Whether a collision or reaction cell is installed and its operating mode.
CollisionCell,Collision/Reaction Cell (CRC) Configuration,2,D,M3,,M3 — defines the STD mode,"In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide."
CollisionCell,Collision/Reaction Cell (CRC) Configuration,3,D,M3,,"M3 — defines the KED mode, mechanism included","In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences, which have a larger collision cross-section, are selectively retarded by a cell exit barrier voltage."
CollisionCell,Collision/Reaction Cell (CRC) Configuration,4,D,M3,,M3 — defines the DRC mode,"In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions."
CollisionCell,Collision/Reaction Cell (CRC) Configuration,5,P,M2,,M2 — what an MS/MS second mass filter adds,On MS/MS instruments a second mass filter preceding the cell enables precursor-ion selection.
CollisionCell,Collision/Reaction Cell (CRC) Configuration,6,D,M3,,"M3 — scope: gas types, flows and voltages live in Group 4","Specific gas types, flow rates and cell voltages are documented in Group 4."
CollisionCell,Collision/Reaction Cell (CRC) Configuration,7,D,M3,,M3 — instruction: sentinel value where no cell is fitted,Record 'Not installed' where the instrument has no collision/reaction cell.
CollisionCell,Reaction Gas Flow Rate,1,D,M1,,"M1 — defining sentence, never moves","Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min."
CollisionCell,Reaction Gas Flow Rate,2,D,M3,,M3 — instruction: sentinel values,"Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell."
CollisionCell,Reaction Gas Type,1,D,M1,,"M1 — defining sentence, never moves",Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions.
CollisionCell,Reaction Gas Type,2,D,M3,,"M3 — lists the reaction gases in use; a bare list is allowed content, not a practice claim","Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes), O₂ (e.g., for As, Ge) and CH₄."
CollisionCell,Reaction Gas Type,3,D,M3,,M3 — instruction: sentinel values,"Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell."
CompositionQC,Counting Statistics Error,1,D,M1,,"M1 — defining sentence, never moves","Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated."
CompositionQC,Counting Statistics Error,2,D,M3,,M3 — defines how the quantity is computed,Derived from the counts on the analyte together with those on any background or blank subtracted from it.
CompositionQC,Counting Statistics Error,3,D,M3,,M3 — scope boundary against observed scatter; the interpretation already moved to Purpose in the 2026-08-27 Step 2,"Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately."
CompositionQC,Detection Limit,1,D,M1,,"M1 — defining sentence, never moves","Detection limit, one per reported concentration variable (one per analyte, these being the same set)."
CompositionQC,Detection Limit,2,D,M3,,M3 — instruction: state units and whether estimated or measured,State the units and whether the values are procedure-typical estimates or session-specific measured values.
CompositionQC,Detection Limit,3,D,M3,,M3 — scope: the method lives in Detection Limit Method,The calculation method is recorded separately in Detection Limit Method.
CompositionQC,Detection Limit,4,D,M3,,M3 — instruction: sentinel value,Record 'N/A' where the procedure reports no concentrations.
CompositionQC,Detection Limit Method,1,D,M1,,"M1 — defining sentence, never moves","Formula or approach used to calculate the detection limits, with a citation for the method where one exists."
CompositionQC,Detection Limit Method,2,D,M3,,M3 — consistency instruction against Detection Limit,Must be consistent with the values reported in Detection Limit.
CompositionQC,Normalization / Standards-Based Correction,1,D,M1,,"M1 — defining sentence, never moves","Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal."
CompositionQC,Normalization / Standards-Based Correction,2,D,M3,,M3 — instruction: sentinel value,Record 'None' if no additional normalization is applied.
CompositionQC,Primary Calibration Standard Name,1,D,M1,,"M1 — defining sentence, never moves","Name and reference material identifier of the primary reference material(s) against which the instrument is calibrated — converting raw signal intensities to concentrations, or anchoring an isotope ratio as the bracketing standard or zero-delta reference."
CompositionQC,Primary Calibration Standard Name,2,D,M4,REWRITE-STRADDLE,"instruction on what to give, plus the reason ('since results calibrated against different published values ... are not directly comparable')","Give the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable."
CompositionQC,Secondary Reference Materials,1,D,M1,,"M1 — defining sentence, never moves",Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift.
CompositionQC,Secondary Reference Materials,2,D,M3,,M3 — instruction: what to give,"Give the material name, its source, and a citation for the accepted or reference values used for comparison."
ICPMS,Analysis Sequence,1,D,M1,,"M1 — defining sentence, never moves","The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session."
ICPMS,Analysis Sequence,2,D,M3,,M3 — constraint on the value: adjustments must preserve the bracketing strategy,Adjustments must maintain the bracketing strategy defined in the procedure.
ICPMS,Analytical Accuracy and Assessment Method,1,D,M1,,"M1 — defining sentence, never moves","Offset between measured and accepted values for secondary reference materials, and the method used to assess it."
ICPMS,Analytical Accuracy and Assessment Method,2,D,M3,,M3 — instruction: what to specify,"Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed."
ICPMS,Analytical Accuracy and Assessment Method,3,D,M3,,M3 — instruction: report biases and causes,Report systematic biases and their likely causes.
ICPMS,Analytical Accuracy and Assessment Method,4,D,M3,,M3 — instruction: which form the offset takes,"Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities."
ICPMS,Auxiliary Gas Flow Rate,1,D,M1,,"M1 — defining sentence, never moves","Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min."
ICPMS,Auxiliary Gas Flow Rate,2,D,M3,,M3 — scope boundary against the coolant and carrier gas fields,Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.
ICPMS,Blank / Background Correction Method,1,D,M1,,"M1 — defining sentence, never moves","Method used to subtract background and, where relevant, procedural blank from the measured signal."
ICPMS,Blank / Background Correction Method,2,D,M3,,"M3 — instruction: state what is subtracted, over what interval, at what granularity","State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied."
ICPMS,Calibration Standard Measurement Frequency,1,D,M1,,"M1 — defining sentence, never moves",How often the primary calibration or bracketing standard is measured relative to unknown samples within a session.
ICPMS,Calibration Standard Measurement Frequency,2,D,M3,,M3 — instruction: specify the bracketing scheme,"Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample."
ICPMS,Interface Cone Configuration,1,D,M1,,"M1 — defining sentence, never moves",Geometry and designation of the sampler and skimmer cones installed during analysis.
ICPMS,Interface Cone Configuration,2,D,M3,,M3 — instruction: state both cones,State both cones.
ICPMS,Interference Correction Method,1,D,M1,,"M1 — defining sentence, never moves","Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard."
ICPMS,Interference Correction Method,2,D,M3,,M3 — instruction: name the reference material,Name the reference material used.
ICPMS,Interfering Species,1,D,M1,,"M1 — defining sentence, never moves","The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam."
ICPMS,Interfering Species,2,D,M3,,M3 — instruction: name each species and the mass affected,Name each species and the mass it affects.
ICPMS,Internal Standard Element,1,D,M1,,"M1 — defining sentence, never moves","Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns."
ICPMS,Internal Standard Element,2,D,M3,,M3 — selection criterion for an isotope-ratio internal standard,Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's.
ICPMS,Internal Standard Element,3,D,M3,,M3 — instruction: sentinel value plus the alternative used,Record 'None' together with the alternative used where no internal standard is applied.
ICPMS,Isobaric Interference Corrections Applied,1,D,M1,,"M1 — defining sentence, never moves","Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell."
ICPMS,Isobaric Interference Corrections Applied,2,D,M3,,M3 — scope: per-mass detail lives in two named fields,Detail for each affected mass is carried by Interfering Species and Interference Correction Method.
ICPMS,Isotope Dilution Data Reduction Method,1,D,M1,,"M1 — defining sentence, never moves","Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements."
ICPMS,Isotope Dilution Data Reduction Method,2,D,M3,,M3 — defines the two reduction routes,For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used.
ICPMS,Isotope Dilution Data Reduction Method,3,D,M3,,M3 — instruction: sentinel value,Record 'None' where neither isotope dilution nor double-spike methods are applied.
ICPMS,Limit of Quantification (LOQ) Method,1,D,M1,,"M1 — defining sentence, never moves",Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy.
ICPMS,Limit of Quantification (LOQ) Method,2,D,M5,REWRITE-REDUNDANT(D=Basic),'Mandatory at analysis level' names the tier; the CONDITION ('when concentrations near the LOD are reported') is real content and is never stripped under W3,Mandatory at analysis level when concentrations near the LOD are reported.
ICPMS,Mass Resolution Setting,1,D,M1,,"M1 — defining sentence, never moves",Operating mass resolution of the mass analyser.
ICPMS,Mass Resolution Setting,2,D,M3,,"M3 — instruction: state the mode, and each where analytes differ","Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each."
ICPMS,Memory Effect Mitigation,1,D,M1,,"M1 — defining sentence, never moves",Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one.
ICPMS,Memory Effect Mitigation,2,D,M3,,M3 — where mitigation is applied and how,"Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions."
ICPMS,Memory Effect Mitigation,3,D,M3,,M3 — instruction: record flagging or exclusion at processing level,"At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved."
ICPMS,Oxide Production Method and Threshold,1,D,M1,,"M1 — defining sentence, never moves",Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis.
ICPMS,Oxide Production Method and Threshold,2,D,M3,,M3 — instruction: record ratio and threshold,Record both the monitored mass ratio(s) and the maximum allowed threshold(s).
ICPMS,Oxide Production Method and Threshold,3,D,M3,,M3 — scope: measured values live in Oxide Production,Measured values are recorded in Oxide Production.
ICPMS,Oxide Production Method and Threshold,4,D,M3,,M3 — lists the monitored ratios in use,"The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use."
ICPMS,Per-Analyte Calibration Strategy,1,D,M1,,"M1 — defining sentence, never moves","Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated."
ICPMS,Per-Analyte Calibration Strategy,2,D,M3,,M3 — instruction for the single-strategy case,"Where a single strategy applies to all analytes, record that strategy."
ICPMS,Per-Analyte Calibration Strategy,3,D,M3,,M3 — instruction: sentinel value for ratio-only procedures,"Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'."
ICPMS,Plasma Thermal Mode,1,D,M1,,"M1 — defining sentence, never moves",Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions.
ICPMS,Plasma Thermal Mode,2,D,M3,,M3 — instruction: document independently of RF Power,Document independently of the RF Power field.
ICPMS,Sampler and Skimmer Cone Material,1,D,M1,,"M1 — defining sentence, never moves",Material composition of the sampler and skimmer cones.
ICPMS,Sampler and Skimmer Cone Material,2,P,M2,,"M2 — which material is standard for which matrix, and why platinum resists corrosion","Nickel is standard for most aqueous and nitric matrices; platinum is used for HCl-rich, high-TDS or organic matrices for its greater corrosion resistance; aluminium is used in some laboratories for high-purity work or enhanced sensitivity."
ICPMS,Sampler and Skimmer Cone Material,3,D,M3,,"M3 — instruction: state both, one statement acceptable where identical",State both sampler and skimmer materials; a single statement is acceptable where they are identical.
ICPMS,Signal Integration Interval Method,1,D,M1,,"M1 — defining sentence, never moves","Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions."
ICPMS,Signal Integration Interval Method,2,D,M3,,M3 — instruction: state the interval type and name the criterion,"State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion."
ICPMS,Signal Integration Time,1,D,M1,,"M1 — defining sentence, never moves","The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition."
ICPMS,Signal Integration Time,2,D,M3,,M3 — conditional instruction on recording the basis,"Where the procedure computes it from an acquisition structure, record that basis."
ICPMS,Spike / Outlier Filtering Approach,1,D,M1,,"M1 — defining sentence, never moves","Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated."
ICPMS,Spike / Outlier Filtering Approach,2,D,M3,,M3 — instruction: state where in the sequence the filter applies,State where in the reduction sequence the filter is applied.
LaserAblation,Background Count Time,1,D,M1,,"M1 — defining sentence, never moves","Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds."
LaserAblation,Background Count Time,2,D,M3,,M3 — defines the background schedule for spot and transect work,"For spot and transect analysis, a discrete background interval is measured before each ablation."
LaserAblation,Background Count Time,3,D,M3,,M3 — defines the background schedule for mapping,"For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel."
LaserAblation,Background Count Time,4,D,M5,REWRITE-REDUNDANT(D=Editable),'Editable to allow session-specific adjustment' is wholly the tier; nothing else is asserted,Editable to allow session-specific adjustment.
LaserAblation,Carrier Gas and Flow Rate,1,D,M1,,"M1 — defining sentence, never moves","Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s)."
LaserAblation,Carrier Gas and Flow Rate,2,P,M2,,M2 — which carrier gas is standard and why,Helium is standard for most UV laser systems due to superior aerosol transport.
LaserAblation,Carrier Gas and Flow Rate,3,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'flow rates are procedure targets; actual session values may be adjusted' is the C/D split in words; the +/-10% bound is real content,Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.
LaserAblation,Elemental Fractionation Correction,1,D,M1,,"M1 — defining sentence, never moves","Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied."
LaserAblation,Elemental Fractionation Correction,2,D,M3,,M3 — instruction: reference the software function or publication,Reference the software function or publication.
LaserAblation,Mapping Area,1,D,M1,,"M1 — defining sentence, never moves","Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm²."
LaserAblation,Mapping Area,2,D,M4+M5,REWRITE-STRADDLE; REWRITE-REDUNDANT(C=N/A + D=Basic),'This is an analysis-level parameter' restates the tiers; why it depends on the grain size is rationale,This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped.
LaserAblation,Mapping Area,3,D,M5,REWRITE-REDUNDANT(C=N/A + D=Basic),'the procedure fixes ...; the map area is chosen at analysis time' is the C/D split in words; which parameters the procedure fixes is real content,"The procedure fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature."
LaserAblation,Multi-Run Sequential Analysis Design,1,D,M1,,"M1 — defining sentence, never moves","Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives."
LaserAblation,Multi-Run Sequential Analysis Design,2,D,M3,,M3 — instruction: what to describe for multi-run designs,"For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another."
LaserAblation,Multi-Run Sequential Analysis Design,3,D,M3,,M3 — scope: not applicable to raster mapping,"Not applicable to raster mapping, where each spatial location is visited exactly once."
LaserAblation,Sample Form / Analytical Substrate,1,D,M1,,"M1 — defining sentence, never moves",Physical form of the material as it enters the ablation cell.
LaserAblation,Sample Form / Analytical Substrate,2,D,M5,REWRITE-REDUNDANT(D=Editable),'Editable to accommodate' names the tier outright; which variations are legitimate is real content,"Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical procedure."
