Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose
Age Calculation Method,,,,,"e.g., 206Pb/238U and 207Pb/235U date equations (Jaffey et al. 1971 decay constants) | 207Pb/206Pb date | Wetherill concordia intercept | Tera-Wasserburg concordia intercept | 238U/206Pb-207Pb/206Pb isochron",,,reported property,Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023).
Reported Date Type,,,,,Weighted mean 206Pb/238U | Weighted mean 207Pb/235U | Weighted mean 207Pb/206Pb | Concordia upper intercept | Concordia lower intercept | Tera-Wasserburg intercept | Single-grain date | Isochron date | Other: specify | N/A | None,,,reported property,"Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this. Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed."
Inherited or Initial Signal Correction,,,,,"e.g., Stacey & Kramers (1975) two-stage model Pb at the interpreted age | 204Pb-based correction | 207Pb-based correction | 208Pb-based correction | Tera-Wasserburg anchored lower intercept | measured Pb from co-genetic K-feldspar | None (Pb*/Pbc sufficiently high that correction is negligible; state the threshold)",,2026-08-25,reported property,"Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used."
Age Model,,,,,"e.g., Weighted mean with MSWD-based uncertainty expansion | York (1969) regression | IsoplotR Model-1, escalating to Model-3 where MSWD exceeds the stated cutoff | Bayesian / Monte Carlo age model",,,reported property,This is a methodological choice that changes the result: a Model-1 and a Model-3 regression of the same data yield different ages and different uncertainties. Required in some form by all six geochronology reporting standards surveyed.
Age Datum / Reference Epoch,,,,,Present day (the conventional datum for U-Pb; state explicitly rather than leaving blank),,,reported property,
Chemical Abrasion Conditions,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step. Record 'None' where grains were analysed untreated.",Basic,Read-Only,Text (free),"e.g., 'Annealed 900 C, 60 h; partial dissolution 12 M HF, 210 C, 12 h' | 'Annealed 850 C, 48 h; 29 M HF, 180 C, 12 h' | 'None (untreated)'",,2026-08-25,(none),"Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon."
Intermediate Daughter Disequilibrium Correction,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source. Record 'None' with a justification where no correction was applied.",Advanced,Read-Only,Text (free),"e.g., '230Th correction applied, Th/U(magma) = 2.8 assumed from whole-rock' | '230Th and 231Pa corrections applied (Crowley et al. 2007)' | 'None (sample older than 100 Ma; effect below stated uncertainty)'",,2026-08-25,(none),"Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples. Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required."
Discordance Definition and Values,"How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained. State the formula used. The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria.",Advanced,Read-Only,Text (free),"e.g., '100 x (1 - [206Pb/238U date] / [207Pb/206Pb date])' | '2-sigma concordia ellipse overlap' | 'discordance -3% to +7% across 24 analyses'",,2026-08-25,pair: reported property,"Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run. Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required."
Calibration Factor and Determination Method,,,,,"e.g., ID-TIMS: EARTHTIME ET535 or ET2535 tracer, calibrated per Condon et al. (2015) and McLean et al. (2015), with stated uncertainty | LA-ICP-MS: matrix-matched primary zircon RM of independently known age (91500, GJ-1, Plesovice) used for downhole-fractionation and Pb/U calibration, with the accepted age and its source",,,(none),
Procedural Blank Level,,,,,"e.g., 'Total procedural Pb blank 0.6 +/- 0.3 pg; blank Pb composition 206Pb/204Pb = 18.55, 207Pb/204Pb = 15.50, 208Pb/204Pb = 38.08 (long-term lab average, n = 42)' | 'Gas blank 120 counts/s at mass 206, subtracted per analysis'",,,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.
