Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Budde+etal2016 | Neptune Plus | IfP Münster,Craddock+etal2008 | Thermo NEPTUNE | WHOI,Hopp+etal2021 | Neptune (Plus spec) | Univ Chicago,Hu+etal2022 | Neptune Plus | Univ Chicago,IbanezMejia+Tissot2020 | Nu Plasma II | MIT,Nie+Dauphas2019 | Neptune | Univ Chicago,Nowell+etal2008 | Neptune | Durham AHIGL,Nowell+etal2008 | Nu Plasma | NIGL,Pringle+Moynier2017 | Neptune Plus | IPGP,Schönbächler+etal2025 | Neptune Plus | ETH Zurich,vanKooten+etal2026 | Thermo Neoma | Univ Copenhagen,Broussard+etal2026 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | ETH Zurich
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution MC-ICP-MS,Source: Core module,2026-06-18,(none),,,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS,Solution MC-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,Source: Core module,2026-06-18,(none),,,"Institut für Planetologie, University of Münster",Woods Hole Oceanographic Institution,University of Chicago,University of Chicago,Massachusetts Institute of Technology,University of Chicago,"Arthur Holmes Isotope Geology Laboratory, Durham",NERC Isotope Geosciences Laboratory (NIGL),Institut de Physique du Globe de Paris,ETH Zurich; sample digestion and separation at Tokyo Institute of Technology,"Centre for Star and Planet Formation, Globe Institute, University of Copenhagen",Washington University in St. Louis,Washington University in St. Louis,"Institute of Geochemistry and Petrology, ETH Zurich"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,Source: Core module,2026-06-18,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
