section,field_name,procedure_tier,analysis_tier,keyed_by,eds_point,eds_mapping,wds_point,wds_mapping,evidence,confidence,ambiguity_note
1,Procedure Name,Basic,Read-Only,(none),Y,Y,Y,Y,"The procedure must have a short descriptive name with a version number that identifies the instrument, the technique, and the scope … The author, name, technique, start date, development funding and references are fixed.",high,
1,Technique (WDS/EDS/Both),Basic,Read-Only,(none),Y,Y,Y,Y,"It must state whether it uses WDS, EDS or both. … The author, name, technique … are fixed.",high,
1,Procedure Author,Basic,Read-Only,(none),Y,Y,Y,Y,"It must name its author, a person or a laboratory, with an ORCID recommended for a person … The author … fixed.",medium,The recommended ORCID was folded into the author field rather than made a separate Advanced field.
1,Host Laboratory or Institution,Basic,Editable,(none),Y,Y,Y,Y,…and must name the laboratory or institution that hosts the instrument. … The laboratory and its identifier may be adjusted by a session.,high,
1,Laboratory Persistent Identifier,Advanced,Editable,(none),Y,Y,Y,Y,It should give that laboratory's persistent identifier. The laboratory and its identifier may be adjusted by a session.,high,
1,Production Start Date,Basic,Read-Only,(none),Y,Y,Y,Y,The procedure must give the date its configuration first went into production use. … start date … fixed.,high,
1,Procedure Development Funding,Advanced,Read-Only,(none),Y,Y,Y,Y,"It should name the funding that supported the instrument, major upgrades and the development of the procedure, with agencies and grant numbers … development funding … fixed.",high,
1,Procedure References,Advanced,Read-Only,(none),Y,Y,Y,Y,"…and should cite the publications or technical reports that describe, validate or benchmark it. … references are fixed.",high,
1,Procedure DOI,N/A,Basic,(none),Y,Y,Y,Y,"Each session must cite the DOI of the procedure it followed, or state ""pending""…",high,
1,Session Identifier,N/A,Basic,(none),Y,Y,Y,Y,"It must give the laboratory's own identifier for the session, as generated by the instrument or acquisition software.",high,
1,Analysts,N/A,Basic,(none),Y,Y,Y,Y,"It must name the analyst or analysts, with ORCIDs recommended.",medium,Recommended ORCIDs folded into the analyst field; multiple analysts but no vocabulary key for them.
1,Session Start Date,N/A,Basic,(none),Y,Y,Y,Y,It must give the date the session began and the date it ended…,high,
1,Session End Date,N/A,Basic,(none),Y,Y,Y,Y,It must give the date the session began and the date it ended…,high,
1,Session Funding,N/A,Basic,(none),Y,Y,Y,Y,"…and must name the funding that supported these specific analyses, with agencies and grant numbers.",high,
1,Coupled Techniques,Advanced,Editable,(none),Y,Y,Y,Y,"The procedure should name any other techniques applied to the same samples … or state ""None"". … A session may adjust both.",medium,"'A session may adjust both' could mean the coupled-technique list plus the description, or only the two parts of the description."
