Field,Group,Variants,Kind,Also_diverges,Attested_cells,Distinct_attested,Distinct_ratio,Suggested_TYPE,DECISION_DataType,DECISION_Description_NEW_TEXT,Description_origin,Variant_texts
Analysis Sequence,4. Measurement Information,3,drift,D,40,27,0.68,,NO CHANGE — stays Text (free),"The repeating order in which calibration standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session, including the bracketing scheme where one is used.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved. ||| [Solution_MC-ICP-MS] Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved. For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference. For double-spike procedures, standards are spiked to the same level as samples before analysis."
Analytical Accuracy and Assessment Method,6. Quality Control & Uncertainty,3,drift,,43,33,0.77,,NO CHANGE — stays Text (free),"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Offset between measured and accepted reference values for secondary reference materials, expressed as % relative bias. Report both the assessment method and the accuracy values. Specify: (1) secondary RM used and source of reference values, (2) number of analyses, and (3) elements or element groups assessed. Report any systematic biases and likely causes. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it. ||| [Solution_MC-ICP-MS] Accuracy of isotope ratio or δ-value measurements relative to certified or published consensus values and the method used to assess it. For isotope ratio procedures, accuracy is typically assessed by comparing measured δ values for secondary geological reference materials against published interlaboratory compilations or certified values."
Auxiliary Gas Flow Rate,4. Measurement Information,2,drift,,11,11,1.0,,NO CHANGE — stays Numeric (L/min),"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas. ||| [Solution_Q-ICP-MS,Solution_MC-ICP-MS,Solution_SF-ICP-MS] Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min)."
Blank / Background Correction Method,5. Data Processing,3,analyser-wrapper,E,35,24,0.69,Controlled list / Text,Controlled list / Text,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Method used to subtract instrument background and/or procedural blank from sample signals. ||| [Solution_MC-ICP-MS] Method used to subtract instrument background from analytical signals. In MC-ICP-MS, on-peak zero subtraction (aspirating the same acid matrix as samples while measuring background at the analyte masses with beam deflector or from baseline cycles at the start of each block) is standard. For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient. For low-level analyses, procedural blank must be measured and subtracted."
Calibration Standard Measurement Frequency,6. Quality Control & Uncertainty,3,drift,,30,19,0.63,,NO CHANGE — stays Text (free),"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Defines the bracketing interval used to monitor and correct instrumental drift. Specify the scheme where a fixed one is used, such as one standard measurement before and after each sample.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] How often the primary calibration standard is measured relative to unknown samples within a session. For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] How often the primary calibration standard is measured relative to unknown samples within a session. ||| [Solution_MC-ICP-MS] How often the primary isotopic standard is measured relative to unknown samples within a session. For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet). Specify the bracketing scheme."
Coolant (Plasma) Gas Flow Rate,4. Measurement Information,2,drift,,25,18,0.72,,NO CHANGE — stays Numeric (L/min),"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability, and influences plasma temperature and oxide ion formation. Set during initial plasma optimisation and confirmed at each session start.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability. Set during initial plasma optimisation and confirmed at each session start. ||| [Solution_Q-ICP-MS,Solution_MC-ICP-MS,Solution_SF-ICP-MS] Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation."
Guard Electrode,3. Instrument & Software,3,drift,,6,3,0.5,,NO CHANGE — stays Controlled list,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis. ||| [Solution_Q-ICP-MS,Solution_MC-ICP-MS] Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. ||| [Solution_SF-ICP-MS] Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. Actively used as a design feature on Thermo Element 2 and Element XR instruments."
ICP-MS Type,3. Instrument & Software,4,ANALYSER-SUBSTANCE,,45,10,0.22,,EXCLUDED from module — stays TAPP-owned (analyser-substance),no merge: each TAPP keeps its analyser-accurate text,n/a — excluded,"[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Type of ICP-MS mass analyser and collector configuration. ||| [Solution_Q-ICP-MS] Type of quadrupole ICP-MS system. Determines available cell configurations and interference mitigation strategies. Triple quadrupole (ICP-MS/MS) instruments add a second mass-selection quadrupole upstream of the octopole reaction cell for enhanced interference rejection. ||| [Solution_MC-ICP-MS] Type of ICP-MS system. Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection. ||| [Solution_SF-ICP-MS] Type of sector-field ICP-MS system. Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams."
Interface Cone Configuration,3. Instrument & Software,4,analyser-wrapper,,27,18,0.67,,NO CHANGE — stays Text (free),"Geometry and designation of the sampler and skimmer cones installed during analysis. Instruments commonly offer more than one skimmer geometry, differing in aperture size and affecting ion transmission efficiency and matrix tolerance; the choice is a procedure design decision. State both cones.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Combination of sample cone and skimmer cone installed during analysis. ||| [Solution_Q-ICP-MS] Geometry and designation of the sampler and skimmer cones installed during analysis. Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance. ||| [Solution_MC-ICP-MS] Geometry and designation of the sampler and skimmer cones installed during analysis. For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision. Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity. ||| [Solution_SF-ICP-MS] Geometry and designation of the sampler and skimmer cones installed during analysis. Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance."
Interference Correction Method,5. Data Processing,4,analyser-wrapper,,37,28,0.76,,NO CHANGE — stays Text (free),"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it. ||| [Solution_Q-ICP-MS] Mathematical approach used to calculate and remove interference contributions from measured signals (e.g., interference standard solutions isolating specific polyatomics, mass-balance equations using empirical correction factors). ||| [Solution_MC-ICP-MS] Mathematical approach used to calculate and remove residual interference contributions. For direct isobars, interference monitor masses (e.g., 202Hg to correct 204Hg on 204Pb) are measured simultaneously and used with natural abundance ratios to calculate the interference contribution. For abundance sensitivity, the tailing factor is measured using a pure standard. ||| [Solution_SF-ICP-MS] Mathematical approach used to calculate and remove residual interference contributions from measured signals. In SF-ICP-MS, interference solutions isolating specific polyatomic species are measured alongside samples and used to calibrate correction factors."
