Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Q-ICP-MS,SF-ICP-MS,MC-ICP-MS,Literature Assessment
1. Procedure Identification,,,,,,,,N,N,N,
Laboratory,"Name of the laboratory or institution hosting the instrument. Standard cross-TAPP identity field, distinct from the paper-sourced 'Laboratory name' field above.",Basic,Editable,Text (free),"e.g., 'NERC Isotope Geosciences Laboratory, British Geological Survey'","Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs). Merged 2026-07-27: also covers Table 3's 'Laboratory name' item (paper example: 'Dept of Earth Science, University of Everywhere').",2026-07-28,Y,Y,Y,
Procedure Name,"A short descriptive name for this analytical procedure, with version number. Should include instrument/mass-analyzer configuration, technique, and target mineral or isotopic system.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS U-Pb Zircon Geochronology v1' | 'LA-SF-ICP-MS U-Th-Pb Monazite Geochronology v1'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Technique,"Top-level analytical technique identifier, including the ICP-MS mass-analyzer configuration used for in situ U-(Th-)Pb dating.",Basic,Read-Only,Controlled list,LA-ICP-MS U-(Th-)Pb Geochronology | LA-Q-ICP-MS U-(Th-)Pb Geochronology | LA-SF-ICP-MS U-(Th-)Pb Geochronology | LA-MC-ICP-MS U-(Th-)Pb Geochronology | Other: specify,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'M. Horstwood (ORCID: 0000-0002-9720-716X), NERC Isotope Geosciences Laboratory'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Laboratory ID,"Persistent identifier for the laboratory, e.g., ROR ID.",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2016-06-01",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session.",N/A,Basic,Date,YYYY-MM-DD,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions.,N/A,Basic,Date,YYYY-MM-DD,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis. Mandatory when submitting analytical data, to encourage formal procedure registration. Enter 'pending' if applied for but not yet minted.",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument purchase, major upgrades, and procedure development. Include grant numbers and funding agencies.",Advanced,Read-Only,Text (free),"e.g., 'NERC IP-1332-0512' | 'None'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Funding Source for Analysis,Grants and other funding sources that supported the specific sample analyses reported here. Distinct from procedure development funding.,N/A,Basic,Text (free),"e.g., 'NSF EAR-1524297' | 'None'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1111/j.1751-908X.2016.00379.x (Horstwood et al. 2016, community reporting standard)",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with, or used to independently validate, this dataset. Enter 'None' if no coupling is intended.",Advanced,Editable,Controlled list / Text,CA-ID-TIMS | SIMS | EPMA | CL/BSE Imaging | Other: specify | None,Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
