Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
1. Procedure Identification,,,,,,,,,,N,N,N,N,,,,,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,Nakanishi et al. (2022) CR Chondrite Metal HSE fs-LA-ICP-MS Spot v1,Liu et al. (2024) Extraterrestrial Flux Glass fs-LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Silicate Glass LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Sulfide LA-ICP-MS Spot v1,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-ICP-MS | LA-ICP-OES | LA-MC-ICP-MS | LA-ICP-ToF-MS | LA-ICP-MS/MS | Other: specify,Source: Core module,2026-05-06,(none),,Y,Y,Y,,fs-LA-Q-ICP-MS,fs-LA-Q-ICP-MS,LA-Q-ICP-MS,LA-Q-ICP-MS,LA-ICP-MS (193 nm excimer laser + ICP-MS; top-level technique) [P4],LA-ICP-MS (same as silicate protocol) [P4]
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,"Nakanishi, Yokoyama, Okabayashi, Iwamori, Hirata","Liu, Xue, Li, Wang et al.","Liu, Li, Xu, Xiong et al.","Liu, Li, Xu, Xiong et al.",N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",Source: Core module,2026-05-06,(none),,Y,Y,Y,,"Dept. of Earth and Planetary Sciences, Tokyo Institute of Technology, Japan","State Key Laboratory of Lithospheric Evolution and Environmental Coevolution, IGGCAS, Beijing, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","Department of Geosciences, Virginia Tech [P4]","Department of Geosciences, Virginia Tech [P4]"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: Core module,2026-08-08,(none),,Y,Y,Y,,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,JSPS KAKENHI; Tokyo Institute of Technology,NSFC; Chinese Academy of Sciences,"Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",Source: Core module,2026-07-24,(none),,Y,Y,Y,,"Nakanishi et al. (2022) GCA 319, 254; Walker et al. (2008) for IVB standards","Liu et al. (2024) JAAS 39, 2728; Pettke et al. (2012) for LOD","Liu et al. (2025) GCA 393, 170; Xu et al. (2022) for experimental protocol","Liu et al. (2025) GCA 393, 170; Xu et al. (2022)",Udry et al. (2012) and Pernet-Fisher et al. (2014) cited as broad references for the analytical procedure [P4],Same as silicate protocol [P4]
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,Y,,N,N,N,N,N,N
