Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution.,Advanced,Editable,Numeric (mg or mL),,,2026-08-25,sample,Used for yield calculations and concentration back-calculation.
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,,,,defines: preparation step,
Digestion Vessel Type,Type of vessel used for acid digestion.,Basic,Read-Only,Text (free),,,2026-08-25,(none),"Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures)."
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).",Basic,Read-Only,Text (free),,,2026-08-25,preparation step,"For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution."
Digestion Temperature,Temperature at which acid digestion was carried out (°C).,Basic,Editable,Numeric (°C),,,2026-08-25,preparation step,
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),,,,preparation step,
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list / Text,,,2026-08-30,(none),"Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement."
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, add and equilibrate the spike before digestion. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),,,2026-08-25,(none),
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. For isotope-ratio procedures, match acid molarity precisely between samples and bracketing standards. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),,,2026-08-25,(none),Directly affects instrument response and ion transmission.
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction.,Basic,Read-Only,Text (free),,,2026-08-25,(none),Affects droplet size distribution and sample introduction efficiency.
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C).,Basic,Read-Only,Text (free),,,2026-08-25,(none),Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.
Desolvation System,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Record 'None' if not used.,Advanced,Read-Only,Controlled list / Text,,,2026-08-30,(none),"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction."
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),,,,(none),
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).,Basic,Editable,Numeric (L/min),,,2026-08-25,(none),Controls aerosol transport and strongly influences signal sensitivity and stability.
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds).,Basic,Read-Only,Numeric (s),,,2026-08-25,(none),"Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions."
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),,,,(none),
