Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,Ma+2015 | Caltech GPS | WDS Point Analysis (JEOL 8200),Hu+2020 | IGGCAS | WDS Point Analysis (JEOL JXA-8100),Liu+2016_UT | Cameca SX100 | WDS Mapping (U.Tennessee),Liu+2016_Cal | JEOL JXA-8200 | WDS Point Analysis (Caltech GPS),Ma+2017 | JEOL 8200 | WDS Point Analysis (Caltech GPS Analytical Facility),Frank+2023 | Cameca SX100 | WDS Point Analysis (ARES JSC),Broussard+2026 | JEOL JXA-8200 | WDS Mapping (WashU),Seifert+2026 | JEOL 8530 | WDS Point Analysis (ARES JSC),Pang+2016 | JEOL JXA-8100 | WDS Point Analysis (Nanjing U.),McCoy+2025_SI | JEOL 8530F+ | WDS Point Analysis (Smithsonian),McCoy+2025_UA | Cameca SX-100 | WDS Point Analysis (K-ALFAA U.Arizona),Zega+2025 | Cameca SX-100 Ultra | WDS Point Analysis (K-ALFAA U.Arizona),Barnes+2025 | JEOL JXA-8230 | WDS Point Analysis (CRPG Nancy),Barnes+2025 | Cameca SX100 | WDS Point Analysis (NHM London),
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'EPMA-WDS Major Element Silicate Minerals' | 'EPMA-WDS+EDS Minor Element Phosphates'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,"EPMA-WDS Major Element Silicates/Oxides, Tissint Mars Meteorite (Caltech GPS, JEOL 8200)","EPMA-WDS Major Element Silicates/Oxides, NWA 8657 Shergottite (IGGCAS, JEOL JXA-8100)","EPMA Major Element Silicates/Oxides+Mapping, Tissint (U. Tennessee, Cameca SX100)","EPMA-WDS Major Element Silicates/Oxides, Tissint (Caltech GPS, JEOL JXA-8200)","EPMA-WDS Major Element Silicates/Glasses, Zagami (Caltech GPS Analytical Facility, JEOL 8200)","EPMA Major/Minor Element Silicates+Oxides+Sulfides, CI Chondrite (ARES JSC, Cameca SX100)","EPMA-WDS Quantitative Mapping+Analysis, CI Chondrite Minerals (WashU, JEOL JXA-8200)","EPMA Major Element Apatite incl. Halogens, Bennu (ARES JSC, JEOL 8530 EMPA)","EPMA-WDS Major Element Silicates/Oxides, NWA 8003 Eucrite (Nanjing U., JEOL JXA-8100)","EPMA-WDS Carbonate+Silicate/Oxide Composition, Bennu (Smithsonian, JEOL 8530 F+ Hyperprobe)","EPMA-WDS Phosphate+Carbonate Composition, Bennu (K-ALFAA U.Arizona, Cameca SX-100)","EPMA Major Element Silicates/Sulfides/Oxides/Phosphates/Carbonates, Bennu (K-ALFAA, Cameca SX-100 Ultra)","EPMA Major Element Silicates/Oxides/Carbonates, Bennu Anhydrous Minerals (CRPG Nancy, JEOL JXA-8230)","EPMA Major/Minor Element Anhydrous Silicates, Bennu (NHM London, Cameca SX100)",
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,EPMA-WDS | EPMA-EDS | EPMA-WDS+EDS | Other: specify | N/A | None,Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,EPMA-WDS,N,N,N,EPMA-WDS,N,EPMA-WDS,N,EPMA-WDS,N,EPMA-WDS,N,N,N,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'Chi Ma, Caltech' | 'ARES Geochemistry Lab, NASA JSC'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,Chi Ma,Sen Hu,N,N,Chi Ma,N,N,Logan B. Seifert,N,T. J. McCoy,T. J. Zega,N,N,N,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Caltech GPS Division Analytical Facility' | 'ARES, NASA Johnson Space Center'",Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,Caltech GPS Division Analytical Facility,"Institute of Geology and Geophysics, Chinese Academy of Sciences (IGGCAS), Beijing","Department of Earth and Planetary Sciences, University of Tennessee, Knoxville","Division of Geological and Planetary Sciences, Caltech","Division of Geological and Planetary Sciences Analytical Facility, Caltech","ARES, NASA Johnson Space Center",Washington University in St. Louis,"ARES, NASA Johnson Space Center","State Key Laboratory for Mineral Deposits Research, Nanjing University","Smithsonian Institution, National Museum of Natural History","Kuiper-Arizona Laboratory for Astromaterials Analysis (K-ALFAA), University of Arizona","Kuiper-Arizona Laboratory for Astromaterials Analysis (K-ALFAA), University of Arizona","Centre de Recherches Pétrographiques et Géochimiques (CRPG), Nancy, France","Natural History Museum (NHM), London, UK",
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,"e.g., 'https://ror.org/05dxps055' (Caltech ROR)",Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,YYYY-MM-DD,Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-1234567' | 'NASA 80NSSC20K0371' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., 'https://doi.org/10.1234/example'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,"Ma et al. 2015, Earth Planet. Sci. Lett. 422:194-205; doi:10.1016/j.epsl.2015.03.057","Hu et al. 2020, Geochim. Cosmochim. Acta 278:185-198; doi:10.1016/j.gca.2019.06.012","Liu et al. 2016, Meteorit. Planet. Sci.; doi:10.1111/maps.12726","Liu et al. 2016, Meteorit. Planet. Sci.; doi:10.1111/maps.12726","Ma et al. 2018, Meteorit. Planet. Sci. 53:50-61; doi:10.1111/maps.13000 (file dated 2017)","Frank et al. 2023, Meteorit. Planet. Sci. 58:1495-1511; doi:10.1111/maps.14083","Broussard et al. 2026, Meteorit. Planet. Sci.; doi:10.1111/maps.70138","Seifert et al. 2026, Meteorit. Planet. Sci.; doi:10.1111/maps.70167","Pang et al. 2016, Sci. Rep. 6:26063; doi:10.1038/srep26063","McCoy et al. 2025, Nature 637:320-325; doi:10.1038/s41586-024-08495-6","McCoy et al. 2025, Nature 637:320-325; doi:10.1038/s41586-024-08495-6","Zega et al. 2025, Nat. Geosci.; doi:10.1038/s41561-025-01741-0","Barnes et al. 2025, Nat. Astron.; doi:10.1038/s41550-025-02631-6","Barnes et al. 2025, Nat. Astron.; doi:10.1038/s41550-025-02631-6",
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/procedure-id' | 'pending'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
