Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Geochronology,Age Calculation Method,1,D,M1,,,"The equation used to convert the measured quantities into an age or date, together with a citation for that equation."
Geochronology,Age Calculation Method,2,D,M3,,,"Name the equation unambiguously; where a procedure supports more than one, state which is used and under what conditions."
Geochronology,Age Calculation Method,3,P,M2,,"external reporting standards require it — provenance, not our Column C (W3)",Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023).
Geochronology,Age Calculation Method,4,D,M3,,,"Distinct from Age Model and Software, which records how multiple analyses are combined into a single reported result."
Geochronology,Reported Date Type,1,D,M1,,,The kind of date or age the procedure reports.
Geochronology,Reported Date Type,2,P,M2,,why a bare age is ambiguous,"Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this."
Geochronology,Reported Date Type,3,D,M3,,,"Where more than one type is reported, list all, separated by semicolons."
Geochronology,Reported Date Type,4,P,M2,,external standard provenance (W3),"Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed."
Geochronology,Inherited or Initial Signal Correction,1,D,M1,,,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty."
Geochronology,Inherited or Initial Signal Correction,2,D,M3,,,Record 'None' where the measured quantity accumulates from zero and no such component exists.
Geochronology,Inherited or Initial Signal Correction,3,P,M2,,scope rationale — which dating systems it applies to,"Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero."
Geochronology,Inherited or Initial Signal Correction,4,P,"M2,M5",REWRITE-REDUNDANT(D=Editable),the sentence exists to justify the D tier; that is what Column D encodes,"D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure."
