Field,Column,Action,Before,After_source_column,Appended_to_Purpose
Goodness-of-Fit or Dispersion Statistic,J,split,"Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",The value cannot be known before the analysis.,"The procedure may still state an acceptance threshold, which belongs with the inclusion criteria."
Analyte,B,strip clause,"The procedure registers the full analyte suite; at analysis level the analyst records the specific subset actually measured in the session, which may be narrower if species were excluded due to interferences or scope reduction.",The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.,
Analyte,B,delete,Fields whose Keyed By column declares 'analyte' apply individually to each entry in this list.,(sentence removed),
Inherited or Initial Signal Correction,J,strip clause,"D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure.","The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure.",
Goodness-of-Fit or Dispersion Statistic,J,split,"Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",The value cannot be known before the analysis.,"The procedure may still state an acceptance threshold, which belongs with the inclusion criteria."
Neutron Irradiation Conditions,J,delete,"Note: fission-track dating by the external detector method has an equivalent requirement (Kohn et al. 2024, 'Irradiation reactor'), so this is a candidate for generalisation once a second irradiation-based system module exists.",(sentence removed),
Neutron-Induced Interfering Isotope Production Ratios,J,delete,Candidate for a future general interference module.,(sentence removed),
Gas Extraction and Release Schedule,J,delete,"Note: (U-Th)/He and continuous ramped heating have equivalent requirements (Flowers et al. 2024), so this is a candidate for generalisation once a stepped-heating system module exists.",(sentence removed),
Procedural Blank Level,B,strip clause,"Companion to the blank correction method, which is procedure-level: this field records what was actually measured.",Companion to the blank correction method.,
Procedure DOI,B,split,"This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability.",(sentence removed),Encourages formal procedure registration and ensures traceability.
