Technique-Aligned Procedure Profile (TAPP) Planning Table  |  Astromat  |  Draft April 2026,,,,,,,,,
#,Thematic Group,Proposed TAPP Name,Component Methods / Techniques from BDD List,Property Type,Data Format,"Relevant to Astromat
(Chemical Data)?","TAPP Priority
(H/M/L)",Notes / Rationale,Labs
1,Electron Beam Microanalysis,Electron Probe Microanalysis (EPMA),Electron Microprobe Analysis (EMPA); EDS – see SEM/EMPA/TEM,Elemental composition (major/minor elements),Tabular + Imagery,Yes – core,H,WDS is primary technique; EDS is subordinate detector. Sub-type field in TAPP: WDS | EDS | WDS+EDS. Draft TAPP already in development.,Caltech (Chi Ma)
2,,Scanning Electron Microscopy (SEM / FIB-SEM),SEM Image; SEM-EDS (point/map/image); SEM-EBSD (grain image); SEM-HR-CL; FIB-SEM; HR-CL – see SEM; EBSD – see SEM; EDS – see SEM,Morphological; Elemental (EDS); Crystallographic (EBSD); Spectral (CL),Imagery + Tabular + Spectral,Yes – EDS/CL sub-modes,H,"One TAPP for SEM platform. FIB-SEM = instrument variant field. EDS, EBSD, CL are subordinate detector/mode fields, NOT separate TAPPs. DEFERRED: FIB-SEM ion-beam metadata scope (beam current, milling procedure, section geometry) to be reviewed during Phase 0 of SEM TAPP development — may require additional instrument-variant fields or a future standalone FIB-SEM TAPP. FIB-SEM has 177 records in ADA (8th most common).","Caltech (Chi Ma), U of Hawaii (Hope Ishii)"
3,,Transmission Electron Microscopy (TEM / STEM),TEM Image; TEM Patterns Image; STEM Image; STEM-EELS (cube/tabular); STEM-EDS (cube/tabular/tomography); EELS – see TEM; EDS – see TEM,Structural/morphological; Elemental (EDS); Spectral/bonding (EELS),Imagery + Tabular + Spectral,Yes – EDS/EELS sub-modes,H,One TAPP. STEM = beam mode field (Focused/Scanning). EELS and EDS are detector sub-fields. Tomography = acquisition mode field.,U of Hawaii (Hope Ishii)
4,,Atom Probe Tomography (APT),Atom Probe Tomography (APT),Elemental + isotopic composition (atomic scale),Tabular + 3D imagery,Yes – core,M,Unique 3D atom-by-atom technique; requires its own TAPP. Not currently in most EPMA/SEM workflows but increasingly used in meteoritics.,
5,Mass Spectrometry – ICP,Solution Q-ICP-MS,Q-ICP-MS (Quadrupole ICP-MS); solution mode,Elemental composition (trace/major),Tabular,Yes – core,H,"Separate TAPP from Solution SF-ICP-MS (see Row 5a). Single-quadrupole (Q) detector; unit mass resolution; trace/major elemental concentrations in digested/dissolved samples. Excludes: TQ-ICP-MS/MS (triple quadrupole; MS/MS-specific metadata too distinct), SF-ICP-MS, MC-ICP-MS, LA-coupled variants, and ICP-OES. CRC (collision/reaction cell) parameters — He KED, reactive gas DRC/CRC modes — are Q-specific and central to interference management strategy; no mode flag columns (single-mode technique). Architecture decision 2026-06-15: separate from SF because CRC fields would be dead-ends in an SF TAPP, and resolution mode fields would be trivial constants in a Q TAPP. LA-Q/SF-ICP-MS stays combined (CRC absent from all 13 assessed LA procedures). 4 seed papers confirmed (Solution Q-ICP-MS/ folder).","Caltech (Francois Tissot), ASU (Ren Marquez)"
5a,,Solution SF-ICP-MS,HR-ICP-MS; single-collector sector-field ICP-MS (SF-ICP-MS); solution mode,Elemental composition (trace/major),Tabular,Yes – core,H,"Separate TAPP from Solution Q-ICP-MS (see Row 5). Single-collector sector-field (SF) detector; selectable mass resolution (low ~300 / medium ~4000 / high ~10 000 m/Δm) resolves polyatomic interferences without CRC. Trace/major elemental concentrations in digested/dissolved samples. Excludes: Q-ICP-MS, TQ-ICP-MS/MS, MC-ICP-MS, LA-coupled variants, and ICP-OES. No mode flag columns (single-mode technique; mass resolution setting is an analyte-specific field value, not a separate mode). SF-specific fields include: mass resolution setting per analyte, SEM–Faraday detector cross-calibration. Architecture decision 2026-06-15 (see Row 5 notes). Seed papers TBD.","Caltech (Francois Tissot), ASU (Ren Marquez)"
6,,Multi-Collector ICP-MS (MC-ICP-MS),MC-ICP-MS,Isotopic composition (high-precision radiogenic/stable),Tabular,Yes – core,H,"Separate from solution ICP-MS due to distinct measurement goals (isotope ratios vs. concentrations) and metadata (cup configuration, mass bias correction, reference standards).","Caltech (Francois Tissot), ASU (Ren Marquez)"
7,,Laser Ablation Q/SF-ICP-MS (LA-Q/SF-ICP-MS),LA-ICP-MS (quadrupole); LA-SF-ICP-MS (single-collector sector-field),"Elemental + isotopic composition (in situ, spatially resolved)",Tabular,Yes – core,H,"Covers both quadrupole and single-collector sector-field instruments coupled to laser ablation for multi-element trace/major chemistry. Scope is trace element analysis only — LA-SF-ICP-MS U–Pb geochronology is a separate future TAPP (see Row 7d). Excludes MC and TQ/ToF mass analyzers, which require dedicated TAPPs. Most common LA-ICP-MS configuration in meteoritics literature. TAPP v4.1 complete (110 fields); Phase 2/3 literature assessment complete against 13 protocols from 10 papers. Technique renamed from LA-ICP-MS to LA-Q/SF-ICP-MS during development; current file is LA-Q:SF-ICP-MS/LA-Q:SF-ICPMS_TAPP_v4.1.csv — the LA-ICP-MS/LA-ICPMS_TAPP_v13.csv folder is a stale, frozen branch, not a separate TAPP.","ANU, Boston College (Juliet Ryan-Davis)"
7a,,Laser Ablation MC-ICP-MS (LA-MC-ICP-MS),LA-MC-ICP-MS,"Isotopic composition (high-precision, in situ, spatially resolved)",Tabular,Yes – isotopic,H,"Multi-collector sector-field instrument coupled to laser ablation. Distinct from LA-Q/SF-ICP-MS due to multi-collector Faraday cup configuration, mass bias correction methods, and isotope-ratio-focused workflows (e.g., in situ Rb-Sr, Lu-Hf, U-Pb). Future TAPP; 1 seed paper identified (Zhang 2022, in situ Rb-Sr).",
7b,,Laser Ablation ICP-ToF-MS (LA-ICP-ToF-MS),LA-ICP-ToF-MS,"Elemental composition (simultaneous full-spectrum, in situ, spatially resolved)",Tabular + Imagery,Yes – core,M,"Time-of-flight mass analyzer coupled to laser ablation. Unique capability: simultaneous acquisition of the full mass spectrum at each laser shot, enabling rapid multi-element imaging. Distinct metadata: no sequential mass scanning, spectral resolution, transient signal handling. Future TAPP; 1 seed paper identified (Chernonozhkin 2024, micrometeorite element mapping).",
