Field,TAPP,Action,Before,After_Description,Appended_to_Purpose
Coolant (Plasma) Gas Flow Rate,LA-MC-ICPMS_TAPP_v32.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-MC-ICPMS_TAPP_v32.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
Plasma Thermal Mode,LA-MC-ICPMS_TAPP_v32.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-MC-ICPMS_TAPP_v32.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-MC-ICPMS_TAPP_v32.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-MC-ICPMS_TAPP_v32.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-MC-ICPMS_TAPP_v32.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-MC-ICPMS_TAPP_v32.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-MC-ICPMS_TAPP_v32.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Coolant (Plasma) Gas Flow Rate,LA-MC-ICPMS_UPb_TAPP_v32.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-MC-ICPMS_UPb_TAPP_v32.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
Plasma Thermal Mode,LA-MC-ICPMS_UPb_TAPP_v32.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-MC-ICPMS_UPb_TAPP_v32.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-MC-ICPMS_UPb_TAPP_v32.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-MC-ICPMS_UPb_TAPP_v32.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-MC-ICPMS_UPb_TAPP_v32.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-MC-ICPMS_UPb_TAPP_v32.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-MC-ICPMS_UPb_TAPP_v32.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Coolant (Plasma) Gas Flow Rate,LA-Q-ICP-MS_TAPP_v35.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-Q-ICP-MS_TAPP_v35.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
Plasma Thermal Mode,LA-Q-ICP-MS_TAPP_v35.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-Q-ICP-MS_TAPP_v35.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-Q-ICP-MS_TAPP_v35.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-Q-ICP-MS_TAPP_v35.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-Q-ICP-MS_TAPP_v35.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-Q-ICP-MS_TAPP_v35.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-Q-ICP-MS_TAPP_v35.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Coolant (Plasma) Gas Flow Rate,LA-Q-ICP-MS_UPb_TAPP_v35.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-Q-ICP-MS_UPb_TAPP_v35.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
