Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Imaging,STEM Imaging,Electron Diffraction,Literature Assessment,Chaves2023 | Synthetic magnetite | TEM+STEM imaging + EDS,Zega2025 | Bennu particles | STEM+EDS+SAED (U of A HF5000),Zega2025 | Bennu particles | STEM+EDS (UCB TitanX),Zega2025 | Bennu particles | TEM+STEM+EDS+SAED (Goethe Talos F200X),Zega2025 | Bennu particles | STEM+EDS+HRTEM+SAED (JSC JEOL 2500SE),Matsumoto2021 | Lunar soil | BF/DF TEM + ADF-STEM + SAED (Jena FEI Tecnai G2 FEG),Matsumoto2021 | Lunar soil | TEM + EDS quantitative (Kyushu JEOL JEM-3200FSK),Matsumoto2021 | Lunar soil | STEM-EDS mapping + HR-STEM (Kyushu JEOL JEM-ARM200F),KellerBerger2014 | Itokawa regolith grains | STEM + EDS spectrum imaging (JSC JEOL 2500SE),Zeng2024 | Chang'e-5 lunar glass bead | HAADF-STEM + EDS mapping (Guangdong FEI Talos F200S),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM + nanodiffraction + EDS (UH Manoa Titan G2),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM-EDS hyperspectral mapping (Mol. Foundry TitanX),Singerling2025 | Bennu OREX-800045-102 | BF-TEM + HAADF-STEM + SAED + EDS (Goethe TS Talos F200X G2),Thompson2020 | Murchison CM2 (laser-irradiated) | BF/DF-STEM + HRTEM + STEM-EDX (JSC JEOL 2500SE),Xing2023 | REVIEW: TEM methods for nanoscale mineralogy in NEPS | No original protocol data,Seifert2026 | Bennu OREX-803173-100 apatite | BF/DF-STEM + EDS (JSC JEOL 2500SE),"Seifert2026 | Bennu OREX-803173-100 apatite | HAADF-STEM + dual EDS + TEM/SAED (K-ALFAA UA Hitachi HF5000, probe Cs-corrected)",Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | BF/EFTEM + SAED + HRTEM (NRL JEOL JEM-2200FS),Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | HAADF-STEM + Dual EELS + EDS (NRL Nion UltraSTEM200-X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | HAADF-STEM + EDS (SINANO CAS FEI Talos F200X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | TEM-EELS (Shanghai Institute of Ceramics CAS Hitachi HF5000)
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'TEM/STEM Imaging and Diffraction, FEI Titan 300 kV, Planetary Materials' | 'STEM-EDS/EELS Organic Matter Analysis, Nion UltraSTEM 60 kV'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,TEM | STEM | TEM/STEM,Source: Core module,2026-08-30,(none),,Y,Y,Y,,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,TEM/STEM,Scanning Transmission Electron Microscopy (STEM); High-Resolution TEM (HRTEM); STEM-EDS spectrum imaging,N/A,Scanning Transmission Electron Microscopy (STEM); Energy-Dispersive X-ray Spectroscopy (EDS),Scanning Transmission Electron Microscopy (STEM); Energy-Dispersive X-ray Spectroscopy (EDS),Transmission Electron Microscopy (TEM); Energy-Filtered TEM (EFTEM); Selected Area Electron Diffraction (SAED); High-Resolution TEM (HRTEM),Scanning Transmission Electron Microscopy (STEM); Electron Energy Loss Spectroscopy (EELS); Energy-Dispersive X-ray Spectroscopy (EDS); STEM-EELS Fe oxidation state mapping,Scanning Transmission Electron Microscopy (STEM); Energy-Dispersive X-ray Spectroscopy (EDS),Transmission Electron Microscopy (TEM); Electron Energy Loss Spectroscopy (EELS); TEM-EELS iron valence state analysis
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'Hope Ishii, University of Hawai'i at Manoa' | 'AEMC, University of Hawai'i'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Advanced Electron Microscopy Center (AEMC), University of Hawai'i at Manoa' | 'Molecular Foundry, Lawrence Berkeley National Laboratory'",Source: Core module,2026-05-18,(none),,Y,Y,Y,,Purdue University,"K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","Molecular Foundry, Lawrence Berkeley National Laboratory","Schwiete Cosmochemistry Laboratory, Goethe University Frankfurt","ARES Division, NASA Johnson Space Center","Institute for Geosciences, Friedrich Schiller University Jena, Germany","Ultramicroscopy Research Center, Kyushu University, Japan","Ultramicroscopy Research Center, Kyushu University, Japan","Robert M. Walker Laboratory for Space Science, Code KR, Astromaterials Research and Exploration Science (ARES), NASA Johnson Space Center","Analysis and Test Center, Guangdong University of Technology, Guangzhou, China","Advanced Electron Microscopy Center (AEMC), University of Hawai'i at Manoa, USA","Molecular Foundry, Lawrence Berkeley National Laboratory, USA","Schwiete Cosmochemistry Laboratory, Goethe University, Frankfurt, Germany","ARES, NASA Johnson Space Center, Houston, TX, USA",N/A,"Electron Beam Analysis Laboratories, ARES, NASA Johnson Space Center, Houston, TX, USA","Kuiper-Arizona Laboratory for Astromaterials Analysis (K-ALFAA), Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA","Naval Research Laboratory, Washington, D.C., USA","Naval Research Laboratory, Washington, D.C., USA","Suzhou Institute of Nano-tech and Nano-bionics (SINANO), Chinese Academy of Sciences, Suzhou, China","Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai, China"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,"e.g., 'https://ror.org/01tmqtf75' (University of Hawai'i at Manoa ROR)",Source: Core module,2026-05-18,(none),,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,YYYY-MM-DD,Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-1234567' | 'NASA 80NSSC20K0371' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., 'https://doi.org/10.1234/example'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/procedure-id' | 'pending'",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
