Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment
1. Procedure Identification,,,,,,,,
Procedure Name,"A short descriptive name for this analytical procedure. Should include instrument, technique, and analyte scope.",Basic,Read-Only,Text (free),,,2026-07-24,
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution MC-ICP-MS,,2026-06-18,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure.,Basic,Read-Only,Text (free),,,2026-07-24,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,2026-06-18,
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,2026-06-18,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,2026-07-24,
Funding Source for Procedure Development,Grants and funding that supported development of this procedure. Include grant IDs.,Advanced,Read-Only,Text (free),,,2026-07-24,
Procedure Reference(s),DOI or URL for publications or reports describing or evaluating this procedure.,Advanced,Read-Only,URI / DOI,,,2026-07-24,
Procedure DOI,Persistent identifier (DOI) assigned to this registered procedure. Enter 'pending' if a DOI has been applied for but not yet minted.,N/A,Basic,URI / DOI,,,2026-07-24,
Analyst,Name of the analyst who conducted the analysis session.,N/A,Basic,Text (free),,,2026-06-18,
Analysis Start Date,Date on which the analysis session began.,N/A,Basic,Date,,,2026-06-18,
Analysis End Date,Date on which the analysis session ended (if spanning multiple days).,N/A,Basic,Date,,,2026-06-18,
Funding Source for Analysis,Grants and funding that supported this analytical campaign (distinct from procedure development funding). Include grant IDs.,N/A,Basic,Text (free),,,2026-07-24,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset (e.g., providing calibration inputs, complementary spatial context, or required companion measurements).",Advanced,Editable,Text (free),,,2026-07-24,
Coupling Description,Describes (1) the functional relationship between this dataset and the coupled technique — what data or context flows between them — and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.,Advanced,Editable,Text (free),,,2026-06-18,
Coupled Procedure DOI,DOI of the registered procedure for the coupled technique.,N/A,Advanced,URI / DOI,,,2026-07-24,
Coupled Dataset or Publication Reference,"DOI of the dataset or publication containing the coupled technique data. If coupling is documented only through a shared sample IGSN (Group 2), this field may be 'None'.",N/A,Advanced,URI / DOI,,,2026-06-18,
,,,,,,,,
2. Samples,,,,,,,,
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, chondrite, seawater, mineral separate). Constrains the dissolution strategy, chromatographic separation, and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Seawater | Mineral separate | Synthetic solution | N/A | None | Other: specify,,2026-06-18,
Sample IGSN,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-18,
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-18,
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-18,
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | N/A | None | Other: specify,,2026-06-18,
Digestion Vessel Type,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Basic,Read-Only,Controlled list,Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-06-18,
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., open-beaker HF–HNO3 dissolution followed by aqua regia reflux to destroy fluoride complexes).",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),,,2026-07-24,
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),,,2026-06-18,
Final Solution Matrix,Acid type and concentration of the final dissolved sample solution introduced to the instrument. Critical for isotope ratio work: acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets.,Basic,Read-Only,Text (free),0.3 M HNO3 | 2% HNO3 | 0.5 M HCl | 3 M HCl | N/A | None | Other: specify,,2026-06-18,
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation in isotope dilution procedures.,Advanced,Editable,Numeric (mg or mL),,,2026-07-24,
Chromatographic Separation Applied,"Whether chromatographic separation was performed prior to MC-ICP-MS analysis. Separation is usually mandatory for solution MC-ICP-MS to remove matrix elements that cause variable mass bias and to eliminate isobaric interferences (e.g., removal of Cr and Ni from Fe fractions; separation of U from matrix). Record resin type and elution matrix. Record 'None' if direct digestion solution is analyzed (uncommon for isotope ratio work).",Basic,Read-Only,Controlled list,Anion exchange resin AG1-X8 (HCl) | Cation exchange resin AG50W-X8 | TRU resin | UTEVA resin | AG-MP-1 (HBr) | Thiol resin | Multi-step: specify | None | N/A | Other: specify,,2026-06-18,
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),IRMM-3636 (233U–236U double spike) | 117Sn–122Sn double spike (in-house) | 57Fe–58Fe double spike | None | N/A | Other: specify,,2026-07-24,
,,,,,,,,
3. Instrument & Software,,,,,,,,
Instrument Make and Model,"Manufacturer and model name of the MC-ICP-MS instrument. Determines the collector array geometry, available mass resolution modes, and detector complement.",Basic,Read-Only,Text (free),Thermo Scientific Neptune | Thermo Scientific Neptune Plus | Nu Instruments Nu Plasma II | Nu Instruments Nu Plasma 1700 | Nu Instruments Nu Sapphire | IsotopX Phoenix | N/A | None | Other: specify,,2026-06-18,
ICP-MS Type,"Type of ICP-MS system. Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection.",Basic,Read-Only,Controlled list,Multi-collector sector-field (MC-ICP-MS) | Other: specify,,2026-06-18,
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-18,
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-18,
Interface Cone Configuration,"Geometry and designation of the sampler and skimmer cones installed during analysis. For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision. Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity.",Basic,Read-Only,Text (free),Ni H-sampler + Ni H-skimmer (standard) | Ni H-sampler + Ni X-skimmer | Ni Jet-sampler + Ni X-skimmer (with interface pump) | N/A | None | Other: specify,,2026-07-24,
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for HNO3 matrices. Platinum (Pt) cones are used for HCl-rich matrices (e.g., 6 M HCl in Fe chemistry procedures) due to greater corrosion resistance.",Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,,2026-07-24,
Torch Depth,Distance between the load coil and the sampling cone tip (mm). Affects ion transmission efficiency and oxide formation rates. Procedure registers the target torch position; analyst confirms or adjusts during session tuning.,Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-07-24,
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Advanced,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-06-18,
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array. Specify the total number of Faraday cup detectors (fixed and moveable), their labeled positions (e.g., L4, L3, L2, L1, Ax, H1, H2, H3, H4 for a 9-cup Neptune), and the presence and position of any ion counter (SEM) or Daly detector in the collector block. The number and span of cups constrains which isotope combinations can be simultaneously collected.",Basic,Read-Only,Text (free),Neptune: 9 Faraday cups (L4–H4) + 1 SEM (axial or off-axis); Nu Plasma II: 16 Faraday cups + 3 ion counters | N/A | None | Other: specify,,2026-06-18,
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors, yielding 1 V per ~6.24 × 10⁶ ion counts per second. High-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., 234U, low-abundance spike isotopes). Report the resistor value per cup position, or note 'all 10¹¹ Ω' if uniform.",Basic,Read-Only,Text (free),All cups: 10¹¹ Ω | L1: 10¹³ Ω (234U); all others: 10¹¹ Ω | N/A | None | Other: specify,,2026-06-18,
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected. Common approaches: instrument internal gain calibration routine (measures signal in each cup sequentially using a common beam), amplifier rotation procedure, or measurement of a known isotope ratio solution in each cup. For instruments with SEM detectors, also describes the SEM-to-Faraday cross-calibration sequence. Specify frequency (per session, per block, weekly).",Basic,Read-Only,Text (free),Instrument internal gain calibration routine; baseline and gain calibrated at session start and daily | SEM-to-Faraday cross-calibration measured per session using known ratio solution | N/A | None | Other: specify,,2026-07-24,
Mass Resolution Setting,"Mass resolution mode used in this procedure. MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000). Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements. Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone. Procedure registers the mode in use; analyst confirms at session start.",Basic,Editable,Controlled list,LR (m/Δm ≈ 300) | MR (m/Δm ≈ 3000–8000) | HR (m/Δm ≈ 10000–12000) | N/A | None | Other: specify,,2026-07-24,
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode for this procedure. Most conventional multi-collector instruments have no cell — mass bias and isobaric interferences are handled entirely by chemical separation and mass-bias correction (record 'Not installed'). A small number of modern MC-ICP-MS instruments (e.g., Nu Instruments Sapphire, Thermo Scientific Neoma MS/MS) add a hexapole collision/reaction cell upstream of the collector array, operated in STD/KED/DRC modes analogous to quadrupole ICP-MS/MS instruments, to suppress polyatomic and isobaric interferences before simultaneous multi-collection. Specific gas types, flow rates, and voltages are documented in Group 4.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | N/A | Other: specify",,2026-07-29,
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and uptake rate.,Basic,Read-Only,Text (free),PFA self-aspirating MicroFlow (50–100 µL/min) | PFA-ST | Glass concentric | ESI Apex-HF nebulizer | N/A | None | Other: specify,,2026-06-18,
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and solvent vapor load reaching the plasma. Scott double-pass and cyclonic chambers are standard; in some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,Basic,Read-Only,Text (free),Stable Introduction System (SIS): cyclonic + Scott double-pass | Scott double-pass (glass) at 2°C | Cyclonic at 5°C | Spray chamber downstream of Aridus II | N/A | None | Other: specify,,2026-07-24,
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load, increase sensitivity, and lower oxide production rates. Frequently used in MC-ICP-MS for low-abundance isotopes or small sample sizes. Note that desolvation can introduce additional instrumental mass bias instability compared to wet introduction systems. Record 'None' if not used.",Advanced,Read-Only,Controlled list,Aridus II | Aridus I | Apex-IR | Apex-HF | ApexQ | None | N/A | Other: specify,,2026-06-18,
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),,,2026-06-18,
Acquisition Software,Name and version of the software used to control the instrument and acquire raw multi-collector data.,Basic,Editable,Text (free),,,2026-06-18,
Data Reduction Software,"Name and version of the software used for data reduction: baseline subtraction, gain correction, mass bias correction (SSB, double-spike inversion, or internal normalization), interference corrections, and calculation of isotope ratios, δ-values, and concentrations. Include version number.",Basic,Editable,Text (free),,,2026-06-18,
,,,,,,,,
4. Measurement Information,,,,,,,,
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1200 | 1250 | 1300 | 1350,,2026-06-18,
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–16 L/min,,2026-06-18,
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-18,
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity and stability. Adjusted daily to optimize signal.,Basic,Editable,Numeric (L/min),0.85–1.05 L/min,,2026-06-18,
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used.,Advanced,Editable,Numeric (L/min),,Only relevant when Desolvation System is not 'None',2026-06-18,
Plasma Thermal Mode,Whether the ICP plasma is operated under normal (hot) or cool plasma conditions. Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS. Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work.,Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | N/A | None | Other: specify,,2026-06-18,
Analyte,"Element(s) whose isotopic composition or concentration is determined by this procedure. In solution MC-ICP-MS the analyte is typically a single element isotope system (e.g., Fe, U, Sn, Pb, Zn) or multiple elements when the measurement simultaneously yields isotope ratios and isotope dilution concentrations. The procedure registers the primary analyte element(s); at analysis level the analyst records the actual suite measured. The complete mass list and cup assignments are documented in Collector Configuration.",Basic,Editable,Text (free),,,2026-07-24,
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure. Lists the mass number monitored in each collector position (e.g., L4=116Sn, L3=117Sn, L2=118Sn, L1=119Sn, Ax=120Sn, H1=121Sb, H2=122Sn, H3=123Sb, H4=124Sn). For static multi-collection procedures, one configuration applies throughout the measurement. For multi-dynamic procedures, list all configurations and the cycling sequence. Includes all interference-monitor masses collected in addition to analyte isotopes. Analyte-specific: different element systems require different mass assignments within the collector array span.",Basic,Read-Only,Text (free),,Analyte-Specific,2026-07-24,
Number of Blocks per Measurement,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Multiple blocks per sample allow inspection of signal stability and within-measurement drift. Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.",Basic,Editable,Integer,1 | 2 | 3 | 5,,2026-07-24,
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement). Procedure specifies the standard value; analyst may adjust within procedure bounds.,Basic,Editable,Integer,25 | 40 | 50 | 80,,2026-07-24,
Integration Time per Cycle,"Duration of signal integration per measurement cycle (seconds). Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge. Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds. Analyte-specific when different isotope channels use different integration schemes.",Basic,Editable,Numeric (s),4.194 s | 8 s | 10 s | 16.8 s,,2026-07-24,
