Field,N_TAPPs,N_variants,Cluster,Verdict,Keyed_By,Variants
Sample Preparation Method,15,2,(none),OPEN,(none),"Controlled list [TEM] || Text (free) [EPMA, LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb, SEM, SEM_Composition, SEM_FIBSEM, SEM_Imaging, Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS]"
Detection Limit,12,3,(none),OPEN,reported property,"Numeric (ppm or wt%) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb] || Numeric + unit / Text [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [EPMA, SEM, SEM_Composition]"
Detection Limit Method,12,3,(none),OPEN,reported property,"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [EPMA, SEM, SEM_Composition] || Text / URI [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Blank / Background Correction Method,9,2,LA/Solution,LINEAGE,(none),"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Isobaric Interference Corrections Applied,9,2,LA/Solution,LINEAGE,(none),"Boolean [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb] || Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS]"
Limit of Quantification (LOQ) Method,9,2,LA/Solution,LINEAGE,reported property,"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text / URI [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Mass Resolution Setting,9,2,LA/Solution (imperfect),LINEAGE,(none),"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb, Solution_SF-ICP-MS]"
Per-Analyte Calibration Strategy,9,2,LA/Solution,LINEAGE,analyte,"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Signal Integration Interval Method,9,2,LA/Solution,LINEAGE,(none),"Controlled list [Solution_MC-ICP-MS, Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Internal Standard Approach,8,2,LA/Solution,LINEAGE,(none),"Controlled list [Solution_Q-ICP-MS, Solution_SF-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Mass Bias Correction Strategy,7,2,LA/Solution,LINEAGE,(none),"Controlled list [Solution_MC-ICP-MS] || Text (free) [LA-MC-ICPMS, LA-MC-ICPMS_UPb, LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb]"
Pulse/Analog Detector Nonlinearity Correction,6,2,LA/Solution,LINEAGE,(none),"Controlled list / Text [LA-Q-ICP-MS, LA-Q-ICP-MS_UPb, LA-SF-ICP-MS, LA-SF-ICP-MS_UPb] || Text (free) [Solution_Q-ICP-MS, Solution_SF-ICP-MS]"
Dwell Time per Pixel,5,2,EPMA/SEM,LINEAGE,(none) | channel,"Numeric (ms) [EPMA] || Numeric + unit [SEM, SEM_Composition, SEM_FIBSEM, SEM_Imaging]"
Beam Diameter,3,2,EPMA/SEM,LINEAGE,(none),"Numeric (um) [EPMA] || Numeric + unit [SEM, SEM_Composition]"
Beam Raster Dimensions,3,2,EPMA/SEM,LINEAGE,(none),"Numeric + unit [SEM, SEM_Composition] || Numeric pair (um x um) [EPMA]"
Map Area,3,2,EPMA/SEM,LINEAGE,(none),"Numeric + unit [SEM, SEM_Composition] || Numeric pair (um x um) [EPMA]"
Step Size / Pixel Size,3,2,EPMA/SEM,LINEAGE,(none),"Numeric (um) [EPMA] || Numeric + unit [SEM, SEM_Composition]"
Phase Identification Method,2,2,(none),OPEN,sample > sampling unit,Controlled list [TEM] || Text (free) [Lab-XCT]
