Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
3D Image Registration,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves","Method used to align consecutive SEM image slices in the 3D stack to correct for drift, vibration, and curtaining artifacts."
3D Image Registration,"FIB,SEM",2,D,M3,,M3 — instruction to the filler: what to include,Include software used.
4D-STEM Detector,TEM,1,D,M1,,"M1 — defining sentence, never moves","Direct electron detector used for 4D-STEM data acquisition, recording a full diffraction pattern at each probe position."
4D-STEM Detector,TEM,2,D,M3,,M3 — conditional instruction on what to specify,"If a GIF is used as the mounting platform (enabling energy-filtered 4D-STEM), specify this."
4D-STEM Detector,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.
4D-STEM Dwell Time per Probe Position,TEM,1,D,M1,,"M1 — defining sentence, never moves",Time spent acquiring each diffraction pattern in the 4D-STEM dataset in milliseconds.
4D-STEM Dwell Time per Probe Position,TEM,2,P,M2,,M2 — dwell/SNR against dose and beam damage: why a value is chosen,"Longer dwell improves signal-to-noise for weakly diffracting phases (e.g., smectite 001 reflection at ~1.24 nm) but increases total specimen dose; risk of beam damage to phyllosilicates and organic matter must be balanced against data quality."
4D-STEM Dwell Time per Probe Position,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.
4D-STEM Orientation Mapping Method,TEM,1,D,M1,,"M1 — defining sentence, never moves","Algorithm, software module, and reference crystal structure database used for automated crystal orientation mapping (ACOM) from 4D-STEM datasets."
4D-STEM Orientation Mapping Method,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.
4D-STEM Scan Grid and Area,TEM,1,D,M1,,"M1 — defining sentence, never moves",Number of probe positions in the 4D-STEM dataset (scan pixels × scan pixels) and the physical area covered.
4D-STEM Scan Grid and Area,TEM,2,D,M3,,M3 — states how step size derives from the two recorded quantities,Probe step size is the physical area divided by scan pixel count.
4D-STEM Scan Grid and Area,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.
Aberration Corrector,TEM,1,D,M1,,"M1 — defining sentence, never moves",Type of aberration corrector installed and active.
Aberration Corrector,TEM,2,P,M2,,M2 — what each corrector type achieves,Probe Cs-correction enables sub-Å STEM resolution and improved analytical signal; image Cs-correction reduces delocalization artifacts in HRTEM.
Accelerating Voltage,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Electron beam accelerating voltage in kilovolts (kV).
Accelerating Voltage,EPMA,2,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'procedure specifies the standard value; analysts record deviations' is the C/D split in words (cf. RF Power precedent); 'and justify' is real extra content that survives,The procedure specifies the standard operating voltage; analysts record and justify any deviations.
Accelerating Voltage,"FIB,SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Electron beam accelerating voltage in kilovolts.
Accelerating Voltage,"FIB,SEM,SEMcomp,SEMimg",2,P,M2,,M2 — what the voltage affects,"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration."
Accelerating Voltage,"FIB,SEM,SEMcomp,SEMimg",3,P,M2,,M2 — surface sensitivity against X-ray generation: why a value is chosen,Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.
Accelerating Voltage,TEM,1,D,M1,,"M1 — defining sentence, never moves",Electron beam accelerating voltage in kilovolts (kV).
Accelerating Voltage,TEM,2,P,M2,,M2 — why 60-80 kV is chosen for beam-sensitive materials,"For beam-sensitive materials (organic matter, phyllosilicates), 60–80 kV may be used to stay below the displacement threshold for C, N, O, and S."
Accelerating Voltage,TEM,3,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),as item 7 — 'procedure specifies; analysts record and justify deviations',The procedure specifies the standard operating voltage; analysts record and justify deviations.
Accelerating Voltage,TEM,4,P,M2,,M2 — why the parameter matters,Key parameter for the beam damage regime.
Accelerating Voltage,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Basic),'registered by the procedure' asserts the procedure-level tier,X-ray tube accelerating voltage in kilovolts (kV) registered by the procedure.
Accelerating Voltage,XCT,2,P,M2,,M2 — what the voltage determines,Determines the maximum X-ray photon energy and controls penetration depth and phase contrast.
Accelerating Voltage,XCT,3,P,M2,,M2 — penetration against low-density contrast: why a value is chosen,Higher voltages provide greater penetration for dense or large samples; lower voltages improve contrast between low-density phases.
Accelerating Voltage,XCT,4,D,M3,,M3 — instruction: report the full range when it varied,"If the voltage was varied across samples within the same procedure or session, report the full range applied (e.g., 90–115 kV)."
Accelerating Voltage,XCT,5,D,M3,,M3 — unit caveat the filler must recognise before recording,Note: some sources report this parameter as 'X keV' (maximum Bremsstrahlung photon energy) rather than 'X kV' (tube voltage).
Accelerating Voltage,XCT,6,D,M3,,M3 — the equivalence the filler needs in order to apply S7,"For polychromatic lab XCT, these are numerically equivalent: E_max [keV] = V [kV]."
Accelerating Voltage,XCT,7,D,M3,,"M3 — instruction: record as reported, annotate the unit","Record the value as originally reported, and add a parenthetical note if the unit used is keV."
Analyte Estimation Method,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Whether elemental concentrations were calculated directly from measured X-ray intensities, or estimated by cation stoichiometry (e.g., oxygen calculated from cation proportions in silicates; carbon from stoichiometry in carbonates)."
Analytical Accuracy,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Offset between measured and accepted reference values for secondary standards, expressed as percent relative bias."
Analytical Accuracy,"EPMA,SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(Keyed By: standard x reported property),'reference material ... per-analyte value' names both key axes; NOTE the description says per-analyte where Keyed By says reported property,"Include reference material, reference value source, and per-analyte value."
Analytical Precision,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Reproducibility of repeated measurements on the same or equivalent reference material, expressed as 1-sigma relative standard deviation (%)."
Analytical Precision,"EPMA,SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(Keyed By: standard x reported property),as item 12; 'number of analyses (n)' is real extra content that survives,"Include reference material name, number of analyses (n), and value per analyte or element group."
Analytical Sub-mode,TEM,1,D,M1,,"M1 — defining sentence, never moves",Sub-mode(s) of imaging or diffraction performed under this procedure.
Analytical Sub-mode,TEM,2,D,M5,REWRITE-REDUNDANT(Column F),enumerates TEM Imaging values already listed in Example / Allowed Content,"TEM Imaging options: BF-TEM, DF-TEM, HRTEM, EFTEM."
Analytical Sub-mode,TEM,3,D,M5,REWRITE-REDUNDANT(Column F),enumerates STEM Imaging values already listed in Example / Allowed Content,"STEM Imaging options: HAADF, ABF, BF-STEM, ADF, MAADF."
Analytical Sub-mode,TEM,4,D,M5,REWRITE-REDUNDANT(Column F),enumerates Electron Diffraction values already listed in Example / Allowed Content,"Electron Diffraction options: SAED, CBED, Nanobeam diffraction, Precession ED, 4D-STEM."
Analytical Sub-mode,TEM,5,D,M3,,M3 — instruction on multi-valued use,Multiple values apply when the procedure covers more than one sub-mode within a given analytical mode.
Applicable Sample Dimension Range,XCT,1,D,M1,,"M1 — defining sentence, never moves",The range of sample sizes compatible with this procedure at the target voxel size and geometric configuration.
Applicable Sample Dimension Range,XCT,2,D,M3,,M3 — defines the upper bound and how it is computed,The upper bound is a hard constraint set by the instrument field of view (FOV) at the procedure's target magnification: FOV ≈ detector array width × pixel size / geometric magnification (divide additionally by optical objective multiplier for Versa-class systems using optical magnification).
Applicable Sample Dimension Range,XCT,3,D,M3,,M3 — defines the bound under Mode A,For Mode A (single-volume): all three sample dimensions must fall within the FOV.
Applicable Sample Dimension Range,XCT,4,D,M3,,M3 — defines the bound under Mode B,For Mode B (multi-volume stitching): sample diameter must fall within the FOV; sample length along the rotation axis is effectively unlimited through stitching.
