TAPP,Field,Sentence_no,Action,Before,After_Description,Moved_to_Purpose,Rule_and_reason
LA-MC-ICPMS_TAPP_v47.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-MC-ICPMS_TAPP_v47.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-MC-ICPMS_TAPP_v47.csv,Mass Resolution Assignment,1,REWRITE,Mass resolution mode assigned to each acquired mass.,Mass resolution mode used for acquisition.,,W5.2 — 'assigned to each acquired mass' is carried by Keyed By: channel; S3 keeps the per-mass explanation together with its reason
LA-MC-ICPMS_TAPP_v47.csv,Mass Resolution Assignment,3,KEEP,"One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key: why the assignment is per acquired mass rather than per element. Column I records the verdict, only this records the reasoning (cf. WDS Spectrometer Channel S2)"
LA-MC-ICPMS_TAPP_v47.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
LA-MC-ICPMS_UPb_TAPP_v47.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-MC-ICPMS_UPb_TAPP_v47.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-MC-ICPMS_UPb_TAPP_v47.csv,Mass Resolution Assignment,1,REWRITE,Mass resolution mode assigned to each acquired mass.,Mass resolution mode used for acquisition.,,W5.2 — 'assigned to each acquired mass' is carried by Keyed By: channel; S3 keeps the per-mass explanation together with its reason
LA-MC-ICPMS_UPb_TAPP_v47.csv,Mass Resolution Assignment,3,KEEP,"One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key: why the assignment is per acquired mass rather than per element. Column I records the verdict, only this records the reasoning (cf. WDS Spectrometer Channel S2)"
LA-MC-ICPMS_UPb_TAPP_v47.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
