Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Sample Preparation,3D Tomography,Literature Assessment,"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)",Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'SEM-BSE/EDS Mineral Phase Mapping, JEOL 7600F, Bennu Astromaterials' | 'FIB-SEM 3D Tomography, Helios NanoLab 660, Organic-Rich Chondrite Matrix'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,SEM | SEM/FIB-SEM,Source: Core module,2026-08-30,(none),,Y,Y,,N,N,N,N,N,N,N,N
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'T.J. McCoy, Smithsonian NMNH' | 'ARES Electron Beam Analysis Laboratories, NASA JSC'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Electron Beam Analysis Laboratories, ARES, NASA Johnson Space Center' | 'K-ALFAA, University of Arizona'",Source: Core module,2026-05-21,(none),,Y,Y,,"School of Earth and Space Exploration / School of Materials, Arizona State University","China University of Mining and Technology, Xuzhou, China","China University of Geosciences, Beijing, China","K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","Molecular Foundry, Lawrence Berkeley National Laboratory (UC Berkeley)","NASA Johnson Space Center (JSC), Houston, TX, USA",N,N
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,"e.g., 'https://ror.org/027ka1x80'",Source: Core module,2026-05-21,(none),,Y,Y,,N,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,YYYY-MM-DD,Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-1234567' | 'NASA 80NSSC20K0371' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., 'https://doi.org/10.1234/example'",Source: Core module,2026-07-24,(none),,Y,Y,,N,N,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/procedure-id' | 'pending'",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,,N,N,N,N,N,N,N,N
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'T.J. McCoy' | 'Sara Singerling'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-2345678' | 'NASA 80NSSC23K0415' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,,NASA NNG06GE37G (LAJG); NASA NNG06GF08G (PRB),N,N,NASA PSEF 80NSSC23K0327; NASA Planetary Major Equipment NNX12AL47G; NSF MRI 0619599,US DOE contract DE-AC02-05CH11231 (Advanced Light Source / Molecular Foundry),NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),N,N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,"e.g., 'TEM/STEM (FIB sections)' | 'EPMA; NanoSIMS' | 'XCT (pre-SEM overview)' | 'None' | N/A",Source: Core module,2026-08-25,(none),,Y,Y,,"SE Imaging (same instrument, pre- and post-FIB milling)","X-ray CT (Xradia 520 Versa, Carl Zeiss)",N,"TEM analysis (HF5000 STEM, U Arizona); BSE/SE Imaging (Hitachi S-4800, U Arizona)","Synchrotron XANES (ALS, Berkeley); TEM analysis","TEM analysis (NASA JSC); BSE/SE Imaging (JEOL 7600F, JSC)",N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'SEM-BSE/EDS used for phase identification and target selection before FIB lift-out; FIB performed after SEM survey because lift-out is destructive. TEM-EDS provides nanoscale chemistry of FIB-prepared sections.'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Oxide | Sulfide | Carbonate | Phosphate | Metal alloy | Organic matter | Glass | Regolith | Whole rock / polished section | Porous material | N/A | None,Source: Core module,2026-08-30,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,,"Carbonaceous nanoglobules, Tagish Lake (C2) meteorite (HCl/HF acid residue concentrate)","High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","Subbituminous coal (SC) and high-volatile bituminous coal (HBC), Xishanyao Formation, southern Junggar Basin, NW China",Asteroid (101955) Bennu particles (OSIRIS-REx sample return); fine-grained matrix areas,Asteroid (101955) Bennu particles (OSIRIS-REx sample return),Asteroid (101955) Bennu particles (OSIRIS-REx sample return),N,N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,"Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fragments or particles on conductive tape | Bulk specimen, polished face | Acid-dissolution residue | N/A | None",Source: Core module,2026-08-27,(none),,Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,"Small coal pillars (~2 mm diameter, 2 mm height) drilled orthogonal to bedding; polished with cross section polisher to remove ~1-2 µm oxide layer; no coating applied",Cuboidal samples (~0.5×1×1 cm) polished with dry emery paper and argon ion polishing; high-pressure freezing and freeze-drying; glued onto sample holder,Sections extracted from fine-grained matrix areas in polished sections; BSE and SE images acquired before and after sectioning,Particles placed on PELCO carbon conductive tabs on Al SEM round; no protective coating stated,Particles dispersed on conductive carbon dots on Al SEM pin mounts,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,,N,N,SC; HBC,N,N,N,N,N
