Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Literature Assessment
1. Procedure Identification,,,,,,,,
Procedure Name,"A short descriptive name for this analytical procedure, with version number. Should include instrument/mass-analyzer configuration, technique, and target mineral or isotopic system.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS U-Pb Zircon Geochronology v1' | 'LA-SF-ICP-MS U-Th-Pb Monazite Geochronology v1'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Technique,"Top-level analytical technique identifier, including the ICP-MS mass-analyzer configuration used for in situ U-(Th-)Pb dating.",Basic,Read-Only,Controlled list,LA-ICP-MS U-(Th-)Pb Geochronology | LA-Q-ICP-MS U-(Th-)Pb Geochronology | LA-SF-ICP-MS U-(Th-)Pb Geochronology | LA-MC-ICP-MS U-(Th-)Pb Geochronology | Other: specify,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'M. Horstwood (ORCID: 0000-0002-9720-716X), NERC Isotope Geosciences Laboratory'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Laboratory,"Name of the laboratory or institution hosting the instrument. Standard cross-TAPP identity field, distinct from the paper-sourced 'Laboratory name' field above.",Basic,Editable,Text (free),"e.g., 'NERC Isotope Geosciences Laboratory, British Geological Survey'","Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs). Merged 2026-07-27: also covers Table 3's 'Laboratory name' item (paper example: 'Dept of Earth Science, University of Everywhere').",2026-07-27,
Laboratory ID,"Persistent identifier for the laboratory, e.g., ROR ID.",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2016-06-01",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session.",N/A,Basic,Date,YYYY-MM-DD,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions.,N/A,Basic,Date,YYYY-MM-DD,Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
