Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech",Wu+etal2023 | Analyte G2 + iCAP TQ ICP-MS/MS | IGGCAS
1. Procedure Identification,,,,,,,,,,N,N,N,N,,,,,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,Nakanishi et al. (2022) CR Chondrite Metal HSE fs-LA-ICP-MS Spot v1,Liu et al. (2024) Extraterrestrial Flux Glass fs-LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Silicate Glass LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Sulfide LA-ICP-MS Spot v1,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-Q-ICP-MS | LA-ICP-MS (analyser not specified),Source: Core module,2026-08-30,(none),,Y,Y,Y,,fs-LA-Q-ICP-MS,fs-LA-Q-ICP-MS,LA-Q-ICP-MS,LA-Q-ICP-MS,LA-ICP-MS (193 nm excimer laser + ICP-MS; top-level technique) [P4],LA-ICP-MS (same as silicate protocol) [P4],"LA-ICP-MS/MS (LA-Q-ICP-MS, triple-quadrupole platform)"
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,"Nakanishi, Yokoyama, Okabayashi, Iwamori, Hirata","Liu, Xue, Li, Wang et al.","Liu, Li, Xu, Xiong et al.","Liu, Li, Xu, Xiong et al.",N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",Source: Core module,2026-05-06,(none),,Y,Y,Y,,"Dept. of Earth and Planetary Sciences, Tokyo Institute of Technology, Japan","State Key Laboratory of Lithospheric Evolution and Environmental Coevolution, IGGCAS, Beijing, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","Department of Geosciences, Virginia Tech [P4]","Department of Geosciences, Virginia Tech [P4]","Institute of Geology and Geophysics, Chinese Academy of Sciences (IGGCAS)"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: Core module,2026-08-08,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,JSPS KAKENHI; Tokyo Institute of Technology,NSFC; Chinese Academy of Sciences,"Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",Source: Core module,2026-07-24,(none),,Y,Y,Y,,"Nakanishi et al. (2022) GCA 319, 254; Walker et al. (2008) for IVB standards","Liu et al. (2024) JAAS 39, 2728; Pettke et al. (2012) for LOD","Liu et al. (2025) GCA 393, 170; Xu et al. (2022) for experimental protocol","Liu et al. (2025) GCA 393, 170; Xu et al. (2022)",Udry et al. (2012) and Pernet-Fisher et al. (2014) cited as broad references for the analytical procedure [P4],Same as silicate protocol [P4],N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,Y,,N,N,N,N,N,N,N
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,,,,,,,,"N — 20 analytical sessions over 3 months referenced, no identifier stated"
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N (Allan Patchen and Luca Fedele assisted with data collection per acknowledgments; not explicitly named as analysts in methods) [P20-Ack],N (same as silicate protocol) [P20-Ack],N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"JSPS Grant-in-Aid for Scientific Research (grants 26106002, 26220713, 16H04081, 19H00715, 19H01081, 20H04609)",Strategy Priority Research Program (Category B) of Chinese Academy of Sciences (XDB0710000); NSFC 42073022,"Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",NASA Cosmochemistry grants NNX11AG58G (to L.A.T.) and NNN13D465T (to Y.L.); NSF EAR-1226270 (to P.D.A.) and EAR-1019770 (to R.J.B.); Y.L. supported by Jet Propulsion Laboratory [P20-Ack],Same as silicate protocol [P20-Ack],N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Name the instrument, laboratory or purpose alongside each technique where known, and join multiple techniques with '; '. Enter ""None"" if no coupling is intended.",Advanced,Editable,Text (free),"e.g., 'EPMA (Brown University CAMECA SX-100)' | 'FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis' | 'NanoSIMS; STXM; Raman' | 'None' | 'N/A'",Source: Core module,2026-08-31,(none),,Y,Y,Y,,EPMA (electron probe microanalysis),N,N,N,EPMA (EMP) [P4],EPMA (EMP) [P4],N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"EPMA used to measure Ni concentration at the exact LA-ICP-MS analysis spot location, required for internal standardization of HSE data [Section 2.3]",N,N,N,EPMA provides major element concentrations for comparison with LA-ICP-MS oxide-sum normalization results; agreement within <10% verified [P4],"EPMA provides CaO concentration at exact analysis spot, used as internal standard for LA-ICP-MS data reduction (LA-ICP-MS 40Ca counts normalized to EMP CaO) [P4]",N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,,,,,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Fluid inclusion | Melt inclusion | Whole rock | N/A | None,Source: Core module,2026-08-31,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,,"CR chondrite metal grains (interior, margin, and isolated types)",Li-borate flux fusion glass (extraterrestrial sample preparation),Experimental dacitic silicate glass (quench product),Experimental pyrrhotite (Fe₁₋ₓS) sulfide (quench product),"Martian meteorite (Tissint) silicates, oxides, and glass: olivine, low-Ca pyroxene, augite, maskelynite, Fe-Ti-Cr oxides, shock melt glass, fusion crust [P4]","Martian meteorite (Tissint) phosphate: sodium-merrillite [P4, P12]","Xenotime, apatite and garnet — accessory and metamorphic minerals for in situ Lu-Hf geochronology"
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Variations that do not alter the analytical procedure (e.g., thin section vs. mount) are legitimate.",Basic,Editable,Controlled list / Text,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | N/A | None,Source: Laser Ablation module,2026-08-30,(none),,Y,Y,Y,,"In situ — polished epoxy thick section (petropoxy 154 resin, 0.5 µm diamond finish)","Li-borate flux fusion glass disc (10 mg sample + 350 mg Li₂B₄O₇, 35:1 dilution)",In situ — polished epoxy mount (experimental capsule half-section),In situ — polished epoxy mount (same capsule section as glass protocol),"In situ — polished thin section (Tissint sections: Tata-2-C3, Tata-3-C2, UT1, UT3) [P4, P5-P11]",In situ — polished thin section (same sections as silicate protocol) [P4],N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,,N,N,N,N,Tissint Martian meteorite [P4],Tissint Martian meteorite [P4],"Xenotime XN02, MG-1, BS-1, XENOA, M1567; apatite Otter Lake, NW-1, MAP-3; two metamorphic garnets; NIST SRM 610"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-08-30,defines: sampling unit,,Y,Y,Y,,,,,,,,Laser spot — 246 spot analyses on XN02 alone; spot diameters 50-150 um depending on Lu and Hf contents
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",Source: Core module,2026-08-25,sample,,Y,Y,Y,,N,N,N,N,N,N,N
