Field,Variants_now,New_DESCRIPTION_proposed,Origin,Content_dropped,Current_variants
Auxiliary Gas Flow Rate,2,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",SYNTHESIZED,"ablation, aerosol, carrier, transports","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS] Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min)."
Coolant (Plasma) Gas Flow Rate,2,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",ADOPTED verbatim,,"[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS] Flow rate of the outer (coolant) argon gas stream (L/min)."
RF Power,2,"Radiofrequency forward power applied to the ICP, in watts.",SYNTHESIZED,plasma,"[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] ICP radiofrequency forward power in watts. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS] Radiofrequency forward power applied to the plasma (W)."
Torch Type,2,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",SYNTHESIZED,used,"[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Type of plasma torch installed. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS] Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow)."
Guard Electrode,2,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",SYNTHESIZED,"analysis, during","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS,Solution_SF-ICP-MS] Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly."
Calibration Standard Measurement Frequency,2,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",SYNTHESIZED,"isotopic, triplet, typically","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb,Solution_Q-ICP-MS,Solution_SF-ICP-MS] How often the primary calibration standard is measured relative to unknown samples within a session. ||| [Solution_MC-ICP-MS] How often the primary isotopic standard is measured relative to unknown samples within a session. For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet). Specify the bracketing scheme."
Oxide Production Method and Threshold,3,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",SYNTHESIZED,"also, monitor, most, proxy, standard, widely","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. ||| [Solution_MC-ICP-MS,Solution_Q-ICP-MS] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. ||| [Solution_SF-ICP-MS] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. BaO+/Ba+ may also be monitored."
Plasma Thermal Mode,3,Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field.,SYNTHESIZED,,"[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field. ||| [Solution_MC-ICP-MS] Whether the ICP plasma is operated under normal (hot) or cool plasma conditions. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions."
Spike / Outlier Filtering Approach,3,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",SYNTHESIZED,"after, arising, artifacts, baseline, bias, correction, cracks, during, filtering, from, inclusions, instrument, isotope, mass","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing. ||| [Solution_MC-ICP-MS] Criteria used to identify and exclude anomalous cycles or replicate measurements from the calculated isotope ratio mean. Filtering is applied after baseline subtraction and before mass bias correction. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean."
Interface Cone Configuration,3,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,SYNTHESIZED,"combination, common, cone, high, higher, instruments, neptune, options, sample, sensitivity, standard, transmission, type","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Combination of sample cone and skimmer cone installed during analysis. ||| [Solution_MC-ICP-MS] Geometry and designation of the sampler and skimmer cones installed during analysis. For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Geometry and designation of the sampler and skimmer cones installed during analysis."
Signal Integration Time,3,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",SYNTHESIZED,"ablation, actual, analysis, analyte, applicable, applying, block, blocks, calculated, concept, cycle, cycles, data, determined","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Actual integration time used for the ablation signal in this analysis, in seconds. Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal. Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings. ||| [Solution_MC-ICP-MS] Total integration time per sample solution (s). Calculated from blocks × cycles per block × integration time per cycle. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Total integration time per analyte per replicate (s)."
Analysis Sequence,3,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",SYNTHESIZED,"analyses, analysis, before, bracketed, delta, description, double, each, isotopic, level, material, primary, procedures, same","[LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure. ||| [Solution_MC-ICP-MS] Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved. For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference. For double-spike procedures, standards are spiked to the same level as samples before analysis. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved."
