Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution SF-ICP-MS,Source: Core module,2026-06-16,(none),,,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,Source: Core module,2026-06-16,(none),,,"University of Melbourne, Australia (affiliation)","Institute of Geology and Geophysics, Chinese Academy of Sciences (IGGCAS), Beijing (affiliation)","Pheasant Memorial Laboratory (PML), Okayama University (section 2.1.2)","National High Magnetic Field Laboratory (NHMFL), Florida State University (stated section 2.4)","Godwin Laboratory for Palaeoclimate Research, University of Cambridge (affiliation)","Max-Planck-Institut fuer Chemie (MPIC), Mainz, Germany (affiliation)"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,Source: Core module,2026-06-16,(none),,,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,,N/A,N/A,N/A,N/A,N/A,N/A
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",,"N -- ""A typical session comprised analyses of up to 50 unknowns and 15 standards""; no session identifier stated",N,N,"N -- ""Each analytical session would begin and end with the analysis of a series of Mo standards (1-100 nM)""; ""an analysis sequence""; ""1 day's analysis""; ""three separate days of analyses"". No session or sequence identifier stated","N -- ""a single instrument session"" referenced; no session identifier stated",N
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution MC-ICP-MS | TIMS | LA-ICP-MS | EPMA | Noble Gas MS | INAA | None | N/A,Source: Core module,2026-08-25,(none),,,Agilent 7700x Q-ICP-MS (used for Pb isotope comparison; stated section 2.4),N,"Agilent 7500cs Q-ICP-MS at PML (B, Zr, Nb, Mo, Sn, Sb, Hf, Ta on same samples; stated section 2.1.1)",N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,Source: Core module,2026-08-25,(none),,,Q-ICP-MS Pb isotope ratios compared with SF-ICP-MS values for validation; Q-ICP-MS showed higher uncertainties (stated section 2.4),N,"SF-ICP-MS (ELEMENT) measured Ti (47Ti, 49Ti) by ID; Q-ICP-MS (7500cs) measured all other elements; both on same digested solutions; stated section 2.1",N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
2. Samples,,,,,,,,,,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",,Soil samples (sequential acid leach fractions; stated abstract),Magnetite and pyrite (mineral separates from skarn deposits; stated abstract),"Geological reference materials and carbonaceous chondrites (basalt, andesite, peridotite, chondrites; stated section 2.5)",Open-ocean seawater (stated abstract),Foraminifera calcite (benthic and planktonic species; stated abstract),"Geological reference materials (basalt, andesite, granite, shale, peridotite, NIST glass; stated Table 2)"
