Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas"
1. Procedure Identification,,,,,,,,,,N,N,N,N,,,,,,,
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,Zhang et al. (2022) Iron Meteorite LA-ICP-MS v1,Chernonozhkin et al. (2021) Pallasite Olivine 2D Mapping v1,Chernonozhkin et al. (2021) Pallasite Olivine Multi-run Spot/Transect v1,Chernonozhkin et al. (2021) Pallasite Phosphate Spot v1,Mittlefehldt (2024) Pallasite Olivine Spot v1,Navarro et al. (2024) Iron Meteorite Spot v1,Navarro et al. (2024) Iron Meteorite Raster Mapping v1
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-ICP-MS | LA-ICP-OES | LA-MC-ICP-MS | LA-ICP-ToF-MS | LA-ICP-MS/MS | Other: specify,Source: Core module,2026-05-06,(none),,Y,Y,Y,,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",Source: Core module,2026-08-08,(none),,Y,Y,Y,,"Zhang, Chabot, Rubin, Humayun et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.",Mittlefehldt,"Navarro, Enzweiler, Crósta et al.","Navarro, Enzweiler, Crósta et al."
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",Source: Core module,2026-05-06,(none),,Y,Y,Y,,"Plasma Analytical Facility, Florida State University, Tallahassee FL, USA","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","ICP-MS Laboratory, NASA Johnson Space Center, Houston TX, USA","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),Source: Core module,2026-08-08,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,,N,"Planet Topers (BELSPO Interuniversity Attraction Poles); FWO postdoctoral fellowship for SCh; FWO ""Excellence of Science"" (ET-HoME ID 30442502); FWO/BOF-UGent; Alexander von Humboldt Foundation; FWO/BELSPO/VUB for SG and PC",Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,N,FAPESP (São Paulo Research Foundation); CNPq,FAPESP; CNPq
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",Source: Core module,2026-07-24,(none),,Y,Y,Y,,"Zhang et al. (2022) GCA 323, 202–219; Humayun (2012) for standardization",Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Mittlefehldt (2024) GCA; Lee (Rice University) Excel data reduction spreadsheet,"Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)"
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,Y,Y,Y,,N,N,N,N,N,N,N
