TAPP,Row,Field,Declared_I,Verdict,Description_key,Trigger,Matched_noun,Snippet,Description
LA-MC-ICPMS_TAPP_v10.csv,65,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LA-MC-ICPMS_UPb_TAPP_v10.csv,66,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LA-Q-ICP-MS_TAPP_v14.csv,62,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,63,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LA-SF-ICP-MS_TAPP_v14.csv,61,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LA-SF-ICP-MS_UPb_TAPP_v15.csv,62,Ablation Duration per Spot,(none),EXTRA,sampling unit,per X,spot,"ion (signal acquisition) time per individual spot in seconds, as set in the acqu","Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
EPMA_TAPP_v16.csv,97,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-MC-ICPMS_TAPP_v10.csv,149,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-MC-ICPMS_UPb_TAPP_v10.csv,159,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-Q-ICP-MS_TAPP_v14.csv,137,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,147,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-SF-ICP-MS_TAPP_v14.csv,133,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-SF-ICP-MS_UPb_TAPP_v15.csv,143,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
Lab-XCT_TAPP_v15.csv,99,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
SEM_Composition_TAPP_v13.csv,95,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
SEM_FIBSEM_TAPP_v10.csv,58,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
SEM_Imaging_TAPP_v10.csv,65,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
SEM_TAPP_v13.csv,130,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
Solution_MC-ICP-MS_TAPP_v14.csv,127,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
Solution_Q-ICP-MS_TAPP_v16.csv,114,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
Solution_SF-ICP-MS_TAPP_v16.csv,110,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
TEM_TAPP_v15.csv,101,Additional Notes,(none),EXTRA,sampling unit,X-specific,analysis,Any procedure- or analysis-specific information not cap,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised."
LA-MC-ICPMS_TAPP_v10.csv,94,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
LA-MC-ICPMS_UPb_TAPP_v10.csv,95,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
LA-Q-ICP-MS_TAPP_v14.csv,93,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,94,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
LA-SF-ICP-MS_TAPP_v14.csv,89,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
