Field,Disposition,Why,Proposed unified value,Agree? (y/n),Notes,Q (live v7),SF (live v7),MC (live v5)
Sample Aliquot Mass or Volume,WRITE (gap),Empty in all three. Rule 6.4: a module row is not complete until the consumer supplies Column F.,,,,,,
Number of Digestion Steps,OK (identical),Already consistent.,1 | 2 | 3,,,1 | 2 | 3,1 | 2 | 3,1 | 2 | 3
Digestion Vessel Type,HARMONISE (drift),Vessels do not depend on the detector. MC alone lists 'TFE/TFM bomb'.,Savillex beaker | Parr bomb | Carius tube | HPA-S | Open beaker | TFE/TFM bomb | N/A | None | Other: specify,,,Savillex beaker | Parr bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,Savillex beaker | Parr bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify
Digestion Acid(s),HARMONISE (drift),Acids do not depend on the detector. MC adds HF-HNO3-HClO4 and drops Aqua regia.,HF–HNO3 | HNO3–HCl | HNO3 only | Aqua regia | HF–HNO3–HClO4 | N/A | None | Other: specify,,,HF–HNO3 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,HF–HNO3 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | N/A | None | Other: specify
Digestion Temperature,WRITE (gap),Empty in all three. Rule 6.4: a module row is not complete until the consumer supplies Column F.,,,,,,
Digestion Duration,WRITE (gap),Empty in all three. Rule 6.4: a module row is not complete until the consumer supplies Column F.,,,,,,
Chromatographic Separation Applied,KEEP (earned),"MC needs quantitative element separation (TRU, UTEVA, AG-MP-1, thiol) for isotope-ratio work; Q/SF trace-element runs frequently skip separation entirely.",,,,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,Anion exchange resin AG1-X8 (HCl) | Cation exchange resin AG50W-X8 | TRU resin | UTEVA resin | AG-MP-1 (HBr) | Thiol resin | Multi-step: specify | None | N/A | Other: specify
Isotope Dilution Spike,KEEP (earned),"MC lists double spikes (IRMM-3636, Sn/Fe) because double-spiking is an MC-ICP-MS mass-bias technique. Q/SF single-element spikes serve a different purpose.",,,,IRMM-016 (Fe) | 67Zn spike | None | N/A | Other: specify,Mixed multi-element spike | Single-element spike | None | N/A | Other: specify,IRMM-3636 (233U–236U double spike) | 117Sn–122Sn double spike (in-house) | 57Fe–58Fe double spike | None | N/A | Other: specify
Final Solution Matrix,KEEP (earned),"PARTLY earned: MC genuinely runs lower acid strengths. But MC states molarity (0.3 M HNO3) where Q/SF state percent — a NOTATION difference that is drift. Recommend harmonising units, keeping the values.",,,,2% HNO3 | 3% HNO3 | 4% HCl | 2% HNO3 + trace HF | N/A | None | Other: specify,2% HNO3 | 3% HNO3 | 2% HNO3 + trace HF | 6M HCl (intermediate) | N/A | None | Other: specify,0.3 M HNO3 | 2% HNO3 | 0.5 M HCl | 3 M HCl | N/A | None | Other: specify
Nebulizer Type,KEEP (earned),MC routinely runs self-aspirating low-flow and Apex-HF nebulisers; the introduction chain differs with the measurement goal.,,,,PFA MicroFlow | PFA-ST | Concentric glass | Micromist | Meinhard | N/A | None | Other: specify,PFA MicroFlow | Meinhard | Micromist | PFA-ST | N/A | None | Other: specify,PFA self-aspirating MicroFlow (50–100 µL/min) | PFA-ST | Glass concentric | ESI Apex-HF nebulizer | N/A | None | Other: specify
Spray Chamber Type and Cooling Temperature,KEEP (earned),Follows the nebuliser choice — MC's SIS and downstream-of-Aridus arrangements have no Q/SF counterpart.,,,,Cyclonic quartz at 2°C | Scott double-pass at 7°C | Conical with impact bead (uncooled) | N/A | None | Other: specify,Scott double-pass (glass) | Scott double-pass (PFA) | Cyclonic at 7°C | Cinnabar cyclonic at 7°C | N/A | None | Other: specify,Stable Introduction System (SIS): cyclonic + Scott double-pass | Scott double-pass (glass) at 2°C | Cyclonic at 5°C | Spray chamber downstream of Aridus II | N/A | None | Other: specify
Desolvation System,HARMONISE (drift),"Same 4-5 instruments in different order, with spelling drift ('Apex IR' vs 'Apex-IR').",ApexQ | Aridus II | Aridus I | Apex IR | Apex-IR | Apex-HF | None | N/A | Other: specify,,,ApexQ | Aridus II | Aridus I | Apex IR | None | N/A | Other: specify,Aridus I | Aridus II | Apex IR | ApexQ | None | N/A | Other: specify,Aridus II | Aridus I | Apex-IR | Apex-HF | ApexQ | None | N/A | Other: specify
Sample Uptake Rate,WRITE (gap),Empty in all three. Rule 6.4: a module row is not complete until the consumer supplies Column F.,,,,,,
Nebulizer Gas Flow Rate,HARMONISE (drift),0.8-1.1 / 0.8-1.0 / 0.85-1.05 L/min. No instrument reason for three different ceilings; arbitrary near-identical ranges.,0.8–1.1 L/min | 0.8–1.0 L/min | 0.85–1.05 L/min,,,0.8–1.1 L/min,0.8–1.0 L/min,0.85–1.05 L/min
Wash Time Between Samples,HARMONISE (drift),"Q and SF empty, MC populated. Not a divergence — a gap in two of three.",120 | 180 | 210 | 300,,,,,120 | 180 | 210 | 300
Internal Standard Concentration,WRITE (gap),Empty in all three. Rule 6.4: a module row is not complete until the consumer supplies Column F.,,,,,,
