Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,TEM Sample Preparation,3D Tomography,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
1. Procedure Identification,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'SEM-BSE/EDS Mineral Phase Mapping, JEOL 7600F, Bennu Astromaterials' | 'FIB-SEM 3D Tomography, Helios NanoLab 660, Organic-Rich Chondrite Matrix'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,SEM | SEM/FIB-SEM | Other: specify | N/A | None,,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SEM-EDS (Scanning Electron Microscopy–Energy Dispersive X-ray Spectroscopy),N,N,N
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'T.J. McCoy, Smithsonian NMNH' | 'ARES Electron Beam Analysis Laboratories, NASA JSC'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Electron Beam Analysis Laboratories, ARES, NASA Johnson Space Center' | 'K-ALFAA, University of Arizona'",,2026-05-21,(none),Y,Y,,"School of Earth and Space Exploration / School of Materials, Arizona State University","School of Earth and Space Exploration / School of Materials, Arizona State University","GPS Division Analytical Facility, California Institute of Technology","GPS Division Analytical Facility, California Institute of Technology","GPS Division Analytical Facility, California Institute of Technology",N,N,"Zircon and Accessory Phase Laboratory, University of Western Ontario",Surface Science Western,Surface Science Western,"Nanofabrication Laboratory, University of Western Ontario","Nanofabrication Laboratory, University of Western Ontario","China University of Mining and Technology, Xuzhou, China","China University of Mining and Technology, Xuzhou, China","China University of Mining and Technology, Xuzhou, China","Caltech GPS Analytical Facility, California Institute of Technology, Pasadena, CA, USA","Caltech GPS Analytical Facility, California Institute of Technology, Pasadena, CA, USA","CNR IMAA (Institute of Methodologies for Environmental Analysis), Italian National Research Council, Potenza, Italy","CNR IMAA (Institute of Methodologies for Environmental Analysis), Italian National Research Council, Potenza, Italy","CNR IMAA (Institute of Methodologies for Environmental Analysis), Italian National Research Council, Potenza, Italy","CNR IMAA (Institute of Methodologies for Environmental Analysis), Italian National Research Council, Potenza, Italy","China University of Geosciences, Beijing, China","NASA Johnson Space Center (JSC), Houston, TX, USA","NASA Johnson Space Center (JSC), Houston, TX, USA","K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","K-ALFAA (Kuiper-Arizona Laboratory for Astromaterials Analysis), University of Arizona","Molecular Foundry, Lawrence Berkeley National Laboratory (UC Berkeley)","NASA Johnson Space Center (JSC), Houston, TX, USA","Université Côte d'Azur / Observatoire de la Côte d'Azur, Valbonne, France","Astromaterials Research and Exploration Science Division (ARES), NASA Johnson Space Center, Houston, TX, USA",N,N,N
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,"e.g., 'https://ror.org/027ka1x80'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,YYYY-MM-DD,,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-1234567' | 'NASA 80NSSC20K0371' | 'None'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., 'https://doi.org/10.1234/example'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/procedure-id' | 'pending'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'T.J. McCoy' | 'Sara Singerling'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,YYYY-MM-DD,,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,YYYY-MM-DD,,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-2345678' | 'NASA 80NSSC23K0415' | 'None'",,2026-05-21,(none),Y,Y,,NASA NNG06GE37G (LAJG); NASA NNG06GF08G (PRB),NASA NNG06GE37G (LAJG); NASA NNG06GF08G (PRB),N,N,N,N,N,N,N,N,N,N,N,N,N,NSF EAR-0318518; NSF DMR-0080065 (supporting Caltech GPS Analytical Facility),NSF EAR-0318518; NSF DMR-0080065 (supporting Caltech GPS Analytical Facility),N,N,N,N,N,NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,NASA PSEF 80NSSC23K0327; NASA Planetary Major Equipment NNX12AL47G; NSF MRI 0619599,US DOE contract DE-AC02-05CH11231 (Advanced Light Source / Molecular Foundry),NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),N,N,N,N,N
