Flag_class,Module,Field,TAPPs_affected,Sentence_no,Flagged_sentence,Duplicates_column,Why_flagged,Current_DESCRIPTION_after_Step1,Current_PURPOSE_after_Step1,STEP2_action_PROPOSED,STEP2_new_text
MISPLACED-DEVNOTE,ArAr,Gas Extraction and Release Schedule,0,4,"Note: (U-Th)/He and continuous ramped heating have equivalent requirements (Flowers et al. 2024), so this is a candidate for generalisation once a stepped-heating system module exists.",,roadmap note about a future stepped-heating module,,,move out of the TAPP entirely — belongs in the module manifest or dev log,
MISPLACED-DEVNOTE,ArAr,Neutron Irradiation Conditions,0,4,"Note: fission-track dating by the external detector method has an equivalent requirement (Kohn et al. 2024, 'Irradiation reactor'), so this is a candidate for generalisation once a second irradiation-based system module exists.",,a library roadmap note about a future module; not content for a researcher filling the field,,,move out of the TAPP entirely — belongs in the module manifest or dev log,
MISPLACED-DEVNOTE,ArAr,Neutron-Induced Interfering Isotope Production Ratios,0,4,Candidate for a future general interference module.,,roadmap note — 'candidate for a future general interference module',,,move out of the TAPP entirely — belongs in the module manifest or dev log,
REWRITE-DUPLICATE,MCICPMS,Double-Spike Inversion Algorithm,3,5,Record 'N/A' where the procedure does not use a double spike.,,duplicates S4; one of the two must go,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",,delete one of the two duplicate sentences,
REWRITE-DUPLICATE,MCICPMS,Double-Spike Isotope Pair,3,6,Record 'N/A' where the procedure does not use a double spike.,,duplicates S5; one of the two must go,"The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",,delete one of the two duplicate sentences,
REWRITE-DUPLICATE,MCICPMS,Double-Spike Mixing Ratio,3,5,Record 'N/A' where the procedure does not use a double spike.,,duplicates S4; one of the two must go,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",,delete one of the two duplicate sentences,
REWRITE-DUPLICATE,MCICPMS,Internal Normalization Element and Isotope Ratio,3,5,Record 'N/A' where the procedure does not use internal normalization.,,duplicates S4 almost exactly; one of the two must go,"Element and isotope ratio used as the internal normalization standard for mass bias correction. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' if internal normalization is not used. Record 'N/A' where the procedure does not use internal normalization.","The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte.",delete one of the two duplicate sentences,
REWRITE-REDUNDANT,Core,Sample Name,16,2,The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.,Keyed By: sample,"context not instruction, so Purpose; but duplicates what Column I encodes","Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,Core,Sampling Unit,16,2,State the unit type at procedure level and the units actually analysed at analysis level.,C=Basic + D=Basic,phrased as an instruction so it stays in B for now; Step 2 deletes it — nothing survives the strip,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,Analyte,Analyte,13,3,"The procedure registers the full analyte suite; at analysis level the analyst records the specific subset actually measured in the session, which may be narrower if species were excluded due to interferences or scope reduction.",C=Basic + D=Editable,'procedure registers the suite; at analysis level the analyst records the subset' is the C/D split,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The procedure registers the full analyte suite; at analysis level the analyst records the specific subset actually measured in the session, which may be narrower if species were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each entry in this list.",,strip the duplicating clause (W2); delete the sentence if nothing survives,
