Class,Field,Declared_Keyed_By,N_rows,Owner,TAPPs,Diagnosis,Evidence_from_Column_B,Proposed_action
1 — definer carrying a second key,Monitored Isotopes,defines: channel,6,TAPP-owned,LA-Q-ICP-MS_v11:82; LA-Q-ICP-MS_UPb_v12:83; LA-SF-ICP-MS_v11:81; LA-SF-ICP-MS_UPb_v12:82; Solution_Q-ICP-MS_v13:64; Solution_SF-ICP-MS_v13:63,"Defines the channel domain, but the enumeration is organised per analyte. Column I states only the definer role; the analyte key is stated in Column B and nowhere machine-readable.",'Specific isotope(s) monitored per analyte element in this procedure...' + 'Analyte-specific field.',"Column I -> definer-with-key form, domain=channel, key=analyte. Delete the trailing 'Analyte-specific field.' sentence, which the key now carries."
1 — definer carrying a second key,Secondary Reference Materials,defines: standard,3,TAPP-owned,EPMA_v13:86; SEM_Composition_v10:84; SEM_v10:116,"Defines the standard domain, but each entry carries per-analyte assessed values, so the field body is a table keyed by analyte within standard. Not in the technique-dependent register, so whichever key is chosen applies to all 12 TAPPs.","'Include material name, assessed elements, number of analyses (n), and measured vs. accepted values.'","Column I -> definer-with-key form, domain=standard, key=analyte (or reported property — decide against Analytical Precision, which is already standard x reported property)."
1 — definer carrying a second key,Collector Configuration,defines: channel,3,MODULE:MCICPMS,LA-MC-ICPMS_v7:100; LA-MC-ICPMS_UPb_v7:101; Solution_MC-ICP-MS_v11:69,"Defines the channel domain, but multi-dynamic procedures register several configurations with a cycling sequence, so the definition repeats over a pass/magnet-step axis. That key ('acquisition pass') was retired 2026-08-11 under 7.4b/c for want of a user — this is a user.","'For static multi-collection procedures, one configuration applies throughout... For multi-dynamic procedures, list all configurations and the cycling sequence.'","Decide whether multi-dynamic cycling is a key or free text. If a key, un-retire 'acquisition pass' with this field as its user. MODULE-OWNED (Module_MCICPMS)."
1 — definer carrying a second key,EELS Edges,defines: channel,1,TAPP-owned,TEM_v13:73,"Defines the channel domain; edges are named by element symbol, so the enumeration is organised per analyte. Same shape as Monitored Isotopes, reached independently in TEM.","'Ionization edge(s) acquired by EELS, specified by element symbol and edge label (e.g., Fe L2,3; O K)... the EELS-specific counterpart to the Analyte field'","Column I -> definer-with-key form, domain=channel, key=analyte. No Column B change needed; the description is accurate."
2 — definer with a self-nesting domain,Sampling Unit,defines: sampling unit,16,TAPP-owned,EPMA_v13:25; LA-MC-ICPMS_v7:25; LA-MC-ICPMS_UPb_v7:25; LA-Q-ICP-MS_v11:25; LA-Q-ICP-MS_UPb_v12:25; LA-SF-ICP-MS_v11:25; LA-SF-ICP-MS_UPb_v12:25; Lab-XCT_v13:29; SEM_Composition_v10:24; SEM_FIBSEM_v9:24; SEM_Imaging_v9:24; SEM_v10:25; Solution_MC-ICP-MS_v11:24; Solution_Q-ICP-MS_v13:23; Solution_SF-ICP-MS_v13:23; TEM_v13:26,"Rule 9's mandatory field describes a two-level domain in prose. Rule 7.3 has 'A > B' for containment between two different keys, but no form for a definer that enumerates a domain nested within itself.","'Where units nest (e.g. confined tracks within grains), state both levels.'",Decide whether nesting is expressible in Column I (e.g. a nested-domain form) or stays prose-only. Affects all 16 TAPPs; fission track is the live case.
3 — conditionally keyed,Integration Time per Cycle,(none),3,MODULE:MCICPMS,LA-MC-ICPMS_v7:103; LA-MC-ICPMS_UPb_v7:104; Solution_MC-ICP-MS_v11:72,"Declared scalar, but the description says it becomes channel-keyed under a stated condition. Rule 7 has no notation for a key that is present only conditionally, so the declaration takes the narrower reading and the wider one survives only in prose.",'Analyte-specific when different isotope channels use different integration schemes.',"Choose a policy: declare the finest key unconditionally (over-declares for simple procedures), or add a conditional-key notation. MODULE-OWNED (Module_MCICPMS)."
3 — conditionally keyed,Dwell Time per Mass,channel,2,TAPP-owned,Solution_Q-ICP-MS_v13:65; Solution_SF-ICP-MS_v13:67,"Same shape one level up: declared channel, description adds an optional analyte dimension. Whether channel already subsumes it depends on the procedure.",'May differ per analyte if analyte-specific dwell times are programmed.',"Resolve with the Class 3 policy. If channel is judged sufficient, delete the sentence."
4 — stale cross-reference,Analyte,defines: analyte,5,TAPP-owned,EPMA_v13:48; SEM_Composition_v10:51; SEM_v10:60; Solution_Q-ICP-MS_v13:62; Solution_SF-ICP-MS_v13:61,"Description directs the reader to a Comments-column label that Rule 7 retired. In all 5 TAPPs carrying this sentence the Comments column is empty on every row, so the instruction cannot be followed. Survives because Rule 7.6 cleaned Column G and never swept Column B.",'Fields below flagged as Analyte-Specific in the Comments column apply individually to each element in this list.',"Replace the sentence with a pointer to Column I, or delete it — Column I now carries the information for every field."
5 — prose duplicates Column I,Per-Analyte Calibration Strategy,analyte,7,TAPP-owned,LA-MC-ICPMS_v7:111; LA-MC-ICPMS_UPb_v7:112; LA-Q-ICP-MS_v11:103; LA-Q-ICP-MS_UPb_v12:104; LA-SF-ICP-MS_v11:99; LA-SF-ICP-MS_UPb_v12:100; Solution_MC-ICP-MS_v11:97,'list analyte-specific strategies as needed' restates the declared key.,'Free text; list analyte-specific strategies as needed.',Optional cleanup — reads as drafting guidance rather than a cardinality claim.
5 — prose duplicates Column I,Mass Resolution per Analyte,analyte,5,TAPP-owned,LA-MC-ICPMS_v7:87; LA-MC-ICPMS_UPb_v7:88; LA-SF-ICP-MS_v11:83; LA-SF-ICP-MS_UPb_v12:84; Solution_SF-ICP-MS_v13:64,Trailing 'Analyte-specific field.' restates the declared key verbatim.,'...recorded in Mass Resolution Setting (Group 3). Analyte-specific field.',Delete the trailing sentence. Column I is correct.
