Field,Variant_TAPPs,Sentence_no,STEP1_route,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Analysis Sequence,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session."
Analysis Sequence,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,REWRITE-REDUNDANT(D=Editable),'Editable to allow minor adjustments' names the tier outright,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.
Analysis Sequence,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves","Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved."
Analysis Sequence,Solution_MC,1,D,,"M1 — defining sentence, never moves","Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved."
Analysis Sequence,Solution_MC,2,D,,M3 — definition or instruction to the filler,"For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference."
Analysis Sequence,Solution_MC,3,D,,M3 — definition or instruction to the filler,"For double-spike procedures, standards are spiked to the same level as samples before analysis."
Analytical Accuracy and Assessment Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Offset between measured and accepted reference values for secondary reference materials, expressed as % relative bias."
Analytical Accuracy and Assessment Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,Report both the assessment method and the accuracy values.
Analytical Accuracy and Assessment Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,"Specify: (1) secondary RM used and source of reference values, (2) number of analyses, and (3) elements or element groups assessed."
Analytical Accuracy and Assessment Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",4,D,,M3 — definition or instruction to the filler,Report any systematic biases and likely causes.
Analytical Accuracy and Assessment Method,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it.
Analytical Accuracy and Assessment Method,Solution_MC,1,D,,"M1 — defining sentence, never moves",Accuracy of isotope ratio or δ-value measurements relative to certified or published consensus values and the method used to assess it.
Analytical Accuracy and Assessment Method,Solution_MC,2,D,,how to assess — instruction,"For isotope ratio procedures, accuracy is typically assessed by comparing measured δ values for secondary geological reference materials against published interlaboratory compilations or certified values."
Auxiliary Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min."
Auxiliary Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what the flow affects,Affects ion extraction efficiency and oxide production rates.
Auxiliary Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas.
