Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama,GilDiaz+etal2020 | Agilent 8800 QQQ | FHNW Basel,GilDiaz+etal2020 | Thermo iCAP-TQ | lab not stated,GilDiaz+etal2020 | Thermo XSeries 2 | KIT Karlsruhe,LopezGarcia+etal2026 | Thermo iCAP TQ | Institute of Science Tokyo
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution Q-ICP-MS,Source: Core module,2026-06-16,(none),,,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS,Solution Q-ICP-MS (triple-quadrupole platform),Solution Q-ICP-MS (triple-quadrupole platform),Solution Q-ICP-MS,Solution Q-ICP-MS (triple-quadrupole platform)
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,Source: Core module,2026-06-16,(none),,,"State Key Laboratory of Continental Dynamics, Northwest University, Xi'an (affiliation)",University of Cambridge (affiliation),"Pheasant Memorial Laboratory (PML) for Geochemistry and Cosmochemistry, Okayama University (affiliation)","Institut de Physique du Globe de Paris (IPGP), France (affiliation)","Pheasant Memorial Laboratory (PML), Okayama University (section 2.1)","N — 'Agilent 8800, Basel, Switzerland'; the Basel-area author affiliation is FHNW","N — instrument given as 'iCAP-TQ, Thermo' with no laboratory stated","Karlsruhe Institute of Technology (KIT), Germany",Institute of Science Tokyo
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,Source: Core module,2026-06-16,(none),,,N,N,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,Source: Core module,2026-07-24,(none),,,N,N,N,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,Source: Core module,2026-08-25,(none),Encourages formal procedure registration and ensures traceability.,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",,N,"N -- ""a typical run (~5 hr)"" referenced; no run identifier stated","N -- ""an average of eight sessions"" referenced; no session identifier stated",N,N,N,N,N,N
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution MC-ICP-MS | TIMS | LA-ICP-MS | EPMA | Noble Gas MS | INAA | None | N/A,Source: Core module,2026-08-25,(none),,,N,ICP-AES (for initial [Ca] determination; stated section 2),N,MC-ICP-MS (Neptune Plus at IPGP; for Zn isotope measurements; stated Methods),SF-ICP-MS (Finnigan ELEMENT at PML; for Ti measurements; stated section 2.1.2),N,N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,Source: Core module,2026-08-25,(none),,,N,ICP-AES measured initial Ca concentration; sample then diluted to 100 ppm Ca for Q-ICP-MS analysis; ICP-AES performed first (stated section 2),N,"Same dissolved aliquots analyzed by Q-ICP-MS (major/trace elements, masses 23-75) and MC-ICP-MS (Zn isotopes); stated Methods","Q-ICP-MS (7500cs) measured B, Zr, Nb, Mo, Sn, Sb, Hf, Ta; SF-ICP-MS (ELEMENT) measured Ti and Nb; both techniques on same digested solutions; stated section 2.1",N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N
