TAPP,Row,Field,Declared_I,Verdict,Disposition,N_evidence,N_scalar,Observed,Tally,Sample
EPMA_TAPP_v64.csv,44,Beam Current,sample > sampling unit,OVER-DECLARED,"KEEP sampling unit — 2 of 13 procedures publish per-phase currents, so the axis is attested in reported data even though 10 are scalar.",14,11,scalar,scalar=11; sampling unit=2; unclear=1,"5 nA || 10 nA || 20 nA (olivine, pyroxene, Fe-Ti-Cr oxides); 10 nA (maskelynite, phosphate, sulfide, glass); 200 nA (olivine me"
EPMA_TAPP_v64.csv,45,Beam Diameter,sample > sampling unit,OVER-DECLARED,"KEEP sample > sampling unit — the detector tallied sampling unit=2 of 13; READING THE RAW CELLS GIVES 6 of 14. Liu+2016 (both), Pang+2016, McCoy+2025_SI, Zega+2025 and Barnes+2025 (JEOL) each give a per-phase diameter, e.g. '1-2 um (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 um defocused (maskelynite, phosphate, sulfide, glass)'. Far stronger than the 2-of-13 that kept Beam Current. The detector recognises only a narrow phrasing.",14,11,scalar,scalar=11; sampling unit=2; unclear=1,"Focused (exact diameter N) || Focused (exact diameter N) || 1-2 µm (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 µm defocused (maskelynite, phosphate, sulfide, glass)"
EPMA_TAPP_v64.csv,42,Beam Mode,sample > sampling unit,OVER-DECLARED,"KEEP sample > sampling unit — same evidence and same undercount as Beam Diameter: 6 of 14 give a per-phase mode ('Focused (olivine, pyroxene, Fe-Ti-Cr oxides); Defocused 5-10 um (maskelynite, phosphate, sulfide, glass)'). Keyed deliberately in the electron-beam setup cluster pass and confirmed here on evidence.",14,11,scalar,scalar=11; sampling unit=2; unclear=1,"Focused (stated: ""beam in focused mode"") || Focused || Focused (olivine, pyroxene, Fe-Ti-Cr oxides); Defocused 5-10 µm (maskelynite, phosphate, sulfide, glass)"
Solution_MC-ICP-MS_TAPP_v71.csv,77,Number of Cycles per Block,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",13,12,scalar,scalar=12; target species=1; target species:valued=1,"100 isotope ratio measurements, preceded by 40 baseline integrations || 20 cycles || 25 (HR) or 50 (MR) cycles"
Solution_MC-ICP-MS_TAPP_v71.csv,78,Integration Time per Cycle,channel,OVER-DECLARED,"KEEP channel — the Rule 7.11 G3 case, decided deliberately: declare the finest key unconditionally, because a consumer given channel can hold one shared value while a consumer given (none) cannot hold per-channel values at all. Scalar observations are expected and do not contradict it.",12,10,scalar,scalar=10; target species=1; target species:valued=1; unclear=1,8.4 s || 8.5 s || 8.369 s
Solution_MC-ICP-MS_TAPP_v71.csv,75,Collector Configuration,defines: channel per target species,AXIS-MISMATCH,"KEEP defines: channel per target species — the definer role is invisible to the detector, which sees a list of cup assignments and reports the domain it enumerates as if it were keyed by it. Same shape as Monitored Masses below.",11,2,channel,channel=7; scalar=2; unclear=2,"N || 32S(L3), 33S(C), 34S(H3) || 54Fe, 56Fe, 57Fe, 58Fe in static mode, with 53Cr and 60Ni monitored simultaneously"
EPMA_TAPP_v64.csv,91,Detection Limit,reported property,AXIS-MISMATCH,CONSISTENT in EPMA — per-element values are covered by the target species/reported-property isomorphism precedent (2026-08-12).,10,3,target species,target species=5; target species:valued=5; scalar=3; unclear=2,"K: 0.02 wt%; Cr: 0.05 wt%; Mn: 0.06 wt% (Table 1 footnote; other elements N) || K2O: 0.01 wt% (lowest); MnO: 0.06 wt% (highest); full per-element values stated in paper || <0.03 wt% for SiO2, TiO2, Al2O3, MgO, CaO; <0.05-0.1 wt% for FeO, MnO, Cr2O3, NiO, Na2O, K2O, P2O5 (stated as "
Solution_Q-ICP-MS_TAPP_v77.csv,94,Calibration Strategy per Target Species,target species,OVER-DECLARED,KEEP target species — as above.,9,8,scalar,scalar=8; channel=1; target species=1,External calibration (all analytes; stated section 3.1) || External calibration with matrix-matched standards at 100 ppm Ca (stated section 2) || Isotope dilution with ID-IS normalization (ID-IS; all analytes; stated section 2)
Solution_MC-ICP-MS_TAPP_v71.csv,56,Desolvation System,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",8,6,scalar,scalar=6; unclear=2,"Cetac Aridus II || None — and deliberately: ""passing solutions through a desolvating nebulizer to obtain dry plasma conditions is || ESI Apex Ω for HR-mode dry plasma work, ""with no auxiliary N2 flow""; none for MR-mode wet plasma"
Lab-XCT_TAPP_v39.csv,82,Phase Identification Method,sample > sampling unit,OVER-DECLARED,"KEEP sample > sampling unit — Genge et al. 2025 gives two different criteria for two phases ('sulphide rims by bright contrast; silicate glass by contrast relative to matrix') and Tait 2014 a per-phase outcome ('plagioclase targeted; olivine + pyroxene not separately resolved; troilite/oxyhydroxide indistinguishable'). Same 2-of-N shape that kept Beam Current. The Lab-XCT Sampling Unit domain, extracted 2026-09-01, carries '> Phase' in 4 of 14 procedures.",8,5,scalar,scalar=5; sampling unit=2; unclear=1,N || Sulphide rims of SSOs identified by bright contrast; silicate glass by contrast relative to matrix || N
