Field,Decision,Old_types,New_type,Attested_cells,Distinct,Ratio,Units_seen,Rationale,Attested_examples
Beam Diameter,APPLIED,Numeric (µm) | Numeric + unit,Numeric (µm) / Text,13,9,0.69,µm×15,"unit unanimous across 15 mentions, but 5 of 13 cells are qualitative ('Focused (exact diameter N)') so the pin needs a / Text escape","Focused (exact diameter N) || Focused (exact diameter N) || 1-2 µm (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 µm defocused (maskelynite, phosphate, sulfide, glass) || 1-2 µm (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 µm defocused (maskelynite, phosphate, sulfide, glass)"
Step Size / Pixel Size,APPLIED,Numeric (µm) | Numeric + unit,Numeric (µm) / Text,3,2,0.67,µm×4,all attested in µm; some cells are per-map lists rather than a single number,8-12 µm (BSE + Ca/Al/Fe/Mg Ka phase maps at UT); 2 µm (olivine megacryst Ka maps; instrument ambiguous) || 2.5 µm || 2.5 µm
Beam Raster Dimensions,APPLIED,Numeric + unit | Numeric pair (µm x µm),Numeric pair (µm x µm),1,1,1.0,µm×1,"attested as '5x5 µm²' — a pair; 'Numeric + unit' would lose the pair structure. n=1, weak but consistent",5×5 µm² for carbonates
Map Area,APPLIED,Numeric + unit | Numeric pair (µm x µm),Numeric pair (µm x µm),0,0,,—,"NO attested cells — decided by consistency with Beam Raster Dimensions, same quantity shape. Weakest call here",
Dwell Time per Pixel,APPLIED,Numeric (ms) | Numeric + unit,Numeric + unit,1,1,1.0,s×1,"the single attested value is '~0.5 s per step' — SECONDS, which disproves EPMA's ms pin",~0.5 s per step (olivine megacryst Ka maps; instrument ambiguous)
Mass Bias Correction Strategy,APPLIED,Controlled list | Text (free),Text (free),14,13,0.93,us×3,0.93 distinct — a list would be fiction,"Internal normalization to 98Mo/96Mo = 1.453173 using the exponential law, plus bracketing against the Alfa Aesar standard || Standard-sample bracketing against matrix-matched purified S solutions || Internal normalization to 57Fe/56Fe = 0.023095 or 57Fe/54Fe = 0.362549 using the exponential law, with IRMM-524a bracketing || Standard-sample bracketing against OL-REE standards — ""SSB is advantageous over the double-spike approach because one can distinguish mass-dependent fractionation from isotopic anomalies"""
Phase Identification Method,APPLIED,Controlled list | Text (free),Text (free),27,26,0.96,nm×3; mm×1,0.96 distinct,"Sulphide rims of SSOs identified by bright contrast; silicate glass by contrast relative to matrix || Phases: augite, mesostasis, olivine, titanomagnetite, pore space — identified by grayscale correlated to linear attenuation coefficients; verified with SEM || Three density regions: high, medium, low density; porosity separate || Phase identified by grayscale contrast (vapor vs. silicate/mineral)"
Pulse/Analog Detector Nonlinearity Correction,APPLIED,Controlled list / Text | Text (free),Controlled list / Text,15,8,0.53,ms×4,0.53 distinct — families exist,Applied: dual detector mode (30 ms / 10 ms dwell alternation) || Applied: dual detector mode (30 ms / 10 ms dwell alternation) || Applied: triple mode detection at 65% duty cycle (pulse counting + analog + Faraday); specific cross-calibration not described || Applied: triple mode detection; cross-calibration between pulse-counting and analog modes performed
Internal Standard Approach,REVERTED,Text (free) | Controlled list,(unchanged — registered OPEN),38,25,0.66,—,"NAME COLLISION, not a type problem: LA means 'how the IS concentration is obtained', Solution means 'what role the IS plays'. Needs Rule 1 rename/split","No conventional IS; external calibration only (Rb/Sr elemental fractionation corrected by series of reference glasses; 87Sr/86Sr mass bias corrected by exponential law using 88Sr/86Sr = 8.37521) || Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS || Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects || Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard"
Sample Preparation Method,NOT APPLIED,Text (free) | Controlled list,(unchanged — registered OPEN),123,62,0.5,nm×22; mm×15; µm×11; cm×4,"0.50 distinct so families exist and the evidence points at Controlled list / Text, but that needs a Column F vocabulary agreed across 15 TAPPs of every technique",Polished thin section; carbon coating N || Polished thick section (NWA 8657); carbon coating N || Polished thin sections (coating type N) || Polished thin sections (coating type N)
