Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted.",Advanced,Editable,Text (free),,,2026-08-25,(none),
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),,,,(none),
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),,,,(none),
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell.",Basic,Read-Only,Text (free),,,2026-08-25,(none),Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length.",Basic,Editable,Text (free),,,2026-08-25,(none),
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,,,,(none),
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Laser Fluence (Energy Density).,Advanced,Editable,Numeric (mJ),,,2026-08-25,(none),Less commonly reported than fluence because it does not account for spot area.
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),,,2026-08-25,(none),"Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution."
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed.",Advanced,Read-Only,Controlled list,,,2026-08-30,(none),A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.
Laser Repetition Rate,Laser pulse repetition rate in hertz registered by the procedure.,Basic,Editable,Numeric (Hz),,,2026-08-25,(none),"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution."
Laser Pulse Duration,"Duration of each individual laser pulse, including units.",Basic,Read-Only,Text (free),,,2026-08-25,(none),Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and is not captured here.",Basic,Editable,Numeric (s),,,2026-08-25,(none),"For spot analysis, reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput."
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),,,2026-08-25,(none),Sets the achievable depth resolution and governs downhole elemental fractionation.
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers.",N/A,Basic,Numeric (µm),,,2026-08-25,(none),Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),,,2026-08-25,(none),"Together with spot size and repetition rate, determines spatial resolution along the scan direction."
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Applies to raster mapping only.",Basic,Editable,Text (free),,,2026-08-25,(none),"Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size)."
Transect Length,"Total length of the transect line analysed in micrometres. Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",N/A,Basic,Numeric (µm),,,2026-08-25,(none),Depends on the size of the feature of interest rather than being fixed in the procedure.
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions.",N/A,Basic,Text (free),,,2026-08-25,sample > sampling unit,Enables spatial reconstruction and co-registration with other analytical images.
Internal Standard Approach,Method used to determine the internal standard (IS) concentration for each unknown sample.,Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'None'",,2026-08-26,(none),Corrects for variable ablation yield between analyses.
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),,,2026-08-27,(none),
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Variations that do not alter the analytical procedure (e.g., thin section vs. mount) are legitimate.",Basic,Editable,Controlled list / Text,,,2026-08-30,(none),
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),,,2026-08-27,(none),
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel.",Basic,Editable,Numeric (s),,,2026-08-27,(none),
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Adjustment during tuning stays within ±10% of the target.",Basic,Editable,Text (free),,,2026-08-27,(none),Helium is standard for most UV laser systems due to superior aerosol transport.
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². Scan speed, line spacing and spot size are fixed by the procedure; the map area covers the target feature.",N/A,Basic,Text (free),,,2026-08-27,(none),The map area depends on the size of the grain or phase to be mapped.
