Field,Sentence_no,Route,Reason,Sentence
Procedure Name,1,D,,"A short descriptive name for this analytical procedure, including a version number."
Procedure Name,2,D,,"Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature."
Technique,1,D,,Top-level analytical technique identifier.
Procedure Author,1,D,,Person(s) or laboratory responsible for developing and registering this procedure.
Procedure Author,2,D,,ORCID recommended for individuals.
Laboratory,1,D,,Name of the laboratory or institution hosting the instrument.
Laboratory ID,1,D,,"Persistent identifier for the laboratory (e.g., ROR ID)."
Procedure Start Date,1,D,,First date this procedure configuration was used in production.
Funding Source for Procedure Development,1,D,,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time."
Funding Source for Procedure Development,2,D,,Include grant numbers and funding agencies where applicable.
Procedure Reference(s),1,D,,"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure."
Procedure DOI,1,D,,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository."
Procedure DOI,2,P,obligation restates D=Basic ('Mandatory user input at analysis time') -> strip it; the rationale is what remains,"This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability."
Procedure DOI,3,D,,"If a DOI has been applied for but not yet minted, enter ""pending""."
Session Identifier,1,D,,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software."
Session Identifier,2,P,explains the session/sample data model and what it links to,"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files."
Session Identifier,3,D,,Distinct from any persistent identifier a repository mints on submission.
Analyst,1,D,,Name(s) of the analyst(s) who performed the analysis session.
Analyst,2,D,,ORCID is recommended for persistent identification.
Analysis Start Date,1,D,,Date on which the analytical session began.
Analysis Start Date,2,D,,"For sessions spanning multiple days, use the date of the first session."
Analysis Start Date,3,D,,Format: YYYY-MM-DD.
Analysis End Date,1,D,,Date on which the analytical session ended.
Analysis End Date,2,D,,May equal Analysis Start Date for single-day sessions.
Analysis End Date,3,D,,Format: YYYY-MM-DD.
Funding Source for Analysis,1,D,,Grants and other funding sources that supported the specific sample analyses and data collection reported here.
Funding Source for Analysis,2,D,,Include grant numbers and funding agencies.
Funding Source for Analysis,3,D,,"Distinct from procedure development funding, which may have been awarded years earlier."
Coupled Technique(s),1,D,,Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure.
Coupled Technique(s),2,D,,"Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements."
Coupled Technique(s),3,D,,Use the same controlled vocabulary as the Technique field.
Coupled Technique(s),4,D,,"Enter ""None"" if no coupling is intended."
Coupling Description,1,D,,Description of how this procedure is coupled with the technique(s) listed above.
Coupling Description,2,D,,"Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive)."
Coupling Description,3,D,,"Required when Coupled Technique(s) is not ""None""."
Coupled Procedure DOI,1,D,,Registered procedure DOI for the coupled technique named above.
Coupled Procedure DOI,2,P,pure rationale — why a procedure DOI is worth having,"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited."
Coupled Procedure DOI,3,D,,"If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending""."
Coupled Procedure DOI,4,D,,"Enter ""None"" if no coupling is planned."
Coupled Dataset or Publication Reference,1,D,,DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together.
Coupled Dataset or Publication Reference,2,D,,"Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI."
Coupled Dataset or Publication Reference,3,D,,"Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned."
Coupled Dataset or Publication Reference,4,D,,"If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2)."
Sample Name,1,D,,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks."
Sample Name,2,P?I,restates what Column I (Keyed By: sample) already encodes,The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.
Sample Name,3,D,,Should match the identifier used in associated publications or data tables.
Sample Persistent Identifier,1,D,,"Globally unique, persistent identifier for each sample listed in Sample Name."
Sample Persistent Identifier,2,D,,"IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR."
Sample Persistent Identifier,3,D,,"Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed."
Target Material,1,D,,General description of the material type(s) this procedure is designed to analyse.
Target Material,2,P,discoverability + why material type matters,"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements."
Sampling Unit,1,D,,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole."
Sampling Unit,2,REMOVE,restates C=Basic + D=Basic verbatim — conventions.md gives this exact sentence as the tier justification; nothing remains once stripped,State the unit type at procedure level and the units actually analysed at analysis level.
Sampling Unit,3,D,,"Where units nest (e.g. confined tracks within grains), state both levels."
Instrument Manufacturer,1,D,"S1 always stays: it is the only defining sentence, and Column B cannot be left without a definition","Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor."
Instrument Manufacturer,2,D,,"Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument."
Instrument Manufacturer,3,D,,Instrument Model gives the specific designation.
Instrument Model,1,D,,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix."
Instrument Model,2,D,,Conventionally written with the manufacturer name included;
Instrument Model,3,D,,"Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor."
Acquisition Software,1,D,,"Instrument control, automation and data acquisition software used to collect the raw data, including version number."
Acquisition Software,2,D,,"Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition."
Data Processing Software(s),1,D,,"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers."
Data Processing Software(s),2,D,,List every package used.
Data Processing Software(s),3,D,,"Distinct from Acquisition Software, which controls the instrument and collects the raw data."
Analytical Mode,1,D,,Primary analytical mode(s) executed under this procedure.
Analytical Mode,2,D,,Records one value for a single-mode procedure and all applicable modes for a multi-mode one.
Analytical Mode,3,P,role and boundary against the mode flag columns,"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability."
Analytical Mode,4,P,'Required even where...' restates C=Basic -> strip; the comparability rationale is what remains,"Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library."
Reported Variables and Units,1,D,,The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported.
Reported Variables and Units,2,P,pure rationale — why a consumer needs the field,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.
Reported Variables and Units,3,D,,"Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date)."
Reported Variables and Units,4,D,,"Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'."
Constants and Reference Values Used,1,D,,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source."
Constants and Reference Values Used,2,D,,"Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants."
Constants and Reference Values Used,3,D,,"Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction."
Additional Notes,1,D,,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context."
Additional Notes,2,D,,"Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups."
Additional Notes,3,D,,Use sparingly; a structured field is preferred for anything that can be formally categorised.
