Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
LaserAblation,Pre-Ablation Surface Treatment,1,D,M1,,,Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface.
LaserAblation,Pre-Ablation Surface Treatment,2,D,M3,,,Distinct from general sample preparation.
LaserAblation,Pre-Ablation Surface Treatment,3,D,M3,,,"For spot analysis, pre-ablation pulses are discarded before signal acquisition begins."
LaserAblation,Pre-Ablation Surface Treatment,4,D,M4,REWRITE-STRADDLE,"guidance that it is omitted for mapping, plus the reason","For mapping, this step is typically omitted as the large area ablated averages out surface effects."
LaserAblation,Laser Manufacturer & Model,1,D,M1,,,Manufacturer and model of the laser ablation system.
LaserAblation,Laser Wavelength and Type,1,D,M1,,,Wavelength and type of the laser used for ablation in nanometres.
LaserAblation,Ablation Cell Type,1,D,M1,,,"Type, design origin, and internal volume of the ablation cell."
LaserAblation,Ablation Cell Type,2,P,M2,,why cell volume matters — washout and time resolution,Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.
LaserAblation,Laser Spot Geometry,1,D,M1,,,Shape and dimensions of the laser ablation spot in micrometres registered by the procedure.
LaserAblation,Laser Spot Geometry,2,D,M3,,,"For circular spots, report diameter; for square or rectangular spots, report width × length."
LaserAblation,Laser Spot Geometry,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'procedure registers...analysts may adjust' is the D=Editable definition,The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.
LaserAblation,Laser Spot Path / Ablation Mode,1,D,M1,,,Sampling mode or ablation pattern used during analysis.
LaserAblation,Laser Energy,1,D,M1,,,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface.
LaserAblation,Laser Energy,2,P,M2,,why energy is less useful than fluence,Less commonly reported than fluence because it does not account for spot area.
LaserAblation,Laser Energy,3,D,M3,,,Report only when the system displays energy directly.
LaserAblation,Laser Energy,4,D,M3,STALE-CROSSREF,cites 'Default Laser Fluence'; the field is named 'Laser Fluence (Energy Density)',Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.
LaserAblation,Laser Fluence (Energy Density),1,D,M1,,,"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure."
LaserAblation,Laser Fluence (Energy Density),2,P,M2,,why fluence is the physically meaningful quantity,"Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution."
LaserAblation,Laser Fluence (Energy Density),3,D,M3,,,"If the system reports only as % of maximum output, include that value and note the system maximum where known."
