Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment
1. Procedure Identification,,,,,,,,,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,,2026-07-24,(none),
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution MC-ICP-MS,,2026-06-18,(none),
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,,2026-07-24,(none),
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,2026-06-18,(none),
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,2026-06-18,(none),
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,2026-07-24,(none),
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,,2026-07-24,(none),
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,,2026-07-24,(none),
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,,2026-07-24,(none),
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,,2026-06-18,(none),
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,,2026-06-18,(none),
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,,2026-06-18,(none),
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,,2026-07-24,(none),
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution Q-ICP-MS | Solution SF-ICP-MS | TIMS | LA-MC-ICP-MS | None | N/A,,2026-07-24,(none),
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,,2026-06-18,(none),
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,,2026-07-24,(none),
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,,2026-06-18,(none),
,,,,,,,,,
2. Samples,,,,,,,,,N
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, chondrite, seawater, mineral separate). Constrains the dissolution strategy, chromatographic separation, and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Seawater | Mineral separate | Synthetic solution | N/A | None | Other: specify,,2026-06-18,(none),
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",,2026-08-08,(none),
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,
Sample Persistent Identifier,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-18,(none),
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-18,(none),
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-18,(none),
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,,2026-08-10,preparation step,
Digestion Vessel Type,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-06-18,(none),
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,defines: preparation step,
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",,2026-08-10,preparation step,
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",,2026-08-10,preparation step,
