Field,Status,Module text currently from,Winner,Attention,Rationale,Adopted description,Q (Solution Q v6),SF (Solution SF v6),MC (Solution MC v4)
Sample Aliquot Mass or Volume,DECIDE (2 variants; Q=SF),Q/SF,Q/SF,LOW,MC narrows the back-calculation clause to 'in isotope dilution procedures'. That is one use case among several — the mass is equally needed for straight concentration work. Q/SF is the more general statement and already covers ID. Nothing is lost.,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation in isotope dilution procedures.
Number of Digestion Steps,DECIDE (2 variants; Q=SF),Q/SF,synthesized (Q/SF + MC),LOW,"Both variants are identical except for the worked example, and the two examples give the two canonical reasons a second step is needed: refractory residue (Q/SF) and fluoride-complex destruction (MC). Neither subsumes the other, so both are kept.","Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.","Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals).","Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals).","Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., open-beaker HF–HNO3 dissolution followed by aqua regia reflux to destroy fluoride complexes)."
Digestion Vessel Type,DECIDE (2 variants; SF=MC),Q,SF/MC,LOW,"SF and MC add a concrete consequence — which vessel class is required for complete silicate digestion — that tells the user how to choose. Q states only that vessel type matters, without saying what follows from it.","Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution.,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).","Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures)."
Digestion Acid(s),DECIDE (3 variants),Q,MC,LOW,"MC is a strict superset of SF and adds real consequence content: incomplete dissolution fractionates isotopes. The clause is conditional ('for isotope ratio work'), naming a purpose rather than an analyser, so it generalises to any consumer doing that work.","Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.","Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3, HNO3–HCl).","Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).","Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution."
Digestion Temperature,NO DECISION NEEDED,Q/SF/MC,all identical,resolved,No divergence - nothing to decide.,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.
Digestion Duration,NO DECISION NEEDED,Q/SF/MC,all identical,resolved,No divergence - nothing to decide.,Duration of the primary acid digestion step (hours or days).,Duration of the primary acid digestion step (hours or days).,Duration of the primary acid digestion step (hours or days).,Duration of the primary acid digestion step (hours or days).
Chromatographic Separation Applied,DECIDE (3 variants),Q,"synthesized (SF + MC, generalised)",HIGH — please read,"MC has by far the best reasoning — it says WHY separation is needed (variable mass bias, isobaric interference) where Q/SF only say it is common. But MC names the analyser twice ('prior to MC-ICP-MS analysis', 'mandatory for solution MC-ICP-MS'), which disqualifies it as module text. Adopted here is SF's general frame carrying MC's reasoning, with the analyser references converted to the purpose they actually denote. This is the row where a separation chemist may disagree with the phrasing 'usually mandatory for isotope-ratio procedures'.","Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.","Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to ICP-MS analysis. Common for procedures requiring matrix removal or interference elimination before measurement (e.g., Fe and Cu–Zn for isotope dilution). Record resin type and matrix conditions if applied. Record 'None' if direct digestion solution is analyzed.","Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to ICP-MS analysis. Common for procedures requiring matrix removal or interference elimination before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE). Record resin type and matrix conditions if applied. Record 'None' if direct digestion solution is analyzed.","Whether chromatographic separation was performed prior to MC-ICP-MS analysis. Separation is usually mandatory for solution MC-ICP-MS to remove matrix elements that cause variable mass bias and to eliminate isobaric interferences (e.g., removal of Cr and Ni from Fe fractions; separation of U from matrix). Record resin type and elution matrix. Record 'None' if direct digestion solution is analyzed (uncommon for isotope ratio work)."
Isotope Dilution Spike,PRE-DECIDED (evidence),MC,MC,resolved,MC adds when the spike must be introduced and why — genuine instruction content the other two lack.,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis. Record spike name or certificate reference and spike isotope(s). Record 'None' if ID technique is not used.,Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis. Spike must be added before digestion for complete equilibration. Record spike name or certificate reference and spike isotope(s). Record 'None' if ID technique is not used.,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used."
Final Solution Matrix,DECIDE (3 variants),Q,"synthesized (MC + SF, generalised)",MEDIUM,"MC contributes the strongest consequence in the whole module — molarity must be matched between samples and bracketing standards or mass bias shifts. SF contributes a second real fact, that trace HF may be added to keep HFSE in solution, but wraps it in 'some SF-ICP-MS procedures', which names an analyser. Both facts are kept, both generalised.","Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission.,Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. Note: some SF-ICP-MS procedures add trace HF to final solution to stabilize HFSE.,Acid type and concentration of the final dissolved sample solution introduced to the instrument. Critical for isotope ratio work: acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets.
Nebulizer Type,DECIDE (2 variants; SF=MC),Q,Q,MEDIUM — boundary issue,"This is the one case where the majority variant is the worse one. SF and MC say the nebulizer 'affects droplet size distribution and uptake rate' — but `Sample Uptake Rate` is a separate field in this same module, so that wording blurs the boundary between two adjacent fields. Q's 'sample introduction efficiency' names the property the nebulizer actually governs and keeps the two distinct. 2-of-3 agreement is not evidence here.",Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and uptake rate.,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and uptake rate.
