Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
1. Procedure Identification,,,,,,,,N,N,N,N,,,,,,,,,,,,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",,2026-08-08,Y,Y,Y,,Zhang et al. (2022) Iron Meteorite LA-ICP-MS v1,Chernonozhkin et al. (2021) Pallasite Olivine 2D Mapping v1,Chernonozhkin et al. (2021) Pallasite Olivine Multi-run Spot/Transect v1,Chernonozhkin et al. (2021) Pallasite Phosphate Spot v1,Mittlefehldt (2024) Pallasite Olivine Spot v1,Nakanishi et al. (2022) CR Chondrite Metal HSE fs-LA-ICP-MS Spot v1,Navarro et al. (2024) Iron Meteorite Spot v1,Navarro et al. (2024) Iron Meteorite Raster Mapping v1,Liu et al. (2024) Extraterrestrial Flux Glass fs-LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Silicate Glass LA-ICP-MS Spot v1,Liu et al. (2025) Experimental Sulfide LA-ICP-MS Spot v1,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-ICP-MS | LA-ICP-OES | LA-MC-ICP-MS | LA-ICP-ToF-MS | LA-ICP-MS/MS | Other: specify,,2026-05-06,Y,Y,Y,,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,fs-LA-Q-ICP-MS,LA-SF-ICP-MS,LA-SF-ICP-MS,fs-LA-Q-ICP-MS,LA-Q-ICP-MS,LA-Q-ICP-MS,LA-ICP-MS (193 nm excimer laser + ICP-MS; top-level technique) [P4],LA-ICP-MS (same as silicate protocol) [P4]
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",,2026-08-08,Y,Y,Y,,"Zhang, Chabot, Rubin, Humayun et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.","Chernonozhkin, Pittarello, Goderis, Vanhaecke et al.",Mittlefehldt,"Nakanishi, Yokoyama, Okabayashi, Iwamori, Hirata","Navarro, Enzweiler, Crósta et al.","Navarro, Enzweiler, Crósta et al.","Liu, Xue, Li, Wang et al.","Liu, Li, Xu, Xiong et al.","Liu, Li, Xu, Xiong et al.",N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",,2026-05-06,Y,Y,Y,,"Plasma Analytical Facility, Florida State University, Tallahassee FL, USA","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","Dept. of Chemistry, Atomic & Mass Spectrometry, Ghent University, Belgium","ICP-MS Laboratory, NASA Johnson Space Center, Houston TX, USA","Dept. of Earth and Planetary Sciences, Tokyo Institute of Technology, Japan","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","Isotope Geology Laboratory, University of Campinas (UNICAMP), Brazil","State Key Laboratory of Lithospheric Evolution and Environmental Coevolution, IGGCAS, Beijing, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, CAS, China","Department of Geosciences, Virginia Tech [P4]","Department of Geosciences, Virginia Tech [P4]"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),,2026-08-08,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",,2026-07-24,Y,Y,Y,,N,"Planet Topers (BELSPO Interuniversity Attraction Poles); FWO postdoctoral fellowship for SCh; FWO ""Excellence of Science"" (ET-HoME ID 30442502); FWO/BOF-UGent; Alexander von Humboldt Foundation; FWO/BELSPO/VUB for SG and PC",Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,N,JSPS KAKENHI; Tokyo Institute of Technology,FAPESP (São Paulo Research Foundation); CNPq,FAPESP; CNPq,NSFC; Chinese Academy of Sciences,"Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",,2026-07-24,Y,Y,Y,,"Zhang et al. (2022) GCA 323, 202–219; Humayun (2012) for standardization",Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Mittlefehldt (2024) GCA; Lee (Rice University) Excel data reduction spreadsheet,"Nakanishi et al. (2022) GCA 319, 254; Walker et al. (2008) for IVB standards","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Liu et al. (2024) JAAS 39, 2728; Pettke et al. (2012) for LOD","Liu et al. (2025) GCA 393, 170; Xu et al. (2022) for experimental protocol","Liu et al. (2025) GCA 393, 170; Xu et al. (2022)",Udry et al. (2012) and Pernet-Fisher et al. (2014) cited as broad references for the analytical procedure [P4],Same as silicate protocol [P4]
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",,2026-08-08,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
