Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Keyed By,Spot,Transect,Mapping,Literature Assessment
1. Procedure Identification,,,,,,,,,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),"e.g., 'LA-ICP-MS Trace Elements Silicate Glass v1.2' | 'fs-LA-ICP-MS Major and Trace Elements Sulfide v1'",,2026-08-08,(none),Y,Y,Y,
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,LA-MC-ICP-MS | Other: specify | N/A | None,,2026-08-08,(none),Y,Y,Y,
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)' | 'Isotope Geochemistry Lab, University of X'",,2026-08-08,(none),Y,Y,Y,
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),"e.g., 'Geo-/Cosmochemistry Lab, University of Cologne'",,2026-05-06,(none),Y,Y,Y,
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,ROR ID or equivalent URI (https://ror.org/),,2026-08-08,(none),Y,Y,Y,
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-07-24,(none),Y,Y,Y,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",,2026-07-24,(none),Y,Y,Y,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",,2026-07-24,(none),Y,Y,Y,
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",,2026-08-08,(none),Y,Y,Y,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",,2026-08-08,(none),Y,Y,Y,
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-08-08,(none),Y,Y,Y,
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-05-06,(none),Y,Y,Y,
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",,2026-07-24,(none),Y,Y,Y,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,EPMA | SIMS | ICP-MS (solution) | Noble Gas MS | Other: specify | None | N/A,,2026-07-24,(none),Y,Y,Y,
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",,2026-07-24,(none),Y,Y,Y,
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",,2026-07-24,(none),Y,Y,Y,
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",,2026-05-09,(none),Y,Y,Y,
,,,,,,,,,,,,
2. Samples,,,,,,,,,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse. Used for discoverability and procedure matching.,Basic,Read-Only,Controlled list / Text,Silicate glass | Feldspar | Pyroxene | Olivine | Oxide | Sulfide | Carbonate | Phosphate | Native metal | Iron meteorite | Fluid inclusion | Melt inclusion | Whole rock | Other: specify | N/A | None,,2026-07-24,(none),Y,Y,Y,
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical procedure.",Basic,Editable,Controlled list,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | N/A | None | Other: specify,,2026-08-11,(none),Y,Y,Y,
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",,2026-05-06,(none),Y,Y,Y,
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,Y,Y,Y,
Sample Persistent Identifier,"Globally unique, persistent identifier for the analysed sample. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem, and SESAR.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",,2026-08-08,(none),Y,Y,Y,
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",,2026-07-24,(none),Y,Y,Y,
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Basic,Editable,Text (free),"e.g., 'Polished thin section, uncoated' | '25 mm epoxy mount, polished to 0.25 µm diamond' | 'Double-fused Li-tetraborate bead, polished to 1 µm'",,2026-05-22,(none),Y,Y,Y,
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted as the large area ablated averages out surface effects.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",,2026-07-24,(none),Y,Y,Y,
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out. Generalised from Lab-XCT's 'VOI Selection Criteria', which implements this concept for a single technique.",Basic,Editable,Text (free),"e.g., 'Euhedral, crack- and inclusion-free grains 80-150 um; oscillatory-zoned rims targeted, inherited cores avoided on CL' | 'All grains in the separate analysed (detrital provenance)'",,2026-08-08,(none),Y,Y,Y,
