TAPP,Field,Sentence_no,Action,Before,After_Description,Moved_to_Purpose,Rule_and_reason
EPMA_TAPP_v32.csv,Accelerating Voltage,2,REWRITE,The procedure specifies the standard operating voltage; analysts record and justify any deviations.,Justify any deviation from the standard operating voltage.,,"W2 — the specify/record split is carried by C=Basic + D=Editable; the justification requirement is not, and survives"
EPMA_TAPP_v32.csv,EPMA Technique per Analyte,1,REWRITE,Whether each analyte was measured by WDS or EDS.,Whether the measurement was made by WDS or EDS.,,"W5.2 — 'each analyte' carried by Keyed By: analyte, and by the field name"
EPMA_TAPP_v32.csv,EPMA Technique per Analyte,2,REWRITE,"In a WDS+EDS procedure, some elements may be assigned to WDS and others to EDS.",Applies where a procedure uses both WDS and EDS.,,"W5.2 — 'some elements to WDS and others to EDS' is the per-analyte key in words; the APPLICABILITY condition is not, and survives"
EPMA_TAPP_v32.csv,X-ray Line,1,REWRITE,X-ray emission line measured on each spectrometer assignment.,X-ray emission line measured.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
EPMA_TAPP_v32.csv,Diffracting Crystal,1,REWRITE,Analyzing crystal (monochromator) used on each spectrometer assignment.,Analyzing crystal (monochromator).,,W5.2 — 'used on each spectrometer assignment' carried by Keyed By: channel
EPMA_TAPP_v32.csv,WDS Spectrometer Channel,1,KEEP,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment.","WDS spectrometer position(s) assigned to each analyte, one entry per assignment.",,W5.1 KEEP — `defines:` form; stripping the relation this field establishes would orphan Column I
EPMA_TAPP_v32.csv,WDS Spectrometer Channel,2,KEEP,"An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.","An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key (why the assignment, not the analyte, is the unit). Column I records the verdict; only this records the reasoning"
EPMA_TAPP_v32.csv,Proportional Counter / Detector,1,REWRITE,Type of detector used on each spectrometer assignment.,Type of detector used.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
EPMA_TAPP_v32.csv,Peak Counting Time,2,REWRITE,Procedure specifies standard values; analysts may adjust within procedure-defined bounds.,Adjustments stay within procedure-defined bounds.,,W2 — the specify/adjust split is carried by C=Basic + D=Editable; the bound on adjustment is not
EPMA_TAPP_v32.csv,Peak Counting Time,1,REWRITE,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment.","Time spent counting X-ray intensity at the peak position, in seconds.",,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
EPMA_TAPP_v32.csv,Dwell Time per Pixel,2,KEEP,For WDS: one value per spectrometer assignment per pixel.,For WDS: one value per spectrometer assignment per pixel.,,"KEEP — revised from the queue's W5.2. S2 and S3 form one WDS-vs-EDS contrast: WDS carries one value per spectrometer, EDS a single value. Column I holds ONE key for the field and cannot say the cardinality differs by mode"
EPMA_TAPP_v32.csv,Dwell Time per Pixel,3,KEEP,"For EDS: total live-time per spectrum per pixel, a single value.","For EDS: total live-time per spectrum per pixel, a single value.",,KEEP — the EDS half of the same contrast; stripping either half breaks it
EPMA_TAPP_v32.csv,Map Dimensions,2,REWRITE,Determined at analysis time based on the area of interest and selected step size.,Based on the area of interest and selected step size.,,W2 — as Map Area
EPMA_TAPP_v32.csv,Map Area,2,REWRITE,Determined at analysis time based on the sample feature or region of interest.,Based on the sample feature or region of interest.,,W2 — 'Determined at analysis time' carried by C=N/A + D=Basic
EPMA_TAPP_v32.csv,Background Correction Method,2,KEEP,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,,KEEP — revised. Column F lists all 11 methods FLAT; it does not say which apply to WDS and which to EDS. The detector-to-method mapping is content Column F lacks
EPMA_TAPP_v32.csv,Background Correction Method,3,KEEP,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,,KEEP — the EDS half of the same mapping
EPMA_TAPP_v32.csv,EDS Spectral Processing Type,3,KEEP,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.","Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",,KEEP — Column F names the approaches; it does not carry their SEQUENCE ('followed by peak integration') or WHEN they apply ('for overlapping peaks')
EPMA_TAPP_v32.csv,Interference Corrections Applied,1,REWRITE,Whether a spectral interference correction was applied for each analyte.,Whether a spectral interference correction was applied.,,W5.2 — 'for each analyte' carried by Keyed By: analyte
EPMA_TAPP_v32.csv,Interfering Elements,1,REWRITE,"Element(s) whose X-ray lines overlap with the measured peak for this analyte, requiring a correction.","Element(s) whose X-ray lines overlap with the measured peak, requiring a correction.",,W5.2 — 'for this analyte' carried by Keyed By: analyte
EPMA_TAPP_v32.csv,Interference Correction Standard,1,REWRITE,Reference material used to quantify and calibrate the interference correction for this analyte.,Reference material used to quantify and calibrate the interference correction.,,W5.2 — 'for this analyte' carried by Keyed By: analyte
EPMA_TAPP_v32.csv,Analytical Precision,2,REWRITE,"Include reference material name, number of analyses (n), and value per analyte or element group.","Include reference material name, number of analyses (n), and the measured value.",,W5.4 RESOLVED — as Analytical Accuracy; 'number of analyses (n)' is real content and survives
EPMA_TAPP_v32.csv,Analytical Accuracy,2,REWRITE,"Include reference material, reference value source, and per-analyte value.","Include reference material, reference value source, and the measured value.",,"W5.4 RESOLVED — the description said 'per-analyte' where Keyed By says `reported property`, a conflict raised 2026-08-12 and never dispositioned. Removing the axis word retires the conflict rather than adjudicating which term is right: Column I carries the axis, so Column B does not need to name it"
EPMA_TAPP_v32.csv,EDS Dead Time,2,SPLIT,EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.,This field documents the resulting percentage as a session QC metric.,EDS dead time correction is managed automatically by the detector electronics.,W1 — what the field holds stays; how the correction is handled is rationale
SEM_Composition_TAPP_v30.csv,Beam Current,3,REWRITE,"Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA).","For sub-nA values use decimal notation (e.g., 0.4 nA).",,W2 — 'Express in nA' carried by Data Type `Numeric (nA)`; the sub-nA notation guidance is not
SEM_Composition_TAPP_v30.csv,Beam Raster Dimensions,2,SPLIT,Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement and distributes dose over a larger area to reduce beam damage on sensitive phases.,Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement.,Distributes dose over a larger area to reduce beam damage on sensitive phases.,W1 — applicability and footprint are definitional; the dose argument is rationale
SEM_Composition_TAPP_v30.csv,Technique per Analyte,1,REWRITE,"For each analyte, records which X-ray detection technique (EDS or WDS) was used to collect the measurement.",Records which X-ray detection technique (EDS or WDS) was used to collect the measurement.,,"W5.2 — 'For each analyte' carried by Keyed By: analyte, and by the field name"
SEM_Composition_TAPP_v30.csv,Technique per Analyte,2,SPLIT,"Required when a procedure employs both EDS and WDS simultaneously, assigning each element to the detector appropriate to its concentration range, line overlap situation, or required precision.",Required when a procedure employs both EDS and WDS simultaneously.,"Each element is assigned to the detector appropriate to its concentration range, line overlap situation, or required precision.",W1 — the CONDITIONAL obligation stays (real content under W3); the assignment rationale moves
SEM_Composition_TAPP_v30.csv,X-ray Line,1,REWRITE,X-ray emission line measured on each spectrometer assignment.,X-ray emission line measured.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_Composition_TAPP_v30.csv,EDS Map Dimensions,2,REWRITE,Determined at analysis time based on the area of interest and selected pixel size.,Based on the area of interest and selected pixel size.,,W2 — as Map Area
SEM_Composition_TAPP_v30.csv,Map Area,2,SPLIT,Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region; useful for direct comparison across datasets acquired with different step sizes.,Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region.,Useful for direct comparison across datasets acquired with different step sizes.,W1 — the relation to the pixel grid is definitional; the comparability argument is rationale
SEM_Composition_TAPP_v30.csv,Diffracting Crystal,1,REWRITE,Analyzing crystal (monochromator) used on each spectrometer assignment.,Analyzing crystal (monochromator).,,W5.2 — 'used on each spectrometer assignment' carried by Keyed By: channel
SEM_Composition_TAPP_v30.csv,WDS Spectrometer Channel,1,KEEP,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment.","WDS spectrometer position(s) assigned to each analyte, one entry per assignment.",,W5.1 KEEP — `defines:` form; stripping the relation this field establishes would orphan Column I
SEM_Composition_TAPP_v30.csv,WDS Spectrometer Channel,2,KEEP,"An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.","An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key (why the assignment, not the analyte, is the unit). Column I records the verdict; only this records the reasoning"
SEM_Composition_TAPP_v30.csv,Proportional Counter / Detector,1,REWRITE,Type of detector used on each spectrometer assignment.,Type of detector used.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_Composition_TAPP_v30.csv,Peak Counting Time,2,REWRITE,Procedure specifies standard values; analysts may adjust within procedure-defined bounds.,Adjustments stay within procedure-defined bounds.,,W2 — the specify/adjust split is carried by C=Basic + D=Editable; the bound on adjustment is not
SEM_Composition_TAPP_v30.csv,Peak Counting Time,1,REWRITE,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment.","Time spent counting X-ray intensity at the peak position, in seconds.",,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_Composition_TAPP_v30.csv,Background Correction Method,2,KEEP,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,,KEEP — revised. Column F lists all 11 methods FLAT; it does not say which apply to WDS and which to EDS. The detector-to-method mapping is content Column F lacks
SEM_Composition_TAPP_v30.csv,Background Correction Method,3,KEEP,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,,KEEP — the EDS half of the same mapping
SEM_Composition_TAPP_v30.csv,EDS Spectral Processing Type,3,KEEP,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.","Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",,KEEP — Column F names the approaches; it does not carry their SEQUENCE ('followed by peak integration') or WHEN they apply ('for overlapping peaks')
