Field,Winner,Changed,Rationale,Adopted description
Procedure Name,synthesized (template + LA-Q/SF),yes,"LA-Q/SF and geochron both add 'with version number', which the template lacks and which matters for citing a specific revision. Their scope wording is technique-specific ('analyte group', 'mineral or isotopic system'); generalised here.","A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature."
Technique,template,no (template retained),Template retained. The geochron variant embeds ICP-MS mass-analyzer detail — technique-specific content in a module-owned column.,Top-level analytical technique identifier.
Procedure Author,geochron,yes,"Template text plus the ORCID recommendation, which three TAPPs independently added.",Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.
Laboratory,template,no (template retained),Template retained. The geochron variant cross-references a paper-sourced field that exists only in that TAPP; Lab-XCT's names the CT instrument.,Name of the laboratory or institution hosting the instrument.
Laboratory ID,template,no (template retained),Variants differ only in punctuation.,"Persistent identifier for the laboratory (e.g., ROR ID)."
Procedure Start Date,template,no (template retained),Unanimous across all 14 TAPPs.,First date this procedure configuration was used in production.
Funding Source for Procedure Development,"LA-Q/SF, with Lab-XCT's 'acquisition'",yes,"LA-Q/SF's is the fullest. Adopted Lab-XCT's 'acquisition' over 'purchase' as it also covers donated, transferred and shared-facility instruments. Tier stays C=Advanced per template; LA-ICP-MS, LA-Q/SF and Lab-XCT are the three outliers at C=Basic and are corrected by composition.","Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable."
Procedure Reference(s),LA-Q/SF,yes,Distinguishes peer-reviewed from technical reports and names validation and benchmarking as qualifying purposes.,"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure."
Procedure DOI,LA-Q/SF,yes,Superset of the Lab-XCT and geochron variants; states where the DOI comes from and why the field is mandatory at analysis level (see the Procedure DOI precedent).,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending""."
Analyst,LA-Q/SF / geochron,yes,"Plural, and adds ORCID. Lab-XCT's names the CT instrument, so not adopted.",Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.
Analysis Start Date,LA-Q/SF,yes,"Adds the multi-day rule and the format, neither of which the template gives.","Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD."
Analysis End Date,LA-Q/SF,yes,Adds the single-day equivalence and the format.,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.
Funding Source for Analysis,LA-Q/SF,yes,"Explains *why* the two funding fields are separate, which the template only asserts.","Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier."
Coupled Technique(s),synthesized (template + LA-Q/SF),yes,"Template's neutral framing plus LA-Q/SF's operational guidance. The EPMA, SEM and TEM variants list that technique's typical couplings — technique-specific content in a module-owned column, which belongs in Column F.","Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended."
Coupling Description,synthesized (LA-Q/SF + template),yes,LA-Q/SF's is the most developed and gives concrete examples of both required components; the template's closing condition was dropped in that version and is restored here.,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None""."
Coupled Procedure DOI,LA-Q/SF = Lab-XCT (identical),yes,Byte-identical in two independently maintained TAPPs — a shared revision that never reached the template. Six times the length of the template's one-liner and states what to enter in each case.,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned."
Coupled Dataset or Publication Reference,LA-Q/SF = Lab-XCT (identical),yes,"Also byte-identical in two TAPPs. Enumerates the accepted value types, which the template does not.","DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2)."
