Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
ArAr,Neutron Irradiation Conditions,1,D,M1,,,"Reactor and irradiation position used to convert 39K to 39Ar, the irradiation duration, and whether cadmium shielding or sample rotation was used."
ArAr,Neutron Irradiation Conditions,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Neutron Irradiation Conditions,3,P,M2,,why shielding and rotation matter — they propagate into J and every age,"Shielding and rotation determine the neutron energy spectrum and fluence gradient across the package, both of which propagate directly into J and hence into every age."
ArAr,Neutron Irradiation Conditions,4,P,M2,MISPLACED-DEVNOTE,a library roadmap note about a future module; not content for a researcher filling the field,"Note: fission-track dating by the external detector method has an equivalent requirement (Kohn et al. 2024, 'Irradiation reactor'), so this is a candidate for generalisation once a second irradiation-based system module exists."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,1,D,M1,,,"Correction factors for argon isotopes produced during irradiation from potassium, calcium and chlorine rather than from the decay of 40K, with the reference for each."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Neutron-Induced Interfering Isotope Production Ratios,3,D,M3,,,"Distinct from spectral or isobaric interference in the mass spectrometer: these are nuclear production reactions occurring in the reactor, and the correction factors are properties of the irradiation facility, not of the instrument."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,4,P,M2,MISPLACED-DEVNOTE,roadmap note — 'candidate for a future general interference module',Candidate for a future general interference module.
ArAr,Gas Extraction and Release Schedule,1,D,M1,,,"How argon was released from the sample: for incremental heating, the temperature or laser power of each step and its duration; for total fusion, the fusion conditions."
ArAr,Gas Extraction and Release Schedule,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Gas Extraction and Release Schedule,3,P,M2,,why the schedule governs how an age spectrum is read,The schedule determines which diffusion domains contribute to each step and therefore how an age spectrum should be read.
ArAr,Gas Extraction and Release Schedule,4,P,M2,MISPLACED-DEVNOTE,roadmap note about a future stepped-heating module,"Note: (U-Th)/He and continuous ramped heating have equivalent requirements (Flowers et al. 2024), so this is a candidate for generalisation once a stepped-heating system module exists."
ArAr,F Value (40Ar*/39ArK),1,D,M1,,,"The corrected ratio of radiogenic 40Ar to potassium-derived 39Ar, with its uncertainty — the measured quantity from which the date is calculated once multiplied by J."
ArAr,F Value (40Ar*/39ArK),2,P,M2,,provenance plus why reporting F enables recomputation,"Required by Schaen et al. (2021), who note that reporting it lets a reader recompute dates against any future revision of the monitor age or decay constants without returning to the raw isotope data."
UPb,Chemical Abrasion Conditions,1,D,M1,,,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step."
UPb,Chemical Abrasion Conditions,2,P,M2,,external standard provenance (W3),"Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon."
UPb,Chemical Abrasion Conditions,3,D,M4,REWRITE-STRADDLE,instruction to record 'None' plus the reason it matters,"Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read."
UPb,Intermediate Daughter Disequilibrium Correction,1,D,M1,,,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source."
UPb,Intermediate Daughter Disequilibrium Correction,2,P,M2,,why the correction is unique to U-Pb,"Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples."
UPb,Intermediate Daughter Disequilibrium Correction,3,D,M3,,,Record 'None' with a justification where no correction was applied.
UPb,Intermediate Daughter Disequilibrium Correction,4,P,"M2,M5",REWRITE-REDUNDANT(C=Advanced),quotes the standard then says 'hence Advanced' — justifying the tier Column C already carries,"Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required, hence Advanced."
UPb,Discordance Definition and Values,1,D,M1,,,"How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained."
UPb,Discordance Definition and Values,2,D,M4,REWRITE-STRADDLE,"rationale that definitions differ, plus the requirement to state the formula","Several definitions are in circulation and they are not interchangeable, so the formula must be stated."
UPb,Discordance Definition and Values,3,P,M2,,why discordance is a test only U-Pb can run,"Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run."
UPb,Discordance Definition and Values,4,D,M3,,,"The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria."
UPb,Discordance Definition and Values,5,P,"M2,M5",REWRITE-REDUNDANT(C=Advanced),"'useful and age-conditional rather than required, hence Advanced' justifies Column C","Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced."
