Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
1. Procedure Identification,,,,,,,,,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,,2026-07-24,(none),,N,N,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,Solution SF-ICP-MS,,2026-06-16,(none),,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS,Solution SF-ICP-MS
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,,2026-07-24,(none),,N,N,N,N,N,N
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,,2026-06-16,(none),,"University of Melbourne, Australia (affiliation)","Institute of Geology and Geophysics, Chinese Academy of Sciences (IGGCAS), Beijing (affiliation)","Pheasant Memorial Laboratory (PML), Okayama University (section 2.1.2)","National High Magnetic Field Laboratory (NHMFL), Florida State University (stated section 2.4)","Godwin Laboratory for Palaeoclimate Research, University of Cambridge (affiliation)","Max-Planck-Institut fuer Chemie (MPIC), Mainz, Germany (affiliation)"
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,,2026-06-16,(none),,N,N,N,N,N,N
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,,2026-07-24,(none),,N,N,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,,2026-07-24,(none),,N,N,N,N,N,N
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,,2026-07-24,(none),,N,N,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A,N/A
